excluded_country,Total_Production_Value_Per_Capita,Human capital index,Rule of law index,Political stability — estimate,Trade (% of GDP),"Gross fixed capital formation, all, Constant prices, Percent of GDP",Share of investment in GDP,Domestic credit to private sector (% of GDP),Landlocked,Urban population (% of total population),Government revenue,Capital depreciation rate,"Use of IMF credit (DOD, current US$)",Real interest rate (%),"Inflation, consumer prices (annual %)",Access to electricity (% of population),Adjusted savings: gross savings (% of GNI),L1_ECI,Forestry rents (% of GDP),Inflation_roll5,RealRate_roll5,Resource_HHI,HCI_x_ProductionValue,RuleOfLaw_x_ProductionValue
GNQ,0.0,0.00818947965050592,0.0,0.0,-0.0,0.0,0.0,0.06505918137104687,-0.0,0.003123658654023061,-0.0,-0.0,-0.0,0.0,-0.0,0.015137257468886696,-0.0,0.49984030203127927,-0.0,-0.0,0.0,-0.0,0.013222994685570689,0.0
IDN,0.0,0.005747858344743555,0.0,0.0,-0.0,0.0,0.0,0.06973126578956303,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.013417041077233925,-0.0,0.5026817186516982,-0.0,-0.0,0.0,0.0,0.013958782923195244,0.0
IRN,-0.0,0.006072833823730362,0.0,0.0,-0.0,0.0,0.0,0.0686194788833066,-0.0,0.0032653021259702033,-0.0,-0.0,-0.0,0.0,-0.0,0.012442154735479162,-0.0,0.5076162581914948,-0.0,-0.0,0.0,-0.0,0.011873599606151402,0.0
IRQ,-0.0,0.004631677116586973,0.0,0.0,-0.0,0.0,0.0,0.056829561132114126,-0.0,0.010947240798076248,-0.0,-0.004045069801814458,-0.00024815967539642067,0.0,-0.0,0.023346858835705794,-0.0,0.5230783988885604,-0.0,0.0,-0.0,0.0,0.02054321639557085,0.0
KAZ,-0.0,0.0020600485897021583,0.0,0.0,-0.0,0.0,0.0,0.0691138211190422,-0.0,0.003893710995980654,-0.0,-0.0,-0.0,0.0,-0.0,0.013740849220251256,-0.0,0.5039661834633641,-0.0,-0.0,0.0,-0.0,0.009973674717176717,0.0
KEN,0.0,0.0011098479909691559,0.0,0.0,-0.0,0.0,0.0,0.0674245404154562,-0.0,0.003061267787013589,-0.0,-0.0,-0.0,0.0,-0.0,0.021820595093653798,-0.0,0.504788373660447,-0.0,-0.0,0.0,-0.0,0.014546275490649383,0.0
KWT,-0.0,0.007480106327400102,0.0,0.0,-0.0,0.0,0.0,0.06328877322912507,-0.0,0.005430885015921435,-0.0,-0.0,-0.0,-0.0,-0.0,0.013441137381307498,-0.0,0.5071916091269784,-0.0,0.0,0.0,-0.0,0.014552369738406774,0.0
LAO,-0.0,0.003907077344024916,0.0,0.0,-0.0,0.0,0.0,0.06723614325819108,-0.0,0.002319321927172534,-0.0,-0.0,-0.0,-0.0,-0.0,0.015167969646947861,-0.0,0.5062229217755898,-0.0,-0.0,0.0,-0.0,0.011754535116947809,0.0
LBR,0.0,0.0020909431358125366,0.0,0.0,-0.0,0.0,0.0,0.06934364946032257,-0.0,0.0034754061616825726,-0.0,-0.0,-0.0,0.0,-0.0,0.019770996368346255,-0.0,0.5047369483942161,-0.0,-0.0,0.0,-0.0,0.01026779585806583,0.0
LBY,0.0,0.0042019687531151826,0.0,0.0,-0.0,0.0,0.0,0.06517287910615929,-0.0,0.0020644446949084584,-0.0,-0.0,-0.0,0.0,-0.0,0.014297363360340121,-0.0,0.5098233272561736,-0.0,-0.0,0.0,-0.0,0.010477807155236794,0.0
