Country Code,Country Name,Year,Access to electricity (% of population),Adjusted savings: gross savings (% of GNI),Agriculture,Capital depreciation rate,Clientelism index,"Death rates, crude per 1000 people",Domestic credit to private sector (% of GDP),Economic Complexity Index,"GDP per capita (constant prices, PPP)",Government revenue,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Human capital index,Industry,"Inflation, consumer prices (annual %)",Landlocked,Lending interest rate (%),"Life expectancy at birth, total (years)",Manufacturing,Mineral rents (% of GDP),Mobile cellular subscriptions (per 100 people),Natural gas rents (% of GDP),Oil rents (% of GDP),Forest rents (% of GDP),Coal rents (% of GDP),Extractive_NR_Rents,Political corruption index,Political stability — estimate,"Primary net lending, General government, Percent of GDP",Property rights,Real interest rate (%),Rule of law index,Services,Share of consumption in GDP,Share of government spending in GDP,Share of investment in GDP,Total natural resources rents (% of GDP),Trade (% of GDP),Urban population (% of total population),"Use of IMF credit (DOD, current US$)",Total_Production,Total_Reserves,Total_Production_Value,Total_Reserves_Value,Hydrocarbons_Dominant,Subsoil_Metals_Dominant,Precious_Metals_Dominant,Population,Forest_Rents_pct,Coal_Rents_pct,Forest_Coal_pct,NR rents excl. forest (% of GDP),Total_Production_Value_Per_Capita
AGO,Angola,1995,86.47544998079665,27.006147858951135,23.326090757944662,0.0353665016591549,0.84,18.7,16.267924732223836,-1.914,4214.831,39.104,51.16142144,1.21491169929504,38.99160695437908,2666.45059288538,0.0,206.25,46.139,18.646026196716445,0.0,0.0143326900000033,0.2065192835583129,41.0188156720936,2.9856616742744,0.0,41.225334955652,0.809,-2.062,4.14315379618196,0.189,-84.0950001791546,0.174,34.216000044378895,0.279739618301392,0.248554781079292,0.624451816082001,44.2109966299264,77.92987569940973,6056808.999999998,0.0,632.8546027,0.0,3930715682.96068,0.0,1.0,0.0,0.0,13699778.0,2.9856616742744,0.0,2.9856616742744,41.225334955652,286.9182028322415
AGO,Angola,1996,86.73107889785388,22.507177707971927,20.53038232099408,0.038397703319788,0.84,18.445,13.80652584696714,-2.328,4533.696,39.104,67.19577537,1.23089158535004,42.7383138246441,4145.10598220638,0.0,217.875,46.418,22.629722437310782,0.0,0.0229292900000004,0.1597342054563639,39.0741439653244,2.12783851319871,0.0,39.23387817078079,0.809,-2.062,4.14315379618196,0.189,-93.51345888401758,0.174,33.781535857481686,0.2149481028318409,0.0840984433889389,0.734222173690796,41.3617166839795,78.13088423694143,6441501.0,0.0,715.9760656,0.0,5401322190.090931,0.0,1.0,0.0,0.0,14170973.0,2.12783851319871,0.0,2.12783851319871,39.23387817078079,381.1539398240989
AGO,Angola,1997,32.67750921679217,34.90340561722532,8.071928618527417,0.040404699742794,0.84,18.184,6.461894408539319,-1.57,4703.960000000001,34.882,48.507818129,1.24708163738251,52.051386379750205,219.176721172974,0.0,37.75,46.688,5.7901428883058985,0.0,0.0474206899999956,0.158566178380028,37.3490232506807,1.94389973459506,0.0,37.507589429060744,0.809,-2.19,4.14315379618196,0.189,-29.522706549011,0.174,38.087680707891224,0.293120920658112,0.25624880194664,0.55162787437439,39.4514891636558,123.25843304658542,6849440.0,0.0,741.0,0.0,5163876691.342403,0.0,1.0,0.0,0.0,14660413.0,1.94389973459506,0.0,1.94389973459506,37.507589429060744,352.23268889780957
AGO,Angola,1998,39.27140513662958,36.02886437599394,6.642046599964546,0.0408246666193008,0.84,18.925,10.312178233175445,-1.579,4765.766,27.629,64.03852148,1.26348471641541,48.145202803200235,107.284821528298,0.0,45.0,45.452,7.5992549526221795,0.0,0.0639037349999966,0.1364411885577658,21.7476800076135,2.38525957827358,0.0,21.884121196171225,0.809,-2.3179999999999996,0.1727086348378599,0.189,4.04755887747496,0.174,40.53349415956096,0.393798619508743,0.129606649279594,0.714909553527832,24.2693807744448,124.98264036293688,7275437.0,0.0,730.8493151,0.0,3392029856.1773524,0.0,1.0,0.0,0.0,15159370.0,2.38525957827358,0.0,2.38525957827358,21.884121196171222,223.7579699009492
AGO,Angola,1999,32.43134697162079,35.20775084607112,7.005649164957632,0.041405875235796,0.84,18.518,7.243425554692855,-1.505,4715.120000000001,41.128,50.73873052,1.2801034450531,54.47455691909112,248.195902412868,0.0,80.2966666666667,45.808,5.925050462098112,0.0,0.1512215679999968,0.161428826039536,38.5242698405316,2.11765565749899,0.0,38.685698666571106,0.809,-2.178,-2.4769008617915196,0.189,-72.5785001611618,0.174,35.93088281430292,0.328058332204819,0.291531920433044,0.58463728427887,40.8033543240701,123.19152404557612,7717606.0,374707057.4,745.060274,0.0,4886908753.37037,0.0,1.0,0.0,0.0,15667235.0,2.11765565749899,0.0,2.11765565749899,38.685698666571106,311.9190305992327
AGO,Angola,2000,24.200000000000003,48.0554136813391,6.439278778789799,0.0414570495486259,0.796,18.08,3.3723008709281785,-1.938,4704.0419999999995,42.858,27.660103246,1.29694080352783,61.49611655998689,324.996871601321,0.0,103.16017416666702,46.501,4.681964860708362,0.0,0.1593469999999968,0.196300643661974,57.5134839616206,1.43272575752332,0.0,57.70978460528258,0.809,-2.038,5.93821542113509,0.189,-60.78132703879951,0.176,31.430551922513793,0.283970803022385,0.246948853135109,0.38012158870697,59.1425103628059,124.65341207666675,8179553.0,355705668.9,746.0614754,0.0,7759665263.509136,0.0,1.0,0.0,0.0,16194869.0,1.43272575752332,0.0,1.43272575752332,57.70978460528258,479.1434412658192
AGO,Angola,2001,20.000000000000007,17.5450639869731,8.188099450693704,0.041017010807991,0.796,17.606,7.234202407825311,-1.454,4743.472,37.463,24.626983012,1.30848634243011,56.93776119472531,152.561022469299,0.0,95.96656083333332,47.032,4.46069030467763,0.0,0.4478359999999952,0.210594107007388,42.5915766791073,1.41730580825922,0.0,42.80217078611478,0.809,-1.807,6.40129810327971,0.275,-5.03293321688837,0.176,34.668673000512484,0.478612929582596,0.199827581644058,0.334656327962875,44.219476594374,113.59442070406294,8662071.0,343098130.6,742.0150685,0.0,6620273454.691471,0.0,1.0,0.0,0.0,16747208.0,1.41730580825922,0.0,1.41730580825922,42.80217078611478,395.3060984667696
AGO,Angola,2002,26.299999999999997,32.3347229473668,9.3867906039345,0.040836151689291,0.723,17.071,7.272428985269823,-1.898,5214.844999999999,28.681,23.095996398,1.32013463973999,51.9196521931075,108.897436089429,0.0,97.33583333333333,47.874,3.7265752922806694,0.0,0.8079549999999998,0.131900390989224,31.7610292464785,0.990786339881705,0.0,31.89292963746769,0.84,-1.576,-0.1838484869807359,0.469,-41.3294690923792,0.147,37.9804219303572,0.391951650381088,0.20116750895977,0.311204314231873,32.8837159773494,90.5708209731095,9165075.0,371160687.2000001,905.4410959,0.0,8269835721.017818,0.0,1.0,0.0,0.0,17327699.0,0.990786339881705,0.0,0.990786339881705,31.89292963746769,477.26104435550377
AGO,Angola,2003,27.4,28.8519074680264,10.000076846294,0.0409888550639153,0.717,15.559,8.84217052939595,-1.812,5190.531000000001,29.715,25.31655432767413,1.33188664913178,48.9228549611473,98.2241436573304,0.0,96.115,50.218,3.88517172538279,0.0,1.9505399999999968,0.135113552616191,27.1162657537214,1.15531764804726,0.0,27.25137930633754,0.864,-1.007,-2.8499614660717594,0.397,0.7747598160314189,0.121,40.8282626261312,0.388605028390884,0.199904248118401,0.323308616876602,28.4066969543848,90.6807161820483,9690386.0,405682628.0,869.5630685,0.0,9150591856.88145,0.0,1.0,0.0,0.0,17943712.0,1.15531764804726,0.0,1.15531764804726,27.25137930633754,509.9609187263734
AGO,Angola,2004,28.40000000000001,37.5128985319467,10.3635914449926,0.0416290871798992,0.717,14.958,6.310270715774585,-0.848,5560.617,30.987,26.97387142917635,1.34374332427979,50.2978770697738,43.5421067519687,0.0,82.3341666666667,51.123,4.67917984672746,0.0,3.9784000000000006,0.1237975643117379,32.9626955078503,0.684223942146475,0.0,33.08649307216203,0.864,-1.063,2.70791225768521,0.397,36.700397456859,0.121,39.7136676214341,0.328811168670654,0.170598268508911,0.307960003614426,33.7707170143085,90.3860384733605,10238515.0,423985126.2999999,1106.441208,0.0,15453360080.8038,0.0,1.0,0.0,0.0,18600423.0,0.684223942146475,0.0,0.684223942146475,33.08649307216203,830.8069166386055
