Spec,N,R2,R2_adj
Original (54 ctry),1324,0.37577002527852754,0.3714944775064627
"Adj. rent, same sample (54 ctry)",1324,0.3661114897626917,0.36176978763777856
"Adj. rent + re-selected (39 ctry, ≥3%)",975,0.41891917565017467,0.4134997689982074
"Adj. rent + re-selected (51 ctry, ≥2%)",1273,0.48846818415866944,0.48482306433082145
"Adj. rent + re-selected (60 ctry, ≥1%)",1498,0.464034251480022,0.46079252316236075
All non-HIC countries (93 ctry),2292,0.38746186722856946,0.38504607266461555
