Country,Country Code,Year,PC1,PC2,Cluster,ClusterLabels,hover_text
Liberia,LBR,1995.0,-3.768627990901195,-0.5853266665692516,1,Gold & Coal,"<b>Liberia</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $10,502,500"
Libya,LBY,1995.0,4.768930118608127,-1.2201592892706017,3,Petrostates,"<b>Libya</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $53,004,058,647<br>  Natural Gas: $3,654,269,683"
Madagascar,MDG,1995.0,-3.6783050970415356,-1.3960653347968999,1,Gold & Coal,"<b>Madagascar</b><br>Cluster: 1<br><br>Top Resources:<br>  Natural Graphite: $21,499,700<br>  Coal: $414,267<br>  Gold: $143,000"
Malawi,MWI,1995.0,-3.676646400319113,-1.3685956608477883,1,Gold & Coal,"<b>Malawi</b><br>Cluster: 1<br><br>Top Resources:<br>  Coal: $4,361,275"
Malaysia,MYS,1995.0,3.040796259191933,0.4157488506803977,2,Oil Exporters,"<b>Malaysia</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $23,661,757,838<br>  Natural Gas: $23,365,554,531<br>  Gold: $131,024,800"
Mali,MLI,1995.0,-3.8023223083507385,-0.28696813017560824,1,Gold & Coal,"<b>Mali</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $1,013,901,000"
Mongolia,MNG,1995.0,-4.027445802522811,5.728125686770366,0,Diversified Exporters,"<b>Mongolia</b><br>Cluster: 0<br><br>Top Resources:<br>  Copper: $1,078,532,900<br>  Coal: $707,183,288<br>  Gold: $491,136,200"
Mozambique,MOZ,1995.0,-3.6864011146492013,-1.314833763096048,1,Gold & Coal,"<b>Mozambique</b><br>Cluster: 1<br><br>Top Resources:<br>  Aluminium: $924,679,000<br>  Gold: $3,998,300<br>  Natural Graphite: $3,997,490"
Myanmar,MMR,1995.0,-2.1777568349554253,-1.0315475677329677,1,Gold & Coal,"<b>Myanmar</b><br>Cluster: 1<br><br>Top Resources:<br>  Natural Gas: $3,446,936,010<br>  Oil: $592,921,942<br>  Tin: $540,055,124"
Niger,NER,1995.0,-3.6785680498357536,-1.0922159386946024,1,Gold & Coal,"<b>Niger</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $72,385,600<br>  Coal: $20,344,897<br>  Silver: $47,436"
Nigeria,NGA,1995.0,0.7731578277930472,-1.4359322154048348,2,Oil Exporters,"<b>Nigeria</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $73,921,083,615<br>  Natural Gas: $6,793,277,639<br>  Aluminium: $22,578,000"
Oman,OMN,1995.0,5.170846685977033,-0.47617638031878085,3,Petrostates,"<b>Oman</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $26,733,653,982<br>  Natural Gas: $6,240,818,139<br>  Gold: $17,954,400"
Papua New Guinea,PNG,1995.0,-0.3259183577722889,4.164586110277984,0,Diversified Exporters,"<b>Papua New Guinea</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $2,208,075,400<br>  Oil: $2,005,604,359<br>  Copper: $1,699,851,880"
Qatar,QAT,1995.0,7.202730565821126,-0.9786626658624139,3,Petrostates,"<b>Qatar</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $30,450,967,906<br>  Natural Gas: $15,031,260,824"
Russian Federation,RUS,1995.0,4.429208302057954,4.8049550325184045,0,Diversified Exporters,"<b>Russian Federation</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $269,859,752,699<br>  Natural Gas: $236,326,784,189<br>  Coal: $31,969,968,813"
Rwanda,RWA,1999.0,-3.6777694092652298,-1.3898668824766796,1,Gold & Coal,"<b>Rwanda</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $90,000"
Saudi Arabia,SAU,1995.0,5.8306126178726005,0.015535130382305456,3,Petrostates,"<b>Saudi Arabia</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $327,333,684,657<br>  Natural Gas: $24,269,414,872<br>  Gold: $248,038,100"
Tanzania,TZA,1995.0,-3.6831997218819224,-1.3117179556214515,1,Gold & Coal,"<b>Tanzania</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $723,939,000<br>  Copper: $13,985,020<br>  Coal: $5,208,759"
Togo,TGO,2005.0,-3.825154308512314,-0.08479391604147975,1,Gold & Coal,"<b>Togo</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $88,359,700"
Trinidad and Tobago,TTO,1995.0,4.875819641908571,-1.0211599673654683,3,Petrostates,"<b>Trinidad and Tobago</b><br>Cluster: 3<br><br>Top Resources:<br>  Natural Gas: $9,432,269,882<br>  Oil: $5,220,080,143"
Uganda,UGA,1995.0,-3.7330520138823613,-0.9003470390699833,1,Gold & Coal,"<b>Uganda</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $109,837,600"
United Arab Emirates,ARE,1995.0,8.064293927412438,-0.7458600864114808,3,Petrostates,"<b>United Arab Emirates</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $89,627,498,651<br>  Natural Gas: $17,467,540,851<br>  Aluminium: $2,335,565,550"
Uzbekistan,UZB,1995.0,1.9023104106459887,2.899004703627603,0,Diversified Exporters,"<b>Uzbekistan</b><br>Cluster: 0<br><br>Top Resources:<br>  Natural Gas: $21,456,361,909<br>  Oil: $4,605,815,114<br>  Gold: $2,785,743,000"
"Venezuela, RB",VEN,1995.0,4.8931815819254165,0.934403357306442,3,Petrostates,"<b>Venezuela, RB</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $104,391,946,298<br>  Natural Gas: $12,553,586,997<br>  Aluminium: $3,124,186,360"
Viet Nam,VNM,1995.0,-1.4908884418951156,-0.7089383443102133,1,Gold & Coal,"<b>Viet Nam</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $10,688,678,855<br>  Coal: $2,264,516,559<br>  Natural Gas: $1,775,586,619"
"Yemen, Rep.",YEM,1995.0,0.1766548076413261,-1.5804051235493146,2,Oil Exporters,"<b>Yemen, Rep.</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $13,213,493,845"
Zambia,ZMB,1995.0,-3.9247048837793224,2.127526504729546,1,Gold & Coal,"<b>Zambia</b><br>Cluster: 1<br><br>Top Resources:<br>  Copper: $3,271,780,190<br>  Cobalt: $504,190,300<br>  Coal: $21,068,776"
Zimbabwe,ZWE,1995.0,-3.876539226624155,2.397869492032436,1,Gold & Coal,"<b>Zimbabwe</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $741,660,800<br>  Coal: $518,188,680<br>  Copper: $42,666,240"
