Country Code,Country,cluster,GDP_per_capita,Is_Dominant,Dominant_Count,Max_Reserve_Concentration,Resource_Diversity,PC1,PC2,Coal_Prod_perGDPpc,Natural Gas_Prod_perGDPpc,Oil_Prod_perGDPpc,Minerals_Prod_perGDPpc,Resource_Diversity,Coal_Prod_Share,Natural Gas_Prod_Share,Oil_Prod_Share,Minerals_Prod_Share,Aluminium_Res_Share,Bauxite_Res_Share,Cobalt_Res_Share,Copper_Res_Share,Gold_Res_Share,Lead_Res_Share,Lithium_Res_Share,Manganese_Res_Share,Natural Gas_Res_Share,Natural Graphite_Res_Share,Nickel_Res_Share,Oil_Res_Share,Platinum Group_Res_Share,Rare Earth_Res_Share,Silver_Res_Share,Tin_Res_Share,Vanadium_Res_Share,Zinc_Res_Share,Dominant_Resources_List
AFG,Afghanistan,0,2439.677,False,0,,0,-0.7165889517601723,0.10365650142667773,174203.38839936597,0.0,0.0,0.0,0,0.004660315127710733,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,3,6596.756,False,0,0.452112419617465,1,1.0180292693238246,-0.9908244258447105,0.0,0.0,179020.00301360246,0.012127172810393473,1,,,1.2373086853297552,2.640127092099521e-09,,,,,,,,,,,,0.452112419617465,,,,,,,
ALB,Albania,0,13862.63,False,0,,0,-0.7187584731298192,0.10073007475342104,13807.336703064282,0.0,0.0,622.5369933410905,0,0.002098852417257884,,,0.0002848037100602358,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,3,69576.041,False,0,5.681176235203402,2,0.9585388418378638,-0.606130070766816,0.0,31.770507695314254,57573.301820952984,38806.462126811726,2,,1.5128572808822451,4.1968836602940165,0.08910428935835883,4.588815789473684,,,,,,,,3.1900281098871504,,,5.681176235203402,,,,,,,
ARG,Argentina,3,22071.752,False,0,14.682131845543973,2,1.1165320696147085,-0.7059728249235312,588.9881328858716,71.95074931070266,55008.2363647435,22443.712216411273,2,0.00014255081567115185,1.086891570737332,1.2720688254029626,0.016348064623423482,,,,,,,14.682131845543973,,0.20711044003651097,,,0.14421982421465251,,,1.1122518822724161,,,,
ARM,Armenia,0,13637.865,False,0,,0,-0.7187333948477205,0.10091589010346468,439.95156133309723,0.0,0.0,4955.850787494964,0,6.579268415591624e-05,,,0.002230485764527487,,,,,,,,,,,,,,,,,,,
AUS,Australia,3,50474.874,True,10,46.71613080516626,3,2.657726601695301,1.5142447335570959,9170791.322827274,107.08403430586075,7231.1430296983,20551744.030307036,3,5.075845672907291,3.699253213937972,0.3824091506569018,34.234088765640195,2.8453947368421053,16.802688430148823,16.47977630933277,12.539184952978054,21.314387211367674,39.637599093997736,25.69373072970195,26.76659528907923,1.2835881151290809,,19.65440995823438,0.13885434263600704,,6.260673659242999,16.084873374401095,13.26770811042157,46.71613080516626,30.303030303030305,"Bauxite, Cobalt, Gold, Lead, Lithium, Manganese, Nickel, Silver, Vanadium, Zinc"
AUT,Austria,0,56239.228,False,0,,0,-0.7182785885154532,0.10186811246004156,139.65341060513845,0.0,0.0,14499.256639867104,0,8.612262356009436e-05,,,0.02691038642911795,,,,,,,,,,,,,,,,,,,
AZE,Azerbaijan,0,14541.29,False,0,1.344854797318893,0,-0.045839657224323704,-0.3724528818372571,0.0,93.48248518528962,41133.23982260171,2126.6937802629614,0,,0.9303519600125031,0.6266743713814635,0.001020569871834785,,,,,,,,,1.344854797318893,,,0.40662815589390405,,,,,,,
BDI,Burundi,0,751.762,False,0,,0,-0.718964948554059,0.10043700856557884,0.0,0.0,0.0,266.10815657082964,0,,,,6.601967809681366e-06,,,,,,,,,,,,,,,,,,,
BEL,Belgium,0,52314.838,False,0,,0,-0.7189206034296172,0.10048795237129346,4167.077799227821,0.0,0.0,0.0,0,0.0023904675243316235,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,0,3156.439,False,0,,0,-0.7189777451125938,0.10041030093705056,0.0,0.0,0.0,0.0015840635602335418,0,,,,1.6500794325622006e-10,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,0,2104.873,False,0,,0,-0.7189266636389849,0.10051691280602387,0.0,0.0,0.0,1062.2493613628947,0,,,,7.378825206531649e-05,,,,,,,,,,,,,,,,,,,
BGD,Bangladesh,0,5815.383,False,0,0.05920935590047579,0,-0.1842870093142154,-0.23590266040002997,141005.33017343827,122.10696069373247,0.0,0.0,0,0.008991666834641887,0.4859961578882389,,,,,,,,,,,0.05920935590047579,,,,,,,,,,
BGR,Bulgaria,0,23409.596,False,0,,0,-0.7099549676129037,0.11281016431066677,644112.7941720993,0.0,0.0,3956.7367587206545,0,0.16534162395168817,,,0.003056792246788965,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,0,50118.484,False,0,0.03482465983512068,0,-0.6655068515593999,0.070572828452667,0.0,11.903569349783206,0.0,31924.349507459166,0,,0.4083092550631922,,0.052802541841990416,,,,,,,,,0.03482465983512068,,,,,,,,,,
BIH,Bosnia and Herzegovina,0,14389.734,False,0,,0,-0.7048038892952043,0.12111636421330463,888936.5154352401,0.0,0.0,41261.01288599219,0,0.14026517782357534,,,0.019594198237846364,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,0,8757.259,False,0,8.559811684142948,0,-0.5021499568374911,-0.028619580562232336,0.0,48.94612895427667,0.0,68083.81652295541,0,,0.2933598238702965,,0.019676458492742285,,,,,,1.8120045300113252,,,0.11434337476869973,,,,,,3.764544832306639,8.559811684142948,,,
BRA,Brazil,2,15546.657,True,2,24.248444443643855,2,3.5976332225458703,1.5629591194179326,488523.8120323874,52.885166431600055,222916.16191185027,30698725.687458083,2,0.08328160929175654,0.562710454886536,3.630986670072552,15.75042263755744,,12.962073931829094,,,4.262877442273535,,1.4315078549405373,14.453961456102785,0.1872144492691068,24.248444443643855,13.102939972156252,0.6927207665902588,,23.065639797211052,,8.987802268350096,0.6595218466611706,,"Natural Graphite, Rare Earth"
BRN,Brunei,0,59660.203,False,0,0.11941001626239865,0,-0.6809734288850334,0.0744180647037391,0.0,6.254792331162534,1662.0353866378898,0.0,0,,0.25539460185221147,0.10388936064967975,,,,,,,,,,0.11941001626239865,,,0.06389871021189922,,,,,,,
BTN,Bhutan,0,12409.57,False,0,,0,-0.7188020489806296,0.1006490594492819,12812.692140017743,0.0,0.0,0.0,0,0.0017435061301317803,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,0,15117.995,False,0,,0,-0.7169307961475239,0.10331900535869393,136550.71323942096,0.0,0.0,3628.221996369228,0,0.022636773461500212,,,0.001810184725811569,,,,,,,,,,,,,,,,,,,
CAF,Central African Republic,0,945.181,False,0,,0,-0.7189776663800942,0.10041046525922716,0.0,0.0,0.0,1.6388395450183615,0,,,,5.1119460820776974e-08,,,,,,,,,,,,,,,,,,,
CAN,Canada,3,49538.627,False,0,9.76416502974518,3,2.479995667875944,-1.2593495461971158,859113.7479446089,141.09643535336576,118856.97138921513,1175708.5839298696,3,0.4666819338735696,4.783811949712056,6.168999087416401,1.9221111647969298,5.427631578947369,,2.132676934148946,1.0407523510971788,5.683836589698046,,4.404639553663192,,1.2644450135921657,1.9333219218580908,1.8016542461714846,9.76416502974518,0.4659552081767624,0.9116419538897701,0.838466803559206,,,0.8522727272727272,
CHE,Switzerland,0,70660.605,False,0,,0,-0.7189695785850738,0.1004273452527372,0.0,0.0,0.0,169.8258881310173,0,,,,0.00039601906381492817,,,,,,,,,,,,,,,,,,,
CHL,Chile,0,23880.123,True,2,34.13595654088974,0,-0.6718258478496962,0.19876993967692913,5090.844800087503,0.0,0.0,979079.891018568,0,0.0013330694354724561,,,0.7715952349405722,,,,23.824451410658305,,,34.13595654088974,,,,,,,,4.4490075290896645,,,,"Copper, Lithium"
CHN,China,4,15893.004,True,7,73.51973684210526,4,11.220300608376078,4.814771802687441,300761265.77455086,562.6392022552816,268271.2905628162,27013441.341863375,4,52.4148383775466,6.119980989737578,4.467106142637781,14.168398180168465,73.51973684210526,3.2645223235717715,1.357158049003875,5.141065830721003,5.506216696269982,24.915062287655722,11.01159888415798,14.989293361884368,4.511340310407209,26.54221621533989,3.6033084923429692,1.5081697364786066,,48.328007194156484,11.978097193702943,21.39952921035737,22.533663094256664,21.78030303030303,"Aluminium, Lead, Natural Graphite, Rare Earth, Tin, Vanadium, Zinc"
CIV,Cote d'Ivoire,0,4840.268,False,0,,0,-0.7138605875559648,0.1110902929654859,0.0,0.0,0.0,106412.14783974772,0,,,,0.016997907617974532,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,0,3743.317,False,0,,0,-0.7181786973872685,0.10207798914918285,0.0,0.0,0.0,16616.33252006175,0,,,,0.0020527054144251077,,,,,,,,,,,,,,,,,,,
COD,DR Congo,0,1116.671,True,1,58.16391638588036,0,-0.7189777451887684,0.10041030077806695,0.0,0.0,0.0,0.0,0,,,,,,,58.16391638588036,,,,,,,,,,,,,,,,Cobalt
COD,Democratic Republic of Congo,0,1116.671,False,0,10.031347962382444,0,-0.565639045009462,0.4203711429014711,7164.15130329345,0.0,0.0,3186660.9771365067,0,8.7723578874555e-05,,,0.11743456583903769,,,,10.031347962382444,,,,,,,,,,,,2.5679435052428845,,,
COG,Congo,0,4093.991,False,0,,0,-0.7187428230448328,0.10090060552181751,0.0,0.0,0.0,4885.245228922096,0,,,,0.000660036723263178,,,,,,,,,,,,,,,,,,,
COL,Colombia,0,14999.853,False,0,1.2433392539964476,0,-0.22247971681679382,-0.17539424402583106,3516484.051543705,26.629325447389384,51510.25170046666,592.7190086462848,0,0.5783916430626779,0.2733765510583674,0.8095184579393739,0.00029340715821843784,,,,,1.2433392539964476,,,,0.046306948716482,,,0.1182707036285698,,,,,,,
CRI,Costa Rica,0,20271.551,False,0,,0,-0.7189777422685949,0.10041030687274545,0.0,0.0,0.0,0.060725496534527634,0,,,,4.062495562968138e-08,,,,,,,,,,,,,,,,,,,
CUB,Cuba,0,,False,0,4.846993032156697,0,-0.7189777451887684,0.10041030077806695,0.0,0.0,0.0,0.0,0,,,,0.0032872617218105997,,,4.846993032156697,,,,,,,,,,,,,,,,
CYP,Cyprus,0,42048.93,False,0,,0,-0.7189777451887684,0.10041030077806695,0.0,0.0,0.0,0.0,0,,,,0.0,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,0,41061.763,False,0,,0,-0.7105796356769176,0.11182273528082595,612434.3426267401,0.0,0.0,0.0,0,0.275755054974304,,,,,,,,,,,,,,,,,,,,,,
CZE,Czechia,0,41061.763,False,0,,0,-0.7189776279893131,0.10041054538442004,0.0,0.0,0.0,2.437182251526804,0,,,,3.3026339842732448e-06,,,,,,,,,,,,,,,,,,,
DEU,Germany,0,54190.139,False,0,0.01056025983735513,1,-0.1019883326752473,-0.03599988794766163,1695880.4995868343,2.431616062103107,0.0,3805.452759587865,1,1.0077246123214505,0.09018397222644972,,0.006805522070504479,,,,0.0,,,,,0.01056025983735513,,,,,,,,,,
DNK,Denmark,0,57060.339,False,0,0.02484539453979303,0,-0.7070749178971169,0.09168084109862917,0.0,1.1618549944121432,1060.0383895370828,0.0,0,,0.045373300193160146,0.06337267243345367,,,,,,,,,,0.015055415129376103,,,0.02484539453979303,,,,,,,
DOM,Dominican Republic,0,19089.518,False,0,,0,-0.7186941475149495,0.1010021959585748,0.0,0.0,0.0,5897.461004515671,0,,,,0.0037153085538613913,,,,,,,,,,,,,,,,,,,
DZA,Algeria,3,12786.558,False,0,1.2242883898572154,2,2.3064271307872906,-1.5237226165747486,0.0,266.67899109361565,107962.37939874045,69.61607650784518,2,,2.3337619144427375,1.4463459406972488,2.937636413790486e-05,,,,,,,,,1.2242883898572154,,,0.7086947859865185,,,,,,,
ECU,Ecuador,0,11448.816,False,0,0.07566461789113609,0,-0.45076795913329015,-0.11392876902199067,0.0,0.0,41513.77740720088,12234.58827532908,0,,,0.49796510279022654,0.004622583674842158,,,,,,,,,,,,0.07566461789113609,,,,,,,
