Country,Year,Resource,Metric,Kept_Source,Kept_Value,Dropped_Source,Dropped_Value,Pct_Discrepancy
Angola,1988,Oil,Production,EI_CSV,451.8885246,OWID,24606000.0,5445048.2
Angola,1989,Oil,Production,EI_CSV,459.6636164,OWID,25000000.0,5438659.8
Angola,1990,Oil,Production,EI_CSV,474.6460274,OWID,25780000.0,5431315.9
Angola,1991,Oil,Production,EI_CSV,497.6677808,OWID,24751000.0,4973298.1
Angola,1992,Oil,Production,EI_CSV,549.7369672,OWID,26356000.0,4794192.8
Angola,1993,Oil,Production,EI_CSV,503.6769863,OWID,24980000.0,4959427.8
Angola,1994,Oil,Production,EI_CSV,556.7447671,OWID,27400000.0,4921365.2
Angola,1995,Oil,Production,EI_CSV,632.8546027,OWID,31200000.0,4929942.4
Angola,1996,Oil,Production,EI_CSV,715.9760656,OWID,35400000.0,4944199.4
Angola,1997,Oil,Production,EI_CSV,741.0,OWID,36500000.0,4925676.0
Angola,1998,Oil,Production,EI_CSV,730.8493151,OWID,36000000.0,4925676.0
Angola,1999,Oil,Production,EI_CSV,745.060274,OWID,36700000.0,4925676.0
Angola,2000,Oil,Production,EI_CSV,746.0614754,OWID,36825000.0,4935820.3
Angola,2001,Oil,Production,EI_CSV,742.0150685,OWID,36469000.0,4914759.8
Angola,2002,Oil,Production,EI_CSV,905.4410959,OWID,44600000.0,4925676.0
Angola,2003,Oil,Production,EI_CSV,869.5630685,OWID,42500000.0,4887412.1
Angola,2004,Oil,Production,EI_CSV,1106.441208,OWID,48200000.0,4356209.2
Angola,2005,Oil,Production,EI_CSV,1269.022575,OWID,61200000.0,4822509.2
Angola,2006,Oil,Production,EI_CSV,1401.440285,OWID,69700000.0,4973354.9
Angola,2007,Oil,Production,EI_CSV,1655.990605,OWID,82500000.0,4981812.3
Angola,2008,Oil,Production,EI_CSV,1876.322885,OWID,93100000.0,4961732.6
Angola,2009,Oil,Production,EI_CSV,1753.832877,OWID,87600000.0,4994674.7
Angola,2010,Oil,Production,EI_CSV,1812.318233,OWID,90500000.0,4993504.2
Angola,2011,Oil,Production,EI_CSV,1670.399937,OWID,83800000.0,5016662.6
Angola,2012,Oil,Production,EI_CSV,1734.063651,OWID,86900000.0,5011250.1
Angola,2013,Oil,Production,EI_CSV,1737.851674,OWID,85700000.0,4931276.0
Angola,2014,Oil,Production,EI_CSV,1701.373826,OWID,83300000.0,4895943.3
Angola,2015,Oil,Production,EI_CSV,1795.646188,OWID,88200000.0,4911780.8
Angola,2016,Oil,Production,EI_CSV,1744.837415,OWID,85800000.0,4917263.6
Angola,2017,Oil,Production,EI_CSV,1671.357706,OWID,81600000.0,4882158.3
Angola,2018,Oil,Production,EI_CSV,1519.226037,OWID,74100000.0,4877383.5
Angola,2019,Oil,Production,EI_CSV,1420.376492,OWID,69100000.0,4864807.3
Angola,2020,Oil,Production,EI_CSV,1325.076766,OWID,64200000.0,4844902.3
Angola,2021,Oil,Production,EI_CSV,1177.299484,OWID,56600000.0,4807512.7
