FROM_NAME,FROM_TYPE,FROM_LAT,FROM_LON,TO_NAME,TO_TYPE,TO_LAT,TO_LON,EDGE_TYPE,PRODUCT_FORM,COMMODITIES,DISTANCE_KM,EXPORT_VALUE,EXPORT_UNIT,DESTINATION_TOTAL
Mejillones,port,-23.1,-70.45,Switzerland,country,47.38,8.54,port_to_country,concentrate,Copper,,0.01,kMT,0.05
Patache,port,-20.8,-70.22,Switzerland,country,47.38,8.54,port_to_country,concentrate,Copper,,0.01,kMT,0.05
Barquito,port,-27.07,-70.84,Switzerland,country,47.38,8.54,port_to_country,concentrate,Copper,,0.0,kMT,0.05
Coquimbo,port,-29.96,-71.35,Switzerland,country,47.38,8.54,port_to_country,concentrate,Copper,,0.01,kMT,0.05
Angamos,port,-23.1,-70.42,Switzerland,country,47.38,8.54,port_to_country,concentrate,Copper,,0.0,kMT,0.05
Caldera,port,-27.07,-70.82,Switzerland,country,47.38,8.54,port_to_country,concentrate,Copper,,0.0,kMT,0.05
Coloso,port,-23.76,-70.45,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,,0.01,kMT,0.03
Mejillones,port,-23.1,-70.45,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,,0.01,kMT,0.03
Patache,port,-20.8,-70.22,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,,0.0,kMT,0.03
Barquito,port,-27.07,-70.84,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,,0.0,kMT,0.03
Coquimbo,port,-29.96,-71.35,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,,0.0,kMT,0.03
Angamos,port,-23.1,-70.42,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,,0.0,kMT,0.03
Caldera,port,-27.07,-70.82,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,,0.0,kMT,0.03
Coloso,port,-23.76,-70.45,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,,1.68,kMT,4.79
Mejillones,port,-23.1,-70.45,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,,0.96,kMT,4.79
Patache,port,-20.8,-70.22,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,,0.72,kMT,4.79
Barquito,port,-27.07,-70.84,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,,0.38,kMT,4.79
Coquimbo,port,-29.96,-71.35,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,,0.58,kMT,4.79
Angamos,port,-23.1,-70.42,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,,0.24,kMT,4.79
Caldera,port,-27.07,-70.82,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,,0.24,kMT,4.79
Coloso,port,-23.76,-70.45,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,,0.01,kMT,0.02
Mejillones,port,-23.1,-70.45,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Patache,port,-20.8,-70.22,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Barquito,port,-27.07,-70.84,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Coquimbo,port,-29.96,-71.35,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Angamos,port,-23.1,-70.42,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Caldera,port,-27.07,-70.82,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Coloso,port,-23.76,-70.45,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,,2.86,kMT,8.17
Mejillones,port,-23.1,-70.45,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,,1.63,kMT,8.17
Patache,port,-20.8,-70.22,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,,1.22,kMT,8.17
Barquito,port,-27.07,-70.84,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,,0.65,kMT,8.17
Coquimbo,port,-29.96,-71.35,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,,0.98,kMT,8.17
Angamos,port,-23.1,-70.42,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,,0.41,kMT,8.17
