Year,Country Code,Value,Variable
1990,DZA,10083.801,"Gross domestic product per capita, constant prices"
1991,DZA,9721.525,"Gross domestic product per capita, constant prices"
1992,DZA,9640.961,"Gross domestic product per capita, constant prices"
1993,DZA,9219.623,"Gross domestic product per capita, constant prices"
1994,DZA,8936.608,"Gross domestic product per capita, constant prices"
1995,DZA,9093.926,"Gross domestic product per capita, constant prices"
1996,DZA,9272.29,"Gross domestic product per capita, constant prices"
1997,DZA,9219.688,"Gross domestic product per capita, constant prices"
1998,DZA,9538.175,"Gross domestic product per capita, constant prices"
1999,DZA,9692.945,"Gross domestic product per capita, constant prices"
2000,DZA,9882.848,"Gross domestic product per capita, constant prices"
2001,DZA,10032.007,"Gross domestic product per capita, constant prices"
2002,DZA,10418.306,"Gross domestic product per capita, constant prices"
2003,DZA,10931.954,"Gross domestic product per capita, constant prices"
2004,DZA,11257.407,"Gross domestic product per capita, constant prices"
2005,DZA,11684.367,"Gross domestic product per capita, constant prices"
2006,DZA,11840.876,"Gross domestic product per capita, constant prices"
2007,DZA,12029.272,"Gross domestic product per capita, constant prices"
2008,DZA,12063.113,"Gross domestic product per capita, constant prices"
2009,DZA,11968.318,"Gross domestic product per capita, constant prices"
2010,DZA,12297.062,"Gross domestic product per capita, constant prices"
2011,DZA,12410.163,"Gross domestic product per capita, constant prices"
2012,DZA,12448.28,"Gross domestic product per capita, constant prices"
2013,DZA,12504.092,"Gross domestic product per capita, constant prices"
2014,DZA,12743.188,"Gross domestic product per capita, constant prices"
2015,DZA,12866.813,"Gross domestic product per capita, constant prices"
2016,DZA,13080.748,"Gross domestic product per capita, constant prices"
2017,DZA,12998.363,"Gross domestic product per capita, constant prices"
2018,DZA,12920.12,"Gross domestic product per capita, constant prices"
2019,DZA,12786.558,"Gross domestic product per capita, constant prices"
2020,DZA,12026.735,"Gross domestic product per capita, constant prices"
2021,DZA,12281.106,"Gross domestic product per capita, constant prices"
2022,DZA,12524.602,"Gross domestic product per capita, constant prices"
2023,DZA,12854.883,"Gross domestic product per capita, constant prices"
2024,DZA,13162.677,"Gross domestic product per capita, constant prices"
2025,DZA,13391.67,"Gross domestic product per capita, constant prices"
2026,DZA,13557.343,"Gross domestic product per capita, constant prices"
2027,DZA,13679.396,"Gross domestic product per capita, constant prices"
2028,DZA,13802.24,"Gross domestic product per capita, constant prices"
2029,DZA,13927.054,"Gross domestic product per capita, constant prices"
1980,AND,,"Gross domestic product per capita, constant prices"
1981,AND,,"Gross domestic product per capita, constant prices"
1982,AND,,"Gross domestic product per capita, constant prices"
1983,AND,,"Gross domestic product per capita, constant prices"
1984,AND,,"Gross domestic product per capita, constant prices"
1985,AND,,"Gross domestic product per capita, constant prices"
1986,AND,,"Gross domestic product per capita, constant prices"
1987,AND,,"Gross domestic product per capita, constant prices"
1988,AND,,"Gross domestic product per capita, constant prices"
1989,AND,,"Gross domestic product per capita, constant prices"
1990,AND,,"Gross domestic product per capita, constant prices"
1991,AND,,"Gross domestic product per capita, constant prices"
1992,AND,,"Gross domestic product per capita, constant prices"
1993,AND,,"Gross domestic product per capita, constant prices"
1994,AND,,"Gross domestic product per capita, constant prices"
1995,AND,,"Gross domestic product per capita, constant prices"
1996,AND,,"Gross domestic product per capita, constant prices"
1997,AND,,"Gross domestic product per capita, constant prices"
1998,AND,,"Gross domestic product per capita, constant prices"
1999,AND,,"Gross domestic product per capita, constant prices"
2000,AND,,"Gross domestic product per capita, constant prices"
2001,AND,,"Gross domestic product per capita, constant prices"
2002,AND,,"Gross domestic product per capita, constant prices"
2003,AND,,"Gross domestic product per capita, constant prices"
2004,AND,,"Gross domestic product per capita, constant prices"
2005,AND,,"Gross domestic product per capita, constant prices"
2006,AND,,"Gross domestic product per capita, constant prices"
2007,AND,,"Gross domestic product per capita, constant prices"
2008,AND,,"Gross domestic product per capita, constant prices"
2009,AND,,"Gross domestic product per capita, constant prices"
2010,AND,60467.086,"Gross domestic product per capita, constant prices"
2011,AND,60911.089,"Gross domestic product per capita, constant prices"
2012,AND,57892.718,"Gross domestic product per capita, constant prices"
2013,AND,55672.916,"Gross domestic product per capita, constant prices"
2014,AND,56578.793,"Gross domestic product per capita, constant prices"
2015,AND,56460.538,"Gross domestic product per capita, constant prices"
2016,AND,57455.308,"Gross domestic product per capita, constant prices"
2017,AND,56352.197,"Gross domestic product per capita, constant prices"
2018,AND,56208.168,"Gross domestic product per capita, constant prices"
2019,AND,56330.948,"Gross domestic product per capita, constant prices"
2020,AND,49728.236,"Gross domestic product per capita, constant prices"
2021,AND,52819.99,"Gross domestic product per capita, constant prices"
2022,AND,56415.783,"Gross domestic product per capita, constant prices"
2023,AND,55317.396,"Gross domestic product per capita, constant prices"
2024,AND,55218.64,"Gross domestic product per capita, constant prices"
2025,AND,54957.623,"Gross domestic product per capita, constant prices"
2026,AND,54697.84,"Gross domestic product per capita, constant prices"
2027,AND,54439.286,"Gross domestic product per capita, constant prices"
2028,AND,54181.953,"Gross domestic product per capita, constant prices"
2029,AND,53925.837,"Gross domestic product per capita, constant prices"
1980,AGO,3496.048,"Gross domestic product per capita, constant prices"
1981,AGO,3254.269,"Gross domestic product per capita, constant prices"
1982,AGO,3170.396,"Gross domestic product per capita, constant prices"
1983,AGO,3219.271,"Gross domestic product per capita, constant prices"
1984,AGO,3324.535,"Gross domestic product per capita, constant prices"
1985,AGO,3053.547,"Gross domestic product per capita, constant prices"
