,Country,Country Code,Year,PC1,PC2,Cluster,ClusterLabels,hover_text
31,Mali,MLI,1995,-3.638697035,-0.478752118,3,"No Oil, No Minerals",<b>Mali</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $10
32,Mongolia,MNG,1995,-4.123628609,5.4079131423965645,0,"Minerals, No Oil",<b>Mongolia</b><br>Cluster: 0<br><br>Top Resources:<br>  Copper: $179<br>  Coal: $103<br>  Gold: $27
33,Mozambique,MOZ,1995,-3.452385447,-1.514031141,3,"No Oil, No Minerals",<b>Mozambique</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $0<br>  Natural Graphite: $0<br>  Bauxite: $0
34,Myanmar,MMR,1995,-2.799858387,-0.926847055,3,"No Oil, No Minerals",<b>Myanmar</b><br>Cluster: 3<br><br>Top Resources:<br>  Tin: $4<br>  Natural Gas: $3<br>  Copper: $0
35,Niger,NER,1995,-3.443211409,-1.2641473,3,"No Oil, No Minerals",<b>Niger</b><br>Cluster: 3<br><br>Top Resources:<br>  Coal: $1<br>  Gold: $0
36,Nigeria,NGA,1995,1.290130871825184,-1.73200935,1,"Some Oil, No Minerals",<b>Nigeria</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $127<br>  Natural Gas: $3<br>  Coal: $0
37,Oman,OMN,1995,5.625871550998885,-0.317793699,2,"Oil, Few Minerals",<b>Oman</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $3.0K<br>  Natural Gas: $123<br>  Gold: $4
38,Papua New Guinea,PNG,1995,-4.292256289,3.967814682622045,0,"Minerals, No Oil",<b>Papua New Guinea</b><br>Cluster: 0<br><br>Top Resources:<br>  Copper: $149<br>  Gold: $148<br>  Silver: $2
39,Qatar,QAT,1995,7.645504508107043,-0.449831019,2,"Oil, Few Minerals",<b>Qatar</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $6.5K<br>  Natural Gas: $1.2K
40,Russian Federation,RUS,1995,4.306629621587842,5.2330966309996825,2,"Oil, Few Minerals",<b>Russian Federation</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $304<br>  Natural Gas: $249<br>  Coal: $83
41,Saudi Arabia,SAU,1995,6.250386616923916,0.23738525736248767,2,"Oil, Few Minerals",<b>Saudi Arabia</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $4.9K<br>  Natural Gas: $209<br>  Gold: $8
42,Tanzania,TZA,1995,-3.447606568,-1.508045232,3,"No Oil, No Minerals",<b>Tanzania</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $0<br>  Coal: $0
43,Trinidad and Tobago,TTO,1995,5.290575831447921,-0.56093231,2,"Oil, Few Minerals",<b>Trinidad and Tobago</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $792<br>  Natural Gas: $389
44,Uganda,UGA,1995,-3.528614004,-1.090172635,3,"No Oil, No Minerals",<b>Uganda</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $2
45,United Arab Emirates,ARE,1995,8.146570079217751,0.35763291856219925,2,"Oil, Few Minerals",<b>United Arab Emirates</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $7.3K<br>  Natural Gas: $856<br>  Aluminium: $205
46,Uzbekistan,UZB,1995,2.0530931042412455,3.362038937475388,1,"Some Oil, No Minerals",<b>Uzbekistan</b><br>Cluster: 1<br><br>Top Resources:<br>  Natural Gas: $129<br>  Oil: $54<br>  Gold: $37
47,"Venezuela, RB",VEN,1995,5.026907554054602,1.6785586067901759,2,"Oil, Few Minerals","<b>Venezuela, RB</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $964<br>  Natural Gas: $94<br>  Aluminium: $57"
48,Viet Nam,VNM,1995,-1.042851756,-0.985991565,3,"No Oil, No Minerals",<b>Viet Nam</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $15<br>  Coal: $5<br>  Zinc: $0
49,"Yemen, Rep.",YEM,1995,0.7108478470125508,-2.154772824,1,"Some Oil, No Minerals","<b>Yemen, Rep.</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $152"
50,Zambia,ZMB,1995,-3.890198542,1.7840098142024323,0,"Minerals, No Oil",<b>Zambia</b><br>Cluster: 0<br><br>Top Resources:<br>  Copper: $127<br>  Cobalt: $21<br>  Coal: $1
51,Zimbabwe,ZWE,1995,-3.801369734,2.235742586425099,0,"Minerals, No Oil",<b>Zimbabwe</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $29<br>  Coal: $23<br>  Copper: $2
