Country,Country Code,Year,PC1,PC2,Cluster,ClusterLabels,hover_text
Algeria,DZA,1995.0,3.63406095296313,-1.0648561451056358,2,Petrostates,"<b>Algeria</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $56,902,879,951<br>  Natural Gas: $33,994,688,278<br>  Zinc: $13,828,880"
Angola,AGO,1995.0,0.796312172871986,-1.6102091921429622,3,Oil Exporters,"<b>Angola</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $34,071,424,521"
Azerbaijan,AZE,1995.0,2.832835047244051,-1.0947938068286511,3,Oil Exporters,"<b>Azerbaijan</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $11,831,582,369<br>  Natural Gas: $2,349,283,061<br>  Aluminium: $77,077,300"
Bahrain,BHR,1995.0,6.401074933728129,-0.5301910865173411,2,Petrostates,"<b>Bahrain</b><br>Cluster: 2<br><br>Top Resources:<br>  Natural Gas: $3,941,490,285<br>  Aluminium: $2,883,103,410<br>  Oil: $1,224,628,037"
Bolivia,BOL,1995.0,0.48495599035519676,1.381233046138599,0,Major Producers,"<b>Bolivia</b><br>Cluster: 0<br><br>Top Resources:<br>  Natural Gas: $3,478,288,287<br>  Oil: $1,127,882,451<br>  Zinc: $587,095,370"
Burkina Faso,BFA,1995.0,-3.7285496612019804,-0.9402147514240882,1,Forestry Intensive,"<b>Burkina Faso</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $44,827,500"
Cameroon,CMR,1995.0,-0.0898281735848245,-1.2108716786309772,3,Oil Exporters,"<b>Cameroon</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $2,993,639,851<br>  Aluminium: $432,856,200<br>  Gold: $24,524,000"
Chad,TCD,1999.0,-3.677184692846622,-1.395044465762735,1,Forestry Intensive,"<b>Chad</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $3,648,102,312"
Chile,CHL,1995.0,-2.6667254118658867,6.362872068133276,4,Mining Exporters,"<b>Chile</b><br>Cluster: 4<br><br>Top Resources:<br>  Copper: $35,247,844,000<br>  Gold: $1,563,867,100<br>  Silver: $736,453,631"
"Congo, Dem. Rep.",COD,1995.0,-2.447371106652199,-0.41734807100978455,1,Forestry Intensive,"<b>Congo, Dem. Rep.</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $2,334,442,642<br>  Cobalt: $1,156,461,000<br>  Copper: $534,181,900"
"Congo, Rep.",COG,1995.0,1.0698927841662642,-1.623367779069256,3,Oil Exporters,"<b>Congo, Rep.</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $7,773,823,220<br>  Gold: $500,500"
Cote d'Ivoire,CIV,1995.0,-2.43845875611115,-1.0032446876175374,1,Forestry Intensive,"<b>Cote d'Ivoire</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $1,025,943,251<br>  Gold: $74,182,400"
Ecuador,ECU,1995.0,0.4404771538679653,-0.5669078739858849,3,Oil Exporters,"<b>Ecuador</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $15,592,212,376<br>  Gold: $186,451,400<br>  Silver: $66,788"
"Egypt, Arab Rep.",EGY,1995.0,1.6645792337243073,-1.2019342726696358,3,Oil Exporters,"<b>Egypt, Arab Rep.</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $24,533,090,616<br>  Natural Gas: $13,030,048,073<br>  Aluminium: $1,035,860,000"
Equatorial Guinea,GNQ,1995.0,-0.24448714921509176,-1.5601491813559372,3,Oil Exporters,"<b>Equatorial Guinea</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $8,265,056,536<br>  Gold: $2,860,000"
Ethiopia,ETH,1995.0,-3.6892724901168847,-1.2880086871873262,1,Forestry Intensive,"<b>Ethiopia</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $94,303,000<br>  Silver: $324,829"
Gabon,GAB,1995.0,2.3952297535124,-1.974973592403054,3,Oil Exporters,"<b>Gabon</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $9,818,183,047<br>  Manganese: $1,628,737,967<br>  Gold: $4,920,000"
Ghana,GHA,1995.0,-2.512096910379179,0.36381783887931574,1,Forestry Intensive,"<b>Ghana</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $2,300,415,600<br>  Aluminium: $458,050,000<br>  Manganese: $366,028,210"
Guinea,GIN,1995.0,-3.825687015337308,0.12134874866503162,1,Forestry Intensive,"<b>Guinea</b><br>Cluster: 1<br><br>Top Resources:<br>  Bauxite: $1,257,698,532<br>  Gold: $561,765,900"
Indonesia,IDN,1995.0,1.2382892940400503,2.3292933425825324,0,Major Producers,"<b>Indonesia</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $40,840,669,720<br>  Natural Gas: $30,112,889,766<br>  Coal: $11,298,502,044"
"Iran, Islamic Rep.",IRN,1995.0,3.309756317978437,1.0979859622560364,2,Petrostates,"<b>Iran, Islamic Rep.</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $130,816,003,901<br>  Natural Gas: $32,214,897,890<br>  Iron ore: $2,296,747,895"
Iraq,IRQ,1995.0,1.6578265906289402,-1.3443480376649908,3,Oil Exporters,"<b>Iraq</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $56,888,709,809<br>  Natural Gas: $805,266,677"
Kazakhstan,KAZ,1995.0,1.895174887379423,6.3759692912238926,0,Major Producers,"<b>Kazakhstan</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $32,855,417,690<br>  Coal: $9,189,992,886<br>  Natural Gas: $5,923,396,219"
Kenya,KEN,1995.0,-3.6808043523782317,-1.362978947010688,1,Forestry Intensive,"<b>Kenya</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $19,591,200<br>  Lead: $3,732"
Kuwait,KWT,1995.0,6.759567153289087,-1.1229280585836787,2,Petrostates,"<b>Kuwait</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $80,023,791,851<br>  Natural Gas: $4,355,817,532"
Lao PDR,LAO,1995.0,-3.6748093307270464,-1.2783319236181332,1,Forestry Intensive,"<b>Lao PDR</b><br>Cluster: 1<br><br>Top Resources:<br>  Copper: $116,433,600<br>  Gold: $90,633,400<br>  Coal: $34,175,589"
Liberia,LBR,1995.0,-3.768627990901197,-0.5853266665692515,1,Forestry Intensive,"<b>Liberia</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $10,502,500"
Libya,LBY,1995.0,4.768930118608129,-1.2201592892705995,2,Petrostates,"<b>Libya</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $53,004,058,647<br>  Natural Gas: $3,654,269,683"
Madagascar,MDG,1995.0,-3.678305097041539,-1.3960653347968988,1,Forestry Intensive,"<b>Madagascar</b><br>Cluster: 1<br><br>Top Resources:<br>  Natural Graphite: $21,499,700<br>  Coal: $414,267<br>  Gold: $143,000"
Malawi,MWI,1995.0,-3.676646400319113,-1.3685956608477876,1,Forestry Intensive,"<b>Malawi</b><br>Cluster: 1<br><br>Top Resources:<br>  Coal: $4,361,275"
Malaysia,MYS,1995.0,3.0407962591919344,0.41574885068039824,2,Petrostates,"<b>Malaysia</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $23,661,757,838<br>  Natural Gas: $23,365,554,531<br>  Gold: $131,024,800"
Mali,MLI,1995.0,-3.8023223083507403,-0.28696813017560796,1,Forestry Intensive,"<b>Mali</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $1,013,901,000"
Mongolia,MNG,1995.0,-4.027445802522814,5.728125686770357,4,Mining Exporters,"<b>Mongolia</b><br>Cluster: 4<br><br>Top Resources:<br>  Copper: $1,078,532,900<br>  Coal: $707,183,288<br>  Gold: $491,136,200"
Mozambique,MOZ,1995.0,-3.6864011146492026,-1.3148337630960467,1,Forestry Intensive,"<b>Mozambique</b><br>Cluster: 1<br><br>Top Resources:<br>  Aluminium: $924,679,000<br>  Gold: $3,998,300<br>  Natural Graphite: $3,997,490"
Myanmar,MMR,1995.0,-2.1777568349554253,-1.031547567732967,1,Forestry Intensive,"<b>Myanmar</b><br>Cluster: 1<br><br>Top Resources:<br>  Natural Gas: $3,446,936,010<br>  Oil: $592,921,942<br>  Tin: $540,055,124"
Niger,NER,1995.0,-3.678568049835754,-1.0922159386946013,1,Forestry Intensive,"<b>Niger</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $72,385,600<br>  Coal: $20,344,897<br>  Silver: $47,436"
Nigeria,NGA,1995.0,0.7731578277930483,-1.4359322154048333,3,Oil Exporters,"<b>Nigeria</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $73,921,083,615<br>  Natural Gas: $6,793,277,639<br>  Aluminium: $22,578,000"
Oman,OMN,1995.0,5.170846685977035,-0.47617638031877896,2,Petrostates,"<b>Oman</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $26,733,653,982<br>  Natural Gas: $6,240,818,139<br>  Gold: $17,954,400"
Papua New Guinea,PNG,1995.0,-0.3259183577722895,4.16458611027798,0,Major Producers,"<b>Papua New Guinea</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $2,208,075,400<br>  Oil: $2,005,604,359<br>  Copper: $1,699,851,880"
Qatar,QAT,1995.0,7.202730565821127,-0.9786626658624119,2,Petrostates,"<b>Qatar</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $30,450,967,906<br>  Natural Gas: $15,031,260,824"
Russian Federation,RUS,1995.0,4.429208302057957,4.804955032518397,0,Major Producers,"<b>Russian Federation</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $269,859,752,699<br>  Natural Gas: $236,326,784,189<br>  Coal: $31,969,968,813"
Rwanda,RWA,1999.0,-3.677769409265232,-1.3898668824766784,1,Forestry Intensive,"<b>Rwanda</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $90,000"
Saudi Arabia,SAU,1995.0,5.830612617872603,0.015535130382306783,2,Petrostates,"<b>Saudi Arabia</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $327,333,684,657<br>  Natural Gas: $24,269,414,872<br>  Gold: $248,038,100"
Tanzania,TZA,1995.0,-3.6831997218819237,-1.3117179556214509,1,Forestry Intensive,"<b>Tanzania</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $723,939,000<br>  Copper: $13,985,020<br>  Coal: $5,208,759"
Togo,TGO,2005.0,-3.8251543085123165,-0.08479391604147946,1,Forestry Intensive,"<b>Togo</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $88,359,700"
Trinidad and Tobago,TTO,1995.0,4.87581964190857,-1.0211599673654668,2,Petrostates,"<b>Trinidad and Tobago</b><br>Cluster: 2<br><br>Top Resources:<br>  Natural Gas: $9,432,269,882<br>  Oil: $5,220,080,143"
Uganda,UGA,1995.0,-3.7330520138823635,-0.9003470390699825,1,Forestry Intensive,"<b>Uganda</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $109,837,600"
United Arab Emirates,ARE,1995.0,8.064293927412441,-0.7458600864114834,2,Petrostates,"<b>United Arab Emirates</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $89,627,498,651<br>  Natural Gas: $17,467,540,851<br>  Aluminium: $2,335,565,550"
Uzbekistan,UZB,1995.0,1.9023104106459883,2.8990047036276,0,Major Producers,"<b>Uzbekistan</b><br>Cluster: 0<br><br>Top Resources:<br>  Natural Gas: $21,456,361,909<br>  Oil: $4,605,815,114<br>  Gold: $2,785,743,000"
"Venezuela, RB",VEN,1995.0,4.893181581925423,0.9344033573064383,2,Petrostates,"<b>Venezuela, RB</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $104,391,946,298<br>  Natural Gas: $12,553,586,997<br>  Aluminium: $3,124,186,360"
Viet Nam,VNM,1995.0,-1.4908884418951158,-0.7089383443102133,1,Forestry Intensive,"<b>Viet Nam</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $10,688,678,855<br>  Coal: $2,264,516,559<br>  Natural Gas: $1,775,586,619"
"Yemen, Rep.",YEM,1995.0,0.17665480764132588,-1.5804051235493126,3,Oil Exporters,"<b>Yemen, Rep.</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $13,213,493,845"
Zambia,ZMB,1995.0,-3.9247048837793277,2.127526504729546,4,Mining Exporters,"<b>Zambia</b><br>Cluster: 4<br><br>Top Resources:<br>  Copper: $3,271,780,190<br>  Cobalt: $504,190,300<br>  Coal: $21,068,776"
Zimbabwe,ZWE,1995.0,-3.8765392266241565,2.397869492032434,4,Mining Exporters,"<b>Zimbabwe</b><br>Cluster: 4<br><br>Top Resources:<br>  Gold: $741,660,800<br>  Coal: $518,188,680<br>  Copper: $42,666,240"
