,Country,Country Code,Year,PC1,PC2,PC3,Cluster,hover_text
28,Cyprus,CYP,1995.0,-2.2330112444936936,-0.6997631977415301,-0.5488920708210876,5,<b>Cyprus</b><br>Cluster: 5<br><br>Top Resources:<br>  (No significant production)
29,Czechia,CZE,1995.0,-1.7194949976533989,-0.3344538065741762,-0.3852645799018626,5,<b>Czechia</b><br>Cluster: 5<br><br>Top Resources:<br>  Coal: $3.5B
30,Denmark,DNK,1995.0,-1.624837204653871,-1.3952930625811777,1.3333306180594997,0,<b>Denmark</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $3.7M<br>  Natural Gas: $389
31,Dominican Republic,DOM,1995.0,-1.3852200860864352,0.587794107996259,-1.1196681135208753,5,<b>Dominican Republic</b><br>Cluster: 5<br><br>Top Resources:<br>  Gold: $43.7M<br>  Silver: $3.7M
32,Ecuador,ECU,1995.0,-1.5728001253447077,-0.5431404829975927,-0.11965835880337172,5,<b>Ecuador</b><br>Cluster: 5<br><br>Top Resources:<br>  Gold: $98.6M<br>  Oil: $7.8M
33,"Egypt, Arab Rep.",EGY,1995.0,-1.0879189324218126,-1.6916215456935777,2.00452915689447,0,"<b>Egypt, Arab Rep.</b><br>Cluster: 0<br><br>Top Resources:<br>  Aluminium: $363.6M<br>  Oil: $18.3M<br>  Natural Gas: $850"
34,Equatorial Guinea,GNQ,1995.0,-2.0111437231550915,-1.0172258367664575,0.19750171596936655,5,<b>Equatorial Guinea</b><br>Cluster: 5<br><br>Top Resources:<br>  Oil: $138.6K
35,Eswatini,SWZ,1995.0,-1.8621643398410304,-0.43594709106809276,-0.4307249263600316,5,<b>Eswatini</b><br>Cluster: 5<br><br>Top Resources:<br>  Coal: $7.9M
36,Ethiopia,ETH,1995.0,-1.906406319088794,-0.17557537446561935,-1.0633437731114606,5,<b>Ethiopia</b><br>Cluster: 5<br><br>Top Resources:<br>  Gold: $15.7M
37,Finland,FIN,1995.0,-0.886232327213752,1.1557752816467974,-0.9452005044284303,3,<b>Finland</b><br>Cluster: 3<br><br>Top Resources:<br>  Copper: $29.5M<br>  Zinc: $21.6M<br>  Gold: $14.0M
38,France,FRA,1995.0,-0.011689725336121226,0.22264181929202714,-0.495570333865599,3,<b>France</b><br>Cluster: 3<br><br>Top Resources:<br>  Aluminium: $736.3M<br>  Coal: $385.5M<br>  Gold: $78.9M
39,Gabon,GAB,1995.0,-1.0974169597017422,-2.111842677681853,-0.5975976196687651,5,<b>Gabon</b><br>Cluster: 5<br><br>Top Resources:<br>  Manganese: $519.0M<br>  Oil: $7.0M
40,Georgia,GEO,1995.0,-0.6419205623693633,1.2697060450050863,-0.8403467117836871,3,<b>Georgia</b><br>Cluster: 3<br><br>Top Resources:<br>  Copper: $18.9M<br>  Gold: $6.7M<br>  Zinc: $2.6M
41,Germany,DEU,1995.0,-0.13719725515850006,-0.797815571588115,1.7962063229834346,0,<b>Germany</b><br>Cluster: 0<br><br>Top Resources:<br>  Coal: $11.3B<br>  Aluminium: $1.2B<br>  Cadmium: $1.6M
42,Ghana,GHA,1995.0,0.33138696060705725,-1.0308766104320979,-1.693154754367041,5,<b>Ghana</b><br>Cluster: 5<br><br>Top Resources:<br>  Gold: $682.7M<br>  Aluminium: $273.5M<br>  Manganese: $116.6M
