Country Code,Country Name,Year,Last_Known_ECI,Ensemble,LASSO,Ridge,Elastic Net,Random Forest,LASSO (Δ),Ridge (Δ),Elastic Net (Δ),Random Forest (Δ)
AGO,Angola,2020,-1.204,-1.2059444063969198,-1.177606191381546,-1.2897396865281818,-1.1783905696490278,-1.1881398679673538,-1.1885768946250443,-1.2504831346809326,-1.1899833644669369,-1.1846355418763346
AGO,Angola,2021,-1.204,-1.2146059028063683,-1.1604114123133698,-1.369965807891846,-1.1624521425520795,-1.191150167671562,-1.1808260282918086,-1.3001504547615244,-1.1835432860941333,-1.168347922874624
AGO,Angola,2022,-1.204,-1.234952161793168,-1.1508088113506374,-1.4457754981051285,-1.1543093275719996,-1.204270292190966,-1.179779773049679,-1.3525083355629104,-1.1837133214170512,-1.2084519350969727
AGO,Angola,2023,-1.204,-1.2591645419579027,-1.147472619613863,-1.5180403080023195,-1.1524510115392033,-1.2055951715273154,-1.1845927409702852,-1.407137037242984,-1.1896505368613826,-1.2683769099058686
AGO,Angola,2024,-1.204,-1.2851669982430844,-1.1493089817080977,-1.5874525876946786,-1.1556596015121172,-1.204183579051631,-1.1945263416181389,-1.4636796458495143,-1.200619724381579,-1.3259055241289195
AGO,Angola,2025,-1.204,-1.3112314857961656,-1.1554153876683144,-1.6545623322687808,-1.162954011096148,-1.2020702951533262,-1.208935290369356,-1.5218326696561566,-1.2159796343148983,-1.368102265842344
AGO,Angola,2026,-1.204,-1.3400670646306576,-1.1650472013746611,-1.7198064515919573,-1.1735437211606476,-1.202860958431762,-1.2272558211286635,-1.581338043021643,-1.2351709676541323,-1.415513352681793
AGO,Angola,2027,-1.204,-1.3707067354974076,-1.1775900440695906,-1.7835320219142154,-1.186791763851037,-1.2028609584317618,-1.24899538812879,-1.641976327096668,-1.2577059028881914,-1.4662014775990067
AGO,Angola,2028,-1.204,-1.4041163217525026,-1.1925370087583131,-1.84601475667745,-1.202184896625755,-1.2028609584317618,-1.2737236686971036,-1.7035609282364979,-1.283158961295293,-1.5288893952978464
AGO,Angola,2029,-1.204,-1.4384254125005849,-1.2094698604380563,-1.9074736795170708,-1.2193095697199663,-1.2028609584317618,-1.3010647026388662,-1.76593318179098,-1.3111590396367017,-1.5901323078312763
AGO,Angola,2030,-1.204,-1.4736141118423158,-1.2280435249249115,-1.9680827803283065,-1.2378325617146617,-1.204190594795399,-1.3306900246488145,-1.8289581717438486,-1.3413824610591485,-1.6497327755234366
ARE,United Arab Emirates,2020,0.333,0.31049751986069524,0.2966663614580598,0.33894640119175956,0.3006394395211818,0.24250837523920732,0.31197019193122,0.3391639693077228,0.3153545161093555,0.33873090412705503
ARE,United Arab Emirates,2021,0.333,0.2965248051086643,0.2669991045377226,0.34920731373413827,0.275866134355062,0.19559000907113464,0.2934573943997286,0.3468216989701488,0.3001336525153409,0.34412313328603855
ARE,United Arab Emirates,2022,0.333,0.2899303276048864,0.24286918671852697,0.3629722028023854,0.25725629567563923,0.18491594176413048,0.27716934505041496,0.3558093829470686,0.28705687332439256,0.3513933925565332
ARE,United Arab Emirates,2023,0.333,0.2865510130584781,0.2233450661071289,0.37959718871213055,0.24366269291162046,0.18362547218741096,0.2628507029056118,0.3659877333859951,0.2758794946701898,0.3574597535877371
ARE,United Arab Emirates,2024,0.333,0.2848622557482059,0.2076581531390701,0.39857078073492547,0.23416093477711097,0.18362547218741093,0.25027838410338515,0.37723831078478487,0.26638810288335485,0.3609779073756045
ARE,United Arab Emirates,2025,0.333,0.28281423798484084,0.19517430572926142,0.4194866564294213,0.22800618473199474,0.18362547218741096,0.23925748686999684,0.38946040344878924,0.2583965582115529,0.3491068362702993
ARE,United Arab Emirates,2026,0.333,0.28238742576573184,0.18537031070557863,0.4420220378503654,0.22459828407728988,0.18362547218741096,0.22961773128884086,0.4025683740251364,0.2517425092576107,0.3395546867336216
ARE,United Arab Emirates,2027,0.333,0.283462192346583,0.17781447928735084,0.46592051385394995,0.22345364957752967,0.18362547218741093,0.2212103488318363,0.41648940320289635,0.24628435286672984,0.33289931896496017
ARE,United Arab Emirates,2028,0.333,0.2863428704652885,0.17215063694900112,0.4909783943317403,0.2241826297188374,0.18362547218741093,0.21390536483498016,0.43116157113206827,0.24189858253512853,0.3328403120331416
ARE,United Arab Emirates,2029,0.333,0.29015108064578177,0.16808491389740476,0.517033870168663,0.22647125931149803,0.18362547218741093,0.20758922427759274,0.446532226012255,0.23847747568771266,0.33339420362371674
ARE,United Arab Emirates,2030,0.333,0.29515059926411524,0.1653748462585063,0.5439584020364134,0.23006655809791599,0.18362547218741096,0.20216271749584871,0.46255659686799355,0.23592707651786787,0.3375331246509652
AZE,Azerbaijan,2020,-0.827,-0.825845286261943,-0.8141858404877742,-0.8244413600290887,-0.8100107209760672,-0.8111799805103473,-0.8304645535194202,-0.836016817273865,-0.8304671169517894,-0.8499959003471924
AZE,Azerbaijan,2021,-0.827,-0.8292735829540872,-0.807891060291223,-0.824911302872997,-0.8007610155869822,-0.8065886056302165,-0.8371190321091482,-0.8468394181484192,-0.8370864282993261,-0.8729918006943849
AZE,Azerbaijan,2022,-0.827,-0.8356184952561769,-0.8069786011858194,-0.8277957013464406,-0.7977520682744443,-0.8018181917689005,-0.8465627834735788,-0.8592037592177301,-0.8464577459777604,-0.8983791108047412
AZE,Azerbaijan,2023,-0.827,-0.8455237372410858,-0.8105103077415216,-0.8326066997692578,-0.7997761950070784,-0.7963007500011113,-0.8584457695490498,-0.87288531860868,-0.8582320253007995,-0.9354328319511875
AZE,Azerbaijan,2024,-0.827,-0.8582986645614654,-0.8177121337468585,-0.8389567511147585,-0.8058602935832418,-0.7897013842250036,-0.8724621724297198,-0.8876931804704072,-0.8721048289207807,-0.9818985720009528
AZE,Azerbaijan,2025,-0.827,-0.8772648093432746,-0.8279454349875494,-0.846537992414439,-0.8152202782071131,-0.7908087041007797,-0.8883448080540763,-0.9034650048865186,-0.8878106260839305,-1.05798562601179
AZE,Azerbaijan,2026,-0.827,-0.8987209421452422,-0.8406832837086485,-0.8551058608130875,-0.8272243647411462,-0.7908087041007797,-0.9058602456080218,-0.9200627506816189,-0.905117820431455,-1.1449045070771806
AZE,Azerbaijan,2027,-0.827,-0.9169547550216,-0.8554909263294873,-0.8644660783485318,-0.841363487470107,-0.7889546614715826,-0.9248045434916647,-0.9373690384303157,-0.9238244132394989,-1.1993648913916117
AZE,Azerbaijan,2028,-0.827,-0.9324054654479201,-0.8720096596424053,-0.8744643128080852,-0.857227462144303,-0.7898777997694547,-0.9449995239595902,-0.9552840578443669,-0.9437542208899277,-1.221626686525228
AZE,Azerbaijan,2029,-0.827,-0.9485632639066894,-0.8899435275083226,-0.884977964430012,-0.8744857791386295,-0.7898777997694545,-0.9662895183842204,-0.9737229380564493,-0.964753575742141,-1.2444550082242862
AZE,Azerbaijan,2030,-0.827,-0.9665530960494162,-0.9090483446665879,-0.8959096413521986,-0.8928721273688144,-0.7898777997694547,-0.9885385236886528,-0.9926135115150303,-0.986688448628061,-1.27687637140653
BFA,Burkina Faso,2020,-0.884,-0.9019519668276856,-0.8798849580634865,-0.9749919264201732,-0.8865765960254283,-0.8885653313511626,-0.8774830950533877,-0.9299714863043261,-0.8796641165806434,-0.8984782248228769
BFA,Burkina Faso,2021,-0.884,-0.9154210119466957,-0.8747377128221998,-1.0511433313967218,-0.886978605059055,-0.8885653313511623,-0.8702753829087839,-0.9709508342614085,-0.8744173017541255,-0.9062995960201088
