Feature,LASSO,Ridge,Elastic Net,LASSO_Imp,Ridge_Imp,Elastic Net_Imp,VIF,LASSO_Selected,Elastic Net_Selected
Domestic Credit,0.06831829721879544,0.06594809744254902,0.07508730473622406,0.13547093732292056,0.13781937539959935,0.155571540861894,2.8158686441431,1,1
HC × Production,0.014795171189152006,0.030918775250301508,0.023918780710203324,0.02933790493092197,0.0634419847310144,0.049556733774050794,1.6589109751877966,1,1
Electricity,0.013313696593061211,0.07183872997179663,0.018317009191566636,0.02640023288225006,0.15032689337292424,0.03795056106919728,5.634205500144519,1,1
Human Capital,0.008758938710381092,0.03321950224683341,0.016151151298935764,0.01736843108441661,0.06832709411747821,0.033463173343294156,3.33075751209852,1,1
Urban Population,0.006710830200564243,0.03785673703322177,0.011618623189295314,0.013307159201785362,0.07817328587181056,0.024072339773042985,2.1982617934753135,1,1
Depreciation,-0.0,-0.0327240471512926,-0.003957497446083267,0.0,0.0672750995342677,0.008199441674021988,1.4393433794314272,0,1
Capital Formation,0.0,0.018352858512072884,0.0,0.0,0.03676090614151814,0.0,1.4349710689840536,0,0
Trade,-0.0,-0.003842982596541931,-0.0,0.0,0.005952239516476194,0.0,2.486571724476809,0,0
Political Stability,0.0,0.04374356864855399,0.0,0.0,0.09067273340467329,0.0,2.349954199792303,0,0
Rule of Law,0.0,-0.025413752241011046,0.0,0.0,0.051753227387825985,0.0,2.0835799991277315,0,0
Prod Value p.c.,-0.0,-0.056404618309473124,-0.0,0.0,0.11755580672639883,0.0,9.055833440445108,0,0
Gov Revenue,-0.0,0.007537787488801412,-0.0,0.0,0.013797379808017481,0.0,2.764292962914541,0,0
Landlocked,-0.0,-0.002057091552375219,-0.0,0.0,0.002160275882280847,0.0,1.5823931551472625,0,0
Investment Share,0.0,0.0045315995772199896,0.0,0.0,0.007414372694840935,0.0,2.0129143688546187,0,0
Interest Rate,0.0,0.001039672156180673,0.0,0.0,0.0,0.0,2.2517453622239607,0,0
IMF Credit,-0.0,-0.03016921329088772,-0.0,0.0,0.06185044772154386,0.0,2.6519421993890218,0,0
Savings,-0.0,-0.026085101850376782,-0.0,0.0,0.05317869693864841,0.0,2.6190034525152335,0,0
Inflation,-0.0,-0.010145720891652384,-0.0,0.0,0.01933477731964925,0.0,2.3289829561391504,0,0
Inflation (5yr avg),0.0,0.009559943365098099,0.0,0.0,0.018091002070493908,0.0,2.200678859632715,0,0
Real Rate (5yr avg),0.0,-0.011346220159757054,0.0,0.0,0.021883784764644358,0.0,3.0038117440320002,0,0
Resource HHI,-0.0,-0.031407125112437234,-0.0,0.0,0.06447889284701148,0.0,7.02716196077197,0,0
RuleLaw × Production,0.0,0.00275335858010094,0.0,0.0,0.00363865232492499,0.0,1.3505502471529551,0,0
