NODE,NODE_TYPE,FACILITY_TYPE,STATUS,REGION,OPERATOR,LAT,LON,SCALE_FACTOR,DEGREE,DEGREE_CENTRALITY,BETWEENNESS_CENTRALITY,EIGENVECTOR_CENTRALITY,CLOSENESS_CENTRALITY,COMMUNITY
Los Pelambres plant,plant,Processing Plant,Active,,Antofagasta plc,-31.8134,-70.5823,1.0,17,0.06007,0.05035,0.0,0.14081,1
Plant at Cabildo,plant,Processing Plant,Active,,Compañía Minera Cerro Negro,-32.5838,-70.8762,3.864,25,0.08834,0.0,0.0,0.13283,1
Chagres smelter (anodes and blister),plant,Smelter,Active,,Empresa Nacional de Minería (ENAMI),-32.8047,-70.9554,3.767,25,0.08834,0.00078,0.0,0.11412,1
El Soldado SX-EW plant,plant,SX-EW Plant,Active,,Anglo American Sur S.A. ,-32.6593,-71.1448,2.861,25,0.08834,0.00266,0.0,0.13283,1
Tres Valles SX-EW plant,plant,SX-EW Plant,Active,,Vecchiola SA,-31.7364,-71.0165,1.0,25,0.08834,0.21397,0.0,0.14192,1
Los Bronces (Tortolas) SX-EW plant (cathodes),plant,SX-EW Plant,Active,,Anglo American Sur S.A. ,-33.1409,-70.7086,4.517,26,0.09187,0.00063,0.0,0.11449,1
Tortolas molybdenum flotation plant,plant,Concentrator,Active,,Anglo American Sur S.A. ,-33.1409,-70.7086,1.0,11,0.03887,0.0505,0.0,0.11269,1
Las Ventanas refinery and smelter,plant,Smelter,Active,,Corporación Nacional del Cobre (CODELCO),-32.7618,-71.4812,4.372,23,0.08127,0.0012,0.0,0.11388,1
Nos plant,plant,Processing Plant,Active,,Molibdenos y Metales S.A. (MOLYMET),-33.6065,-70.7441,2.368,5,0.01767,0.0,0.0,0.1105,1
El Teniente plant,plant,Processing Plant,Active,,Corporación Nacional del Cobre (CODELCO),-34.0886,-70.4555,1.0,9,0.0318,0.00709,0.0,0.11187,1
"Caletones smelter (anodes). refinery (fire-refined ingots), and SX-EW plant",plant,Smelter,Active,,Corporación Nacional del Cobre (CODELCO),-34.1046,-70.4505,4.421,15,0.053,8e-05,0.0,0.11305,1
Facilities near Rancagua,plant,Processing Plant,Active,,Minera Valle Central S.A. ,-34.2383,-70.685,2.497,14,0.04947,0.04188,0.0,0.11293,1
Antucoya SX-EW plant,plant,SX-EW Plant,Active,,Antofagasta plc,-22.6298,-69.8832,1.0,33,0.11661,0.10227,0.00973,0.14459,2
Michilla SX-EW/sulfide-leaching plant,plant,SX-EW Plant,Active,,Minera Michilla S.A. ,-22.6791,-70.1883,2.786,29,0.10247,0.0,0.01542,0.14324,2
Mantos de la Luna SX-EW plant,plant,SX-EW Plant,Active,,Compania Mantos de la Luna,-22.3851,-70.1782,1.0,30,0.10601,0.01817,0.00476,0.14401,2
Spence SX-EW plant,plant,SX-EW Plant,Active,,Minera Spence S.A. ,-22.8015,-69.2818,3.864,34,0.12014,0.0,0.02148,0.14478,2
Plant near Tocopilla,plant,Processing Plant,Active,,Minera Capacho Viejo Ltda. ,-21.9459,-69.8715,1.0,26,0.09187,0.03346,0.00202,0.13618,2
El Tesoro SX-EW plant,plant,SX-EW Plant,Active,,Minera El Tesoro S.A. ,-22.9277,-69.0976,3.43,39,0.13781,0.00662,0.03549,0.14576,2
Centinela oxide and sulfide plant,plant,Processing Plant,Active,,Antofagasta plc,-22.9275,-69.0965,4.159,39,0.13781,0.0,0.0392,0.14576,2
Mantos Blancos SX-EW plant,plant,SX-EW Plant,Active,,Empresa Minera de Mantos Blancos S.A. ,-23.4397,-70.0734,3.361,27,0.09541,0.00098,0.0385,0.14155,2
Lomas Bayas SX-EW plant,plant,SX-EW Plant,Active,,Compañía Minera Xstrata Lomas Bayas ,-23.4318,-69.5017,3.153,33,0.11661,0.0017,0.21092,0.14401,2
Chuquicamata SX-EW plant (oxide) and smelter,plant,Smelter,Active,,Corporación Nacional del Cobre (CODELCO),-22.3137,-68.8895,4.455,30,0.10601,0.0,0.0354,0.14459,7
Chuquicamata Mine (plant to acid-leach fine copper),plant,Processing Plant,Active,,EcoMetales Ltd. ,-22.3013,-68.8404,2.368,31,0.10954,0.03992,0.01541,0.14478,7
Radomiro Tomic SX-EW plant,plant,SX-EW Plant,Active,,Corporación Nacional del Cobre (CODELCO),-22.1927,-68.8674,4.502,30,0.10601,0.00123,0.01614,0.14459,7
Altonorte smelter,plant,Smelter,Active,,Glencore Copper Chile S.A. ,-23.8247,-70.3178,4.961,22,0.07774,0.03183,0.02357,0.16673,2
Gabriela Mistral SX-EW plant,plant,SX-EW Plant,Active,,Minera Gaby S.A. ,-23.4173,-68.7838,3.746,28,0.09894,3e-05,0.04496,0.14305,2
Al Elbra SX-EW plant,plant,SX-EW Plant,Active,,Sociedad Contractual Minera El Abra ,-21.9859,-68.6886,3.949,21,0.0742,0.00446,0.00622,0.14286,7
Vallenar plant,plant,Processing Plant,Active,,Empresa Nacional de Minería (ENAMI),-28.5652,-70.7387,4.369,25,0.08834,0.03113,0.0,0.1873,13
Manuel Antonio Matta,plant,Processing Plant,Active,,Empresa Nacional de Minería (ENAMI),-27.4131,-70.2517,3.787,22,0.07774,0.00298,0.0,0.17541,11
Hernán Videla Lira smelter (anodes and blister),plant,Smelter,Active,,Empresa Nacional de Minería (ENAMI),-27.4198,-70.2577,4.25,22,0.07774,0.0,0.0,0.17541,11
Biocobre refinery,plant,Refinery,Active,,Sociedad Punta del Cobre S.A (Pucobre),-27.5734,-70.2484,1.0,22,0.07774,0.32419,0.0,0.19163,11
Huasco concentration plant,plant,Concentrator,Active,,Compañía Minera del Pacífico S.A. (CMP),-28.2907,-70.8125,1.0,9,0.0318,0.0063,0.0,0.15633,5
Los Colorados concentration plant,plant,Concentrator,Active,,Compañía Minera del Pacífico S.A. (CMP),-28.291,-70.8129,1.0,9,0.0318,0.01279,0.0,0.15633,5
Huasco pellet plant,plant,Pellet Plant,Active,,Compañía Minera del Pacífico S.A. (CMP),-28.4808,-71.2485,1.0,8,0.02827,0.00784,0.0,0.1561,5
Magnetite plant to process tailings from the Candelaria Mine and other iron-bearing raw materials from third parties,plant,Processing Plant,Active,,Compañía Minera del Pacífico S.A. (CMP),-27.5218,-70.3192,1.0,8,0.02827,0.06877,0.0,0.16908,5
