NODE,NODE_TYPE,FACILITY_TYPE,STATUS,REGION,OPERATOR,LAT,LON,SCALE_FACTOR,DEGREE,DEGREE_CENTRALITY,BETWEENNESS_CENTRALITY,EIGENVECTOR_CENTRALITY,CLOSENESS_CENTRALITY,COMMUNITY
Distrito Carrizal Alto,mine,Mine (idle),Idle,Atacama,nan,-28.085999999999956,-70.90199999999999,1.0,5,0.01767,0.04313,0.0,0.16829,11
Distrito Cerro El Álamo,mine,Mine (idle),Idle,Valparaíso,nan,-33.22399999999993,-71.23499999999996,1.0,2,0.00707,0.0,0.0,0.10022,1
Distrito Condoriaco,mine,Mine (idle),Idle,Coquimbo,nan,-29.68799999999993,-70.86599999999999,1.0,4,0.01413,0.0,0.0,0.17042,13
Distrito Corral Quemado,mine,Mine (idle),Idle,Coquimbo,nan,-30.247999999999937,-70.94399999999996,1.0,1,0.00353,0.0,0.0,0.1234,13
Distrito El Algarrobo,mine,Mine (active),Active,Atacama,nan,-28.64584099999996,-70.91579699999994,4.794,7,0.02473,0.0122,0.0,0.16148,5
Distrito El Inca,mine,Mine (idle),Idle,Antofagasta,nan,-22.259999999999938,-69.08599999999996,1.0,1,0.00353,0.0,5e-05,0.12118,2
Distrito Fraguita,mine,Mine (idle),Idle,Atacama,nan,-29.075999999999965,-70.79399999999998,1.0,4,0.01413,0.00288,0.0,0.17042,13
Distrito Gatico,mine,Mine (idle),Idle,Antofagasta,nan,-22.473999999999933,-70.21599999999995,1.0,13,0.04594,0.02336,0.00298,0.1284,2
Distrito Huara,mine,Mine (idle),Idle,Tarapacá,nan,-20.047999999999945,-69.91099999999994,1.0,2,0.00707,0.0002,0.0,0.09912,6
Distrito Julia,mine,Mine (active),Active,Antofagasta,nan,-24.900999999999954,-70.27099999999996,1.0,7,0.02473,0.32113,0.00444,0.1804,11
Distrito La Campana,mine,Mine (idle),Idle,Valparaíso,nan,-32.96199999999993,-71.12199999999996,1.0,8,0.02827,0.05168,0.0,0.12556,1
Distrito Lambert,mine,Mine (idle),Idle,Coquimbo,nan,-29.84699999999998,-71.10099999999994,1.0,5,0.01767,0.00118,0.0,0.17096,13
Distrito Las Pintadas,mine,Mine (idle),Idle,Atacama,nan,-27.559999999999945,-70.31999999999994,1.0,6,0.0212,0.00544,0.0,0.17096,11
Distrito Las Ánimas,mine,Mine (idle),Idle,Atacama,nan,-26.42999999999995,-70.46999999999997,1.0,8,0.02827,0.00253,0.0,0.18473,11
Distrito Marga Marga,mine,Mine (idle),Idle,Valparaíso,nan,-33.087999999999965,-71.42199999999997,1.0,2,0.00707,0.0,0.0,0.10022,1
Distrito Michilla,mine,Mine (active),Active,Antofagasta,nan,-22.682999999999936,-70.17799999999994,3.519,13,0.04594,0.0,0.01424,0.1494,2
Distrito Montecristo,mine,Mine (active),Active,Antofagasta,nan,-24.96799999999996,-70.39299999999997,3.336,3,0.0106,0.0,0.00028,0.17627,11
Distrito Relincho,mine,Mine (idle),Idle,Atacama,nan,-27.249999999999943,-70.61999999999995,1.0,7,0.02473,0.01361,0.0,0.17123,11
Distrito San Juan,mine,Prospect/Project,Prospect/Project,Atacama,nan,-28.720999999999947,-71.21199999999999,1.0,3,0.0106,0.00672,0.0,0.16751,13
Distrito Sierra Overa,mine,Mine (idle),Idle,Antofagasta,nan,-25.77472199999994,-69.90749999999997,1.0,7,0.02473,0.00787,0.0,0.16988,11
Distrito Tambillos,mine,Mine (idle),Idle,Coquimbo,nan,-30.196999999999942,-71.20899999999995,1.0,3,0.0106,0.0,0.0,0.15107,13
Distrito Tocopilla,mine,Mine (idle),Idle,Antofagasta,nan,-22.06699999999995,-70.16699999999997,1.0,10,0.03534,0.00501,0.00114,0.12734,2
Distrito Tres Puntas-Chimberos,mine,Mine (idle),Idle,Atacama,nan,-26.892999999999972,-69.95899999999995,1.0,2,0.00707,0.0,0.0,0.1591,11
Domeyko,mine,Prospect/Project,Prospect/Project,Atacama,nan,-28.99099999999993,-70.87999999999994,3.648,4,0.01413,0.0,0.0,0.17042,13
Dominga,mine,Prospect/Project,Prospect/Project,Coquimbo,nan,-29.37999999999994,-71.18699999999995,4.842,10,0.03534,0.03012,0.0,0.17541,5
Don Jaime,mine,Mine (active),Active,Valparaíso,nan,-32.537999999999954,-71.00399999999996,2.815,6,0.0212,0.0,0.0,0.12512,1
Doña Elba,mine,Mine (active),Active,Antofagasta,nan,-25.611999999999966,-70.39699999999993,3.063,5,0.01767,0.0,0.0,0.1657,11
El Abra,mine,Mine (active),Active,Antofagasta,Sociedad Contractual Minera El Abra ,-21.923999999999975,-68.83399999999995,4.217,15,0.053,0.02005,0.00463,0.12963,7
El Algarrobo,mine,Mine (active),Active,Atacama,Compañía Minera del Pacífico S.A. (CMP),-28.798610999999937,-70.99249999999995,4.532,6,0.0212,0.0,0.0,0.13365,5
El Bronce,mine,Mine (idle),Idle,Valparaíso,nan,-32.18333299999995,-70.93333299999995,2.458,9,0.0318,0.00063,0.0,0.12659,1
El Espino,mine,Mine (active),Active,Coquimbo,nan,-31.372999999999937,-71.09799999999996,3.548,5,0.01767,0.0,0.0,0.14655,1
El Hueso,mine,Mine (idle),Idle,Atacama,nan,-26.466666999999973,-69.38333299999994,1.695,2,0.00707,0.0,0.0,0.1591,11
El Laco,mine,Prospect/Project,Prospect/Project,Antofagasta,nan,-23.82666699999993,-67.47666699999996,4.875,1,0.00353,0.0,0.0,0.00353,3
El Loa,mine,Prospect/Project,Prospect/Project,Antofagasta,nan,-21.256999999999948,-68.58299999999997,1.0,7,0.02473,0.01296,0.00055,0.126,6
El Peñón,mine,Mine (active),Active,Antofagasta,Minera Meridian Ltda. ,-24.39416699999998,-69.49305599999997,2.42,3,0.0106,0.0,0.00344,0.17205,12
El Sauce,mine,Mine (idle),Idle,Valparaíso,nan,-32.87399999999997,-70.89299999999997,2.92,7,0.02473,0.0,0.0,0.12541,1
El Soldado,mine,Mine (active),Active,Valparaíso,Anglo American Sur S.A. ,-32.611999999999966,-71.12799999999999,3.677,6,0.0212,0.0,0.0,0.12512,1
El Teniente,mine,Mine (active),Active,Libertador General Bernardo O'Higgins,Corporación Nacional del Cobre (CODELCO),-34.091999999999985,-70.33799999999997,4.531,6,0.0212,0.00025,0.0,0.10183,1
El Toqui,mine,Mine (active),Active,Aysén del General Carlos Ibáñez del Campo,Sociedad Contractual Minera El Toqui Ltda. ,-45.01699999999994,-71.89999999999998,3.53,1,0.00353,0.0,0.0,0.00471,4
Encierro,mine,Prospect/Project,Prospect/Project,Atacama,nan,-29.063999999999965,-69.92699999999996,3.862,3,0.0106,0.0,0.0,0.16751,13
Escalones,mine,Prospect/Project,Prospect/Project,Metropolitana de Santiago,nan,-34.12099999999998,-69.96499999999997,3.729,7,0.02473,0.03569,0.0,0.10251,1
Escondida,mine,Mine (active),Active,Antofagasta,Minera Escondida Ltda.,-24.274999999999977,-69.05799999999994,4.591,10,0.03534,0.0,0.20989,0.14898,14
Exploradora,mine,Prospect/Project,Prospect/Project,Antofagasta,nan,-25.805999999999983,-69.23699999999997,3.481,7,0.02473,0.0005,0.0,0.16988,11
Faride,mine,Mine (idle),Idle,Antofagasta,nan,-22.809999999999945,-69.39999999999998,1.0,1,0.00353,0.0,0.00011,0.12118,2
Fenix,mine,Prospect/Project,Prospect/Project,Atacama,nan,-27.010999999999967,-69.20299999999997,1.965,2,0.00707,0.0,0.0,0.1591,11
Florencia,mine,Mine (idle),Idle,Antofagasta,nan,-23.41999999999996,-69.54999999999995,1.0,4,0.01413,0.00068,0.0,0.02208,10
Franke,mine,Mine (active),Active,Antofagasta,Sociedad Contractual Minera Franke ,-25.82899999999995,-69.86399999999998,3.174,5,0.01767,0.0,1e-05,0.1657,11
Frontera,mine,Prospect/Project,Prospect/Project,Coquimbo,nan,-31.728999999999928,-70.47799999999995,3.874,7,0.02473,0.0002,0.0,0.12585,1
Gabriela Mistral,mine,Mine (active),Active,Antofagasta,Minera Gaby S.A. ,-23.41799999999995,-68.81099999999998,4.018,14,0.04947,0.0,0.03802,0.15107,2
Genoveva,mine,Prospect/Project,Prospect/Project,Antofagasta,nan,-22.408999999999935,-68.96399999999994,1.0,13,0.04594,0.0001,0.0058,0.12779,7
Guanaco,mine,Mine (active),Active,Antofagasta,nan,-25.108888999999976,-69.55694399999999,1.829,3,0.0106,0.0,0.00102,0.17205,11
Inca de Oro,mine,Mine (active),Active,Atacama,nan,-26.837999999999965,-69.95399999999995,3.701,7,0.02473,0.0,0.0,0.18441,11
Inesperada,mine,Prospect/Project,Prospect/Project,Antofagasta,nan,-25.146999999999935,-69.60299999999995,1.67,3,0.0106,0.0,0.00092,0.17205,11
Iván Zar,mine,Mine (idle),Idle,Antofagasta,nan,-23.347999999999956,-70.27199999999993,3.063,9,0.0318,0.0,0.00702,0.14715,2
La Coipa,mine,Mine (active),Active,Atacama,Compañía Minera Mantos de Oro ,-26.83499999999998,-69.25249999999994,2.366,2,0.00707,0.0,0.0,0.1591,11
La Esperanza,mine,Prospect/Project,Prospect/Project,Los Lagos,nan,-43.83972199999994,-71.82444399999997,1.0,1,0.00353,0.0,0.0,0.00471,4
La Fortuna,mine,Prospect/Project,Prospect/Project,Atacama,nan,-28.63399999999996,-69.88399999999996,3.997,6,0.0212,0.02183,0.0,0.17123,11
La Golondrina,mine,Mine (idle),Idle,Metropolitana de Santiago,nan,-33.83099999999996,-70.19199999999995,1.0,4,0.01413,8e-05,0.0,0.10183,1
La Higuera,mine,Prospect/Project,Prospect/Project,Coquimbo,nan,-29.522999999999968,-71.20799999999997,1.0,4,0.01413,0.01326,0.0,0.17042,13
La Huifa,mine,Prospect/Project,Prospect/Project,Libertador General Bernardo O'Higgins,nan,-34.06299999999993,-70.33299999999997,1.0,5,0.01767,3e-05,0.0,0.10174,1
La Pepa,mine,Prospect/Project,Prospect/Project,Atacama,nan,-27.285999999999945,-69.23899999999998,1.71,2,0.00707,0.0,0.0,0.1591,11
La Planada,mine,Prospect/Project,Prospect/Project,Tarapacá,nan,-20.17199999999997,-69.06399999999996,3.199,5,0.01767,0.0,5e-05,0.10232,6
La Suerte,mine,Mine (idle),Idle,Atacama,nan,-26.339999999999975,-70.40999999999997,1.0,1,0.00353,0.0,0.0,0.14174,5
Lagunas,mine,Mine (idle),Idle,Tarapacá,ACF Minera S.A.,-20.95999999999998,-69.66999999999996,2.801,3,0.0106,0.0,0.0,0.0225,15
Lana Corina,mine,Prospect/Project,Prospect/Project,Coquimbo,nan,-31.124999999999943,-71.11599999999999,1.0,4,0.01413,0.0,0.0,0.15633,13
Las Luces,mine,Mine (active),Active,Antofagasta,Groupo Cenizas,-25.69799999999998,-70.49599999999998,3.497,5,0.01767,0.0,0.0,0.1657,11
Las Palmas,mine,Mine (idle),Idle,Maule,nan,-35.17249999999996,-71.76666699999998,1.341,1,0.00353,0.0,0.0,0.08379,1
Lavadero El Toro,mine,Mine (idle),Idle,Valparaíso,nan,-33.289999999999964,-71.48599999999993,1.0,2,0.00707,0.0003,0.0,0.10022,1
Lila,mine,Prospect/Project,Prospect/Project,Antofagasta,nan,-23.82699999999994,-68.95099999999996,1.0,11,0.03887,0.00819,0.01714,0.14919,14
Llahuín,mine,Prospect/Project,Prospect/Project,Coquimbo,nan,-31.333999999999943,-71.02099999999996,3.475,5,0.01767,0.00273,0.0,0.14655,1
Lo Aguirre,mine,Mine (idle),Idle,Metropolitana de Santiago,nan,-33.43999999999994,-70.91999999999996,1.0,7,0.02473,3e-05,0.0,0.1171,1
Lobo-Marte,mine,Prospect/Project,Prospect/Project,Atacama,nan,-27.16666699999996,-69.03333299999997,2.009,1,0.00353,0.0,0.0,0.14576,11
Loica,mine,Prospect/Project,Prospect/Project,Coquimbo,nan,-31.063999999999965,-70.66099999999994,3.662,4,0.01413,0.0,0.0,0.15633,13
Lomas Bayas,mine,Mine (active),Active,Antofagasta,Compañía Minera Xstrata Lomas Bayas ,-23.430999999999983,-69.50699999999995,4.0,16,0.05654,0.02742,0.20668,0.1515,2
Los Bronces,mine,Mine (active),Active,Metropolitana de Santiago,Anglo American Sur S.A. ,-33.150999999999954,-70.28499999999997,4.246,10,0.03534,0.0,0.0,0.11748,1
Los Bronces Subterráneo,mine,Prospect/Project,Prospect/Project,Metropolitana de Santiago,Anglo American Sur S.A. ,-33.19999999999993,-70.23999999999995,4.394,10,0.03534,0.0,0.0,0.11748,1
Los Bronces Sur,mine,Prospect/Project,Prospect/Project,Valparaíso,Anglo American Sur S.A. ,-33.12999999999994,-70.25999999999993,4.085,11,0.03887,0.01734,0.0,0.12585,1
Los Colorados,mine,Mine (active),Active,Atacama,Compañía Minera del Pacífico S.A. (CMP),-28.312299999999937,-70.81779999999998,4.781,5,0.01767,0.0,0.0,0.161,5
Los Helados,mine,Prospect/Project,Prospect/Project,Atacama,nan,-28.34099999999995,-69.58599999999996,4.11,6,0.0212,0.00549,0.0,0.17123,11
Los Pelambres,mine,Mine (active),Active,Coquimbo,Antofagasta plc,-31.714999999999975,-70.49899999999997,4.32,7,0.02473,0.0,0.0,0.12585,1
Los Sulfatos,mine,Prospect/Project,Prospect/Project,Metropolitana de Santiago,nan,-33.198999999999955,-70.25599999999997,4.187,9,0.0318,0.0001,0.0,0.11735,1
Los Volcanes,mine,Prospect/Project,Prospect/Project,Antofagasta,nan,-21.987999999999943,-68.76099999999997,4.067,12,0.0424,0.01248,0.00546,0.12824,7
Mantos Blancos,mine,Mine (active),Active,Antofagasta,Empresa Minera de Mantos Blancos S.A. ,-23.42199999999997,-70.07199999999995,3.774,15,0.053,0.00431,0.03359,0.1584,2
Mantos de Catemu,mine,Mine (active),Active,Valparaíso,Compania Mantos de la Luna,-32.67599999999993,-70.89699999999993,2.999,6,0.0212,0.0,0.0,0.12512,1
Mantos de Punitaqui,mine,Mine (active),Active,Coquimbo,Compania Mantos de la Luna,-30.860999999999933,-71.22699999999998,2.492,4,0.01413,0.0,0.0,0.15633,13
Mantos de la Luna,mine,Mine (active),Active,Antofagasta,Compania Mantos de la Luna,-22.38299999999998,-70.21799999999996,3.367,12,0.0424,0.0,0.00534,0.12764,2
Mantos del Pacífico,mine,Mine (active),Active,Antofagasta,Compania Mantos de la Luna,-22.53099999999995,-70.22099999999995,3.092,13,0.04594,0.00025,0.0057,0.1494,2
Mantoverde,mine,Mine (active),Active,Atacama,Empresa Minera de Mantos Blancos S.A. ,-26.55899999999997,-70.31499999999994,4.051,11,0.03887,0.0,0.0,0.19197,11
Maricunga,mine,Mine (idle),Idle,Atacama,Compañía Minera Maricunga ,-27.549999999999955,-69.29999999999995,2.034,1,0.00353,0.0,0.0,0.14576,11
Marimaca,mine,Prospect/Project,Prospect/Project,Antofagasta,nan,-23.18799999999993,-70.22199999999998,3.609,11,0.03887,0.0,0.00751,0.14756,2
María Elena,mine,Mine (active),Active,Antofagasta,nan,-22.37899999999996,-69.74599999999998,4.333,3,0.0106,0.0,0.0,0.01472,10
Mercedita,mine,Mine (idle),Idle,Metropolitana de Santiago,nan,-33.50399999999996,-70.18499999999995,1.0,7,0.02473,0.0008,0.0,0.1171,1
Ministro Hales,mine,Mine (active),Active,Antofagasta,CODELCO,-22.37899999999996,-68.91299999999995,4.225,13,0.04594,0.0,0.0149,0.12779,7
Mirador,mine,Prospect/Project,Prospect/Project,Antofagasta,nan,-22.950999999999965,-69.02399999999994,3.419,19,0.06714,0.0297,0.0277,0.15278,2
Mocha,mine,Prospect/Project,Prospect/Project,Tarapacá,nan,-19.809999999999945,-69.28099999999995,3.643,4,0.01413,3e-05,3e-05,0.10222,6
Mollacas,mine,Prospect/Project,Prospect/Project,Coquimbo,nan,-30.738999999999976,-70.66799999999995,1.0,3,0.0106,0.0,0.0,0.15498,13
Negreiros,mine,Mine (active),Active,Tarapacá,nan,-19.872999999999937,-69.87299999999993,3.238,3,0.0106,0.0,0.0,0.0225,15
Novicio,mine,Prospect/Project,Prospect/Project,Valparaíso,nan,-32.54899999999998,-70.25299999999999,1.0,6,0.0212,0.00945,0.0,0.12512,1
Nueva Victoria,mine,Mine (active),Active,Tarapacá,SQM Químicos S.A. ,-20.951,-69.67,4.435,3,0.0106,0.0,0.0,0.0225,15
Nuevo Cobre,mine,Prospect/Project,Prospect/Project,Atacama,nan,-26.498999999999967,-69.36899999999997,1.0,7,0.02473,0.26617,0.0,0.18441,11
Opache,mine,Prospect/Project,Prospect/Project,Antofagasta,nan,-22.448999999999955,-68.97199999999998,1.0,13,0.04594,0.00078,0.00533,0.12779,7
Paguanta,mine,Prospect/Project,Prospect/Project,Tarapacá,nan,-19.77899999999994,-69.06699999999995,3.26,1,0.00353,0.0,0.0,0.1006,6
Palmira,mine,Mine (idle),Idle,Coquimbo,nan,-29.811999999999955,-70.94999999999999,1.0,5,0.01767,0.0,0.0,0.17096,13
Pampa Blanca,mine,Mine (active),Active,Antofagasta,SQM Químicos S.A. ,-23.159,-69.637,4.401,4,0.01413,0.0,0.0,0.02208,10
Pampa Escondida,mine,Prospect/Project,Prospect/Project,Antofagasta,nan,-24.24599999999998,-69.03399999999993,4.3,12,0.0424,0.0001,0.20492,0.1584,14
Pampa Orcoma ,mine,Mine (active),Active,Tarapacá,nan,-19.919,-69.95,4.236,3,0.0106,0.0,0.0,0.0225,15
Pampa Paciencia,mine,Prospect/Project,Prospect/Project,Antofagasta,nan,-22.727999999999952,-69.41299999999995,1.0,1,0.00353,0.0,0.0001,0.12118,2
Pantanillo,mine,Prospect/Project,Prospect/Project,Atacama,nan,-27.482999999999947,-69.07499999999999,1.582,1,0.00353,0.0,0.0,0.14576,11
Panulcillo,mine,Mine (active),Active,Coquimbo,nan,-30.460999999999956,-71.21899999999994,3.141,3,0.0106,0.0,0.0,0.15498,13
Pascua Lama,mine,Prospect/Project,Prospect/Project,Atacama,nan,-29.32099999999997,-70.02699999999999,2.894,1,0.00353,0.0,0.0,0.15432,13
Pedro de Valdivia,mine,Mine (idle),Idle,Antofagasta,SQM Químicos S.A. ,-22.801999999999964,-69.80199999999996,4.285,4,0.01413,0.0,0.0,0.02208,10
Penacho Blanco,mine,Prospect/Project,Prospect/Project,Antofagasta,nan,-23.146999999999935,-69.16299999999995,3.745,20,0.07067,0.019,0.02432,0.16197,2
Pimentón,mine,Prospect/Project,Prospect/Project,Valparaíso,nan,-32.48299999999995,-70.20199999999994,3.716,8,0.02827,0.00033,0.0,0.12644,1
Pinta Verde,mine,Prospect/Project,Prospect/Project,Antofagasta,nan,-24.22999999999996,-69.08099999999996,3.675,10,0.03534,0.0,0.25405,0.14898,14
Playa,mine,Prospect/Project,Prospect/Project,Atacama,nan,-26.789999999999964,-70.37399999999997,1.0,7,0.02473,0.0,0.0,0.18441,11
Polo Sur,mine,Prospect/Project,Prospect/Project,Antofagasta,nan,-23.299999999999955,-69.23299999999995,3.965,19,0.06714,0.00426,0.02724,0.16173,2
Pullalli,mine,Mine (active),Active,Valparaíso,nan,-32.422999999999945,-71.28899999999999,1.427,2,0.00707,0.0,0.0,0.12242,1
Quebrada Blanca,mine,Mine (active),Active,Tarapacá,Compañía Minera Quebrada Blanca ,-21.006999999999948,-68.81199999999995,4.337,10,0.03534,3e-05,0.00201,0.12674,6
Queen Elizabeth,mine,Prospect/Project,Prospect/Project,Tarapacá,nan,-19.874999999999943,-68.95899999999995,3.481,5,0.01767,0.00033,4e-05,0.10232,6
Quetena,mine,Prospect/Project,Prospect/Project,Antofagasta,nan,-22.409999999999968,-68.95999999999998,1.0,13,0.04594,0.00078,0.00583,0.12779,7
Radomiro Tomic,mine,Mine (active),Active,Antofagasta,Corporación Nacional del Cobre (CODELCO),-22.226999999999975,-68.88299999999998,4.361,16,0.05654,0.00085,0.01756,0.12886,7
Relincho,mine,Prospect/Project,Prospect/Project,Atacama,nan,-28.52099999999996,-70.30999999999995,4.079,6,0.0212,0.0,0.0,0.17123,11
Romeral,mine,Mine (active),Active,Coquimbo,Compañía Minera del Pacífico S.A. (CMP),-29.715832999999975,-71.24166699999995,4.668,4,0.01413,3e-05,0.0,0.13299,5
Rosario de Rengo,mine,Prospect/Project,Prospect/Project,Libertador General Bernardo O'Higgins,nan,-34.557999999999936,-70.50899999999996,3.751,3,0.0106,0.0,0.0,0.10032,1
Salar Colpitas,mine,Prospect/Project,Prospect/Project,Arica y Parinacota,nan,-17.95999999999998,-69.41999999999996,1.0,1,0.00353,0.0,0.0,0.00471,8
Salar Surire,mine,Prospect/Project,Prospect/Project,Arica y Parinacota,nan,-18.819999999999936,-69.04999999999995,4.008,1,0.00353,0.0,0.0,0.00471,8
