Country Code,Country Name,Year,Total natural resources rents (% of GDP),Oil rents (% of GDP),Natural gas rents (% of GDP),Mineral rents (% of GDP),Forest_Rents_pct,Coal_Rents_pct,NR rents excl. forest (% of GDP),Forest_share_of_total
AGO,Angola,1995,44.2109966299264,41.0188156720936,0.206519283558313,0.0,2.9856616742744,0.0,41.225334955652,0.06753210517433592
AGO,Angola,2019,28.897859059390697,27.504828641196,0.814083850645771,0.0,0.57894656754892,0.0,28.31891249184178,0.020034237358521015
ALB,Albania,1995,1.411994517222709,1.1595160284470405,0.0291496090693974,0.0371836556084783,0.183282315812851,0.00286290828495024,1.2287122014098582,0.1298038438374067
ALB,Albania,2019,1.634973785463651,1.4243710958412406,0.0273613999739917,0.0363885551416297,0.138045383470044,0.00880735103673773,1.496928401993607,0.08443278093960183
ARE,United Arab Emirates,1995,17.8753368140734,16.3473463917171,1.52774715570848,0.0,0.000243266647759217,0.0,17.87509354742564,1.3609066519389506e-05
ARE,United Arab Emirates,2019,16.8958990035406,15.681591549088,1.21418377523218,0.0,0.000123679220374591,0.0,16.895775324320223,7.320073370980351e-06
ARG,Argentina,1995,1.2980734363953808,1.1136833822100698,0.0810388224069917,0.0061988792666533,0.0968552663503503,0.000297086161312322,1.2012181700450304,0.07461462782822798
ARG,Argentina,2019,2.166688387219261,1.29099565501431,0.523559339823675,0.187297066049264,0.164312356166249,0.000523970165766831,2.0023760310530117,0.07583571183354536
ARM,Armenia,1995,0.5870012733968863,0.0,0.0,0.551537755498149,0.0354635178987378,0.0,0.5515377554981485,0.06041472055676449
ARM,Armenia,2019,2.2010016694829098,0.0,0.0,1.94779106048196,0.253208975877378,1.63312356514246e-06,1.9477926936055319,0.11504260963912191
AUS,Australia,1995,2.121579308377851,0.4726212366038549,0.364303031664732,0.862292199165592,0.250405533819413,0.171957307124255,1.871173774558438,0.11802789216061493
AUS,Australia,2019,5.74886126457436,0.229199447926395,1.33869213675891,3.31748180992128,0.171493969363667,0.691993900604111,5.577367295210694,0.02983094589887694
AUT,Austria,1995,0.1223470603417471,0.0240556789265431,0.0159218186973434,0.0026722557174518,0.0791860050311313,0.000511301969276774,0.0431610553106158,0.6472244188781016
AUT,Austria,2019,0.1100229132882208,0.0368255085399606,0.0126697674134976,0.0,0.0605276373347633,0.0,0.04949527595345749,0.550136653591443
AZE,Azerbaijan,1995,26.0039043047449,20.087202730857,5.91670157388794,0.0,0.0,0.0,26.0039043047449,0.0
AZE,Azerbaijan,2019,23.4349054129318,20.4577104992688,2.78333521411986,0.1740934802744389,0.0197662192686532,0.0,23.415139193663148,0.0008434520609477623
BFA,Burkina Faso,1995,13.843726322489,0.0,0.0,0.0799924681567667,13.7637338543323,0.0,0.07999246815669991,0.9942217531397777
BFA,Burkina Faso,2019,8.32797318460633,0.0,0.0,3.4382346066714504,4.88973857793487,0.0,3.43823460667146,0.5871462923263497
BGD,Bangladesh,1995,0.6689099807300369,0.0131964705068305,0.324387065016714,0.0,0.331326445206492,0.0,0.3375835355235449,0.49532292049953863
BGD,Bangladesh,2019,0.6377175638150119,0.0401609167939209,0.516998313075893,0.0,0.0714876461924781,0.00907068775272057,0.5662299176225338,0.11209922738338618
BGR,Bulgaria,1995,0.8533506721676529,0.0145595594944047,0.0062805747437756,0.459058980012511,0.271917506417127,0.101534051499835,0.581433165750526,0.31864685326421693
BGR,Bulgaria,2019,0.5802695552477548,0.0184983412131831,0.0034378607208808,0.2488554633566589,0.220943539056,0.0885343509010314,0.3593260161917548,0.38076017784814653
BHR,Bahrain,1995,18.958919570053,15.2459702602519,3.71221281533309,0.0,0.000736494468018455,0.0,18.95818307558498,3.884685861433802e-05
BHR,Bahrain,2019,13.3637839937888,9.8481886760226,3.51507642806904,0.0,0.000518889697154514,0.0,13.363265104091646,3.882805179997543e-05
BIH,Bosnia and Herzegovina,1995,1.3681405827215496,0.0,1.17651005107296,0.0663635676615581,0.0572938516471215,0.0679731123399078,1.310846731074428,0.04187716698904634
BIH,Bosnia and Herzegovina,2019,0.8007569280623432,0.0,0.0,0.0334032987362756,0.547685201989734,0.219668427336333,0.2530717260726092,0.6839593674387714
BLR,Belarus,1995,2.295403926633411,0.7645517664306833,0.0411715388339053,0.0,1.48968062136882,0.0,0.8057233052645911,0.6489840868895274
BLR,Belarus,2019,1.6696053470978305,0.6521746044772829,0.0145331848819673,0.0,1.00289755773858,0.0,0.6667077893592506,0.6006794117435317
