Country,Country Code,PC1,PC2,Cluster,var_PC1,var_PC2
Algeria,DZA,2.373642167866752,-1.1707044770459243,0,49.82560795121465,21.030609780689574
Angola,AGO,2.377117609575086,-1.1984048164446657,0,49.82560795121465,21.030609780689574
Azerbaijan,AZE,1.9739804806079082,-1.1963693436705845,0,49.82560795121465,21.030609780689574
Bahrain,BHR,4.0612247886613195,-0.8095601231358494,3,49.82560795121465,21.030609780689574
Bolivia,BOL,-0.46738123791686237,1.1404798034056467,0,49.82560795121465,21.030609780689574
Burkina Faso,BFA,-3.939484703982864,-1.340772123107515,1,49.82560795121465,21.030609780689574
Cameroon,CMR,1.1156319038585774,-1.0313109266875031,0,49.82560795121465,21.030609780689574
Chile,CHL,-2.3572989949659915,6.426386144801766,2,49.82560795121465,21.030609780689574
"Congo, Dem. Rep.",COD,-1.7896544957070484,-0.508417707869059,1,49.82560795121465,21.030609780689574
"Congo, Rep.",COG,2.715920115385852,-1.1654246060929958,0,49.82560795121465,21.030609780689574
Cote d'Ivoire,CIV,-1.7423404285934692,-1.1278990647850164,1,49.82560795121465,21.030609780689574
Ecuador,ECU,1.8988474404334368,-0.19049633862827745,0,49.82560795121465,21.030609780689574
"Egypt, Arab Rep.",EGY,1.5394703411983464,-1.2229023918603599,0,49.82560795121465,21.030609780689574
Equatorial Guinea,GNQ,1.085346294280166,-1.3241503141136728,0,49.82560795121465,21.030609780689574
Ethiopia,ETH,-3.8775596322196124,-1.6940482108954569,1,49.82560795121465,21.030609780689574
Gabon,GAB,4.512213373361365,-1.1978732339669338,3,49.82560795121465,21.030609780689574
Ghana,GHA,-2.0856142749231696,0.15349139860091793,1,49.82560795121465,21.030609780689574
Guinea,GIN,-4.124361951976015,-0.2944377122126831,1,49.82560795121465,21.030609780689574
Indonesia,IDN,0.48202816315854474,2.3115543285869906,2,49.82560795121465,21.030609780689574
"Iran, Islamic Rep.",IRN,2.773327093142228,1.2972799877035577,0,49.82560795121465,21.030609780689574
Iraq,IRQ,1.7965872999854404,-1.2549156491493128,0,49.82560795121465,21.030609780689574
Kazakhstan,KAZ,1.2579193010387169,6.659961788542987,2,49.82560795121465,21.030609780689574
Kenya,KEN,-3.863922477323672,-1.77183769898615,1,49.82560795121465,21.030609780689574
Kuwait,KWT,5.6102107028457135,-0.8836843274464068,3,49.82560795121465,21.030609780689574
Lao PDR,LAO,-3.8661976833441716,-1.6733629944730057,1,49.82560795121465,21.030609780689574
Liberia,LBR,-4.001380954851522,-0.9876604555229083,1,49.82560795121465,21.030609780689574
Libya,LBY,4.181162627912956,-1.022792820759195,3,49.82560795121465,21.030609780689574
Madagascar,MDG,-3.859817393061221,-1.8069486547637816,1,49.82560795121465,21.030609780689574
Malawi,MWI,-3.859915983962532,-1.7751086897750434,1,49.82560795121465,21.030609780689574
Malaysia,MYS,1.881620497583207,0.37492856834314153,0,49.82560795121465,21.030609780689574
Mali,MLI,-4.0529384250726075,-0.6935304552286464,1,49.82560795121465,21.030609780689574
Mongolia,MNG,-4.6788833798140015,5.467338588868552,2,49.82560795121465,21.030609780689574
Mozambique,MOZ,-3.8730925231374833,-1.7219167788790544,1,49.82560795121465,21.030609780689574
Myanmar,MMR,-2.3809127042883294,-1.3723007629600525,1,49.82560795121465,21.030609780689574
Niger,NER,-3.8853647330150447,-1.4715748708746739,1,49.82560795121465,21.030609780689574
Nigeria,NGA,1.4360266459646145,-1.2862862778230546,0,49.82560795121465,21.030609780689574
Oman,OMN,4.37967689173072,-0.26572494187290596,3,49.82560795121465,21.030609780689574
Papua New Guinea,PNG,0.7653768451502033,4.509959380904298,2,49.82560795121465,21.030609780689574
Qatar,QAT,5.272119736660785,-0.9165952740643949,3,49.82560795121465,21.030609780689574
Russian Federation,RUS,2.417841099459959,4.815600527075425,2,49.82560795121465,21.030609780689574
Saudi Arabia,SAU,4.798920705180249,0.24402593990218424,3,49.82560795121465,21.030609780689574
Tanzania,TZA,-3.87042847763368,-1.7158560994525798,1,49.82560795121465,21.030609780689574
Trinidad and Tobago,TTO,3.220482652689434,-1.1163087396798363,3,49.82560795121465,21.030609780689574
Uganda,UGA,-3.9464850522530956,-1.3008358649871543,1,49.82560795121465,21.030609780689574
United Arab Emirates,ARE,6.291583633215628,-0.6554620276693535,3,49.82560795121465,21.030609780689574
Uzbekistan,UZB,0.11555960002520853,2.6753536982222474,2,49.82560795121465,21.030609780689574
"Venezuela, RB",VEN,3.8800671287626516,1.0704004392977247,3,49.82560795121465,21.030609780689574
Viet Nam,VNM,-0.6408549510230171,-0.5925730550812459,0,49.82560795121465,21.030609780689574
"Yemen, Rep.",YEM,1.60880781486433,-1.2731947551559304,0,49.82560795121465,21.030609780689574
Zambia,ZMB,-4.335007510598794,1.7887688877514107,1,49.82560795121465,21.030609780689574
Zimbabwe,ZWE,-4.323814984935182,2.095713103114336,1,49.82560795121465,21.030609780689574
