Country,Country Code,PC1,PC2,Cluster,var_PC1,var_PC2
Algeria,DZA,0.387804037274177,12.29662171189737,0,37.18976127209876,18.217432059483947
Angola,AGO,-12.987059589104664,10.10193943704949,0,37.18976127209876,18.217432059483947
Azerbaijan,AZE,-11.088313336161704,14.945236983428854,0,37.18976127209876,18.217432059483947
Bahrain,BHR,-10.877763104372288,14.975692058764622,0,37.18976127209876,18.217432059483947
Bolivia,BOL,18.06136797196588,0.8389559332823442,1,37.18976127209876,18.217432059483947
Burkina Faso,BFA,-11.40944519557486,-14.852624629911539,2,37.18976127209876,18.217432059483947
Cameroon,CMR,-5.90670792577987,9.207211650344213,0,37.18976127209876,18.217432059483947
Chile,CHL,32.12485437181743,-4.5622933143501365,3,37.18976127209876,18.217432059483947
"Congo, Dem. Rep.",COD,15.202439146824608,-2.052428493382116,1,37.18976127209876,18.217432059483947
"Congo, Rep.",COG,-13.192707770008363,9.07403204281278,0,37.18976127209876,18.217432059483947
Cote d'Ivoire,CIV,-8.249499684175621,0.2454059692824687,0,37.18976127209876,18.217432059483947
Ecuador,ECU,-7.220946051309935,2.752966513542933,0,37.18976127209876,18.217432059483947
"Egypt, Arab Rep.",EGY,-10.478758199529022,17.224156121337774,0,37.18976127209876,18.217432059483947
Equatorial Guinea,GNQ,-13.723013187851125,6.423364977298221,0,37.18976127209876,18.217432059483947
Ethiopia,ETH,-11.453941765514587,-14.799592170940585,2,37.18976127209876,18.217432059483947
Gabon,GAB,-13.388694775647648,10.602925115181938,0,37.18976127209876,18.217432059483947
Ghana,GHA,3.0235347552248917,6.258200976203421,0,37.18976127209876,18.217432059483947
Guinea,GIN,-6.685723208650742,-14.622492686490492,2,37.18976127209876,18.217432059483947
Indonesia,IDN,29.826293741753492,5.468678415928368,3,37.18976127209876,18.217432059483947
"Iran, Islamic Rep.",IRN,35.05090346759847,11.066447083197511,3,37.18976127209876,18.217432059483947
Iraq,IRQ,-13.015953745134695,9.957515516045353,0,37.18976127209876,18.217432059483947
Kazakhstan,KAZ,39.01693496146124,1.2870561037885067,3,37.18976127209876,18.217432059483947
Kenya,KEN,-9.975689235435317,-13.56579977920493,2,37.18976127209876,18.217432059483947
Kuwait,KWT,-12.788765928192872,11.093086158532003,0,37.18976127209876,18.217432059483947
Lao PDR,LAO,-11.22043149290644,-10.721165979814222,2,37.18976127209876,18.217432059483947
Liberia,LBR,-11.578129608450233,-14.651581061453019,2,37.18976127209876,18.217432059483947
Libya,LBY,-12.852842383997157,10.772807795610039,0,37.18976127209876,18.217432059483947
Madagascar,MDG,-16.200360460460978,-8.891797684324434,2,37.18976127209876,18.217432059483947
Malawi,MWI,-11.551949152189634,-10.588936854806247,2,37.18976127209876,18.217432059483947
Malaysia,MYS,15.935926896751882,-0.9125690189820155,1,37.18976127209876,18.217432059483947
Mali,MLI,-10.855197620493469,-15.513194912633134,2,37.18976127209876,18.217432059483947
Mongolia,MNG,11.634667317306045,-21.272602297451613,1,37.18976127209876,18.217432059483947
Mozambique,MOZ,-8.890316236461079,-13.952876768903955,2,37.18976127209876,18.217432059483947
Myanmar,MMR,19.830541859607866,-0.8733142081128701,1,37.18976127209876,18.217432059483947
Niger,NER,-6.138851212159876,-16.297625863170147,2,37.18976127209876,18.217432059483947
Nigeria,NGA,-7.539555315874078,8.920889781494841,0,37.18976127209876,18.217432059483947
Oman,OMN,-7.884517380679072,4.34011852994909,0,37.18976127209876,18.217432059483947
Papua New Guinea,PNG,9.130784595546851,-2.2841429641670548,1,37.18976127209876,18.217432059483947
Qatar,QAT,-13.03886730803109,9.84298486167238,0,37.18976127209876,18.217432059483947
Russian Federation,RUS,52.69261915600367,11.845535205001415,3,37.18976127209876,18.217432059483947
Saudi Arabia,SAU,6.189559985097185,2.8414373056886184,1,37.18976127209876,18.217432059483947
Tanzania,TZA,-6.299157912288584,-16.526490226644423,2,37.18976127209876,18.217432059483947
Trinidad and Tobago,TTO,-13.23122885869398,8.881489071024776,0,37.18976127209876,18.217432059483947
Uganda,UGA,-11.148736097188578,-15.163346210973605,2,37.18976127209876,18.217432059483947
United Arab Emirates,ARE,-10.280272002988575,18.128889631138502,0,37.18976127209876,18.217432059483947
Uzbekistan,UZB,27.010485230239848,-1.6677164787342393,3,37.18976127209876,18.217432059483947
"Venezuela, RB",VEN,6.951714487420953,9.559141753998613,0,37.18976127209876,18.217432059483947
Viet Nam,VNM,-0.5078947244245847,7.452582991092449,0,37.18976127209876,18.217432059483947
"Yemen, Rep.",YEM,-13.083150428718971,9.621641074458074,0,37.18976127209876,18.217432059483947
Zambia,ZMB,11.144519010393608,-19.796239509892516,1,37.18976127209876,18.217432059483947
Zimbabwe,ZWE,11.529489906161665,-22.458179654703635,1,37.18976127209876,18.217432059483947
