Country,Country Code,Year,PC1,PC2,Cluster,ClusterLabels,hover_text
Liberia,LBR,1995.0,-3.824788481095455,-0.7431695875944676,0,"No Oil, No Minerals","<b>Liberia</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $11,157,750"
Libya,LBY,1995.0,4.35998132794937,-1.129032638524025,3,"Oil, Few Minerals","<b>Libya</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $91,768,878,477"
Madagascar,MDG,1995.0,-3.7114854432977538,-1.5779559326785266,0,"No Oil, No Minerals","<b>Madagascar</b><br>Cluster: 0<br><br>Top Resources:<br>  Natural Graphite: $21,236,082<br>  Coal: $460,640<br>  Gold: $119,000"
Malawi,MWI,1995.0,-3.7104461943336133,-1.546484734324904,0,"No Oil, No Minerals","<b>Malawi</b><br>Cluster: 0<br><br>Top Resources:<br>  Coal: $5,069,564"
Malaysia,MYS,1995.0,2.122225435580594,0.36875346560107963,1,"Some Oil, No Minerals","<b>Malaysia</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $41,239,636,998<br>  Gold: $123,015,290<br>  Copper: $75,192,260"
Mali,MLI,1995.0,-3.8661042214122103,-0.4433607015110521,0,"No Oil, No Minerals","<b>Mali</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $898,268,280"
Mongolia,MNG,1995.0,-4.211322848027864,5.730426296696107,2,"Minerals, No Oil","<b>Mongolia</b><br>Cluster: 2<br><br>Top Resources:<br>  Copper: $1,019,040,800<br>  Coal: $821,338,512<br>  Gold: $435,389,780"
Mozambique,MOZ,1995.0,-3.7219629767471147,-1.4915218231837504,0,"No Oil, No Minerals","<b>Mozambique</b><br>Cluster: 0<br><br>Top Resources:<br>  Aluminium: $924,679,000<br>  Gold: $4,055,890<br>  Natural Graphite: $4,039,537"
Myanmar,MMR,1995.0,-2.2098653727194835,-1.2023457876513666,0,"No Oil, No Minerals","<b>Myanmar</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $1,005,401,383<br>  Tin: $506,591,615<br>  Copper: $171,121,360"
Niger,NER,1995.0,-3.7229288967669794,-1.2424510906934414,0,"No Oil, No Minerals","<b>Niger</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $60,562,810<br>  Coal: $23,480,118<br>  Silver: $39,597"
Nigeria,NGA,1995.0,1.6045289106787828,-1.2781728868892501,1,"Some Oil, No Minerals","<b>Nigeria</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $127,651,329,263<br>  Aluminium: $22,578,000<br>  Coal: $2,654,557"
Oman,OMN,1995.0,4.584996751328479,-0.3715281044127387,3,"Oil, Few Minerals","<b>Oman</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $47,022,727,080<br>  Gold: $17,550,870<br>  Silver: $21,867"
