,Country,Country Code,Year,PC1,PC2,Cluster,ClusterLabels,hover_text
26,Liberia,LBR,1995.0,-3.585381649652895,-0.7748751456379639,3,"No Oil, No Minerals","<b>Liberia</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $266,000,000"
27,Libya,LBY,1995.0,5.277601076366139,-1.1241312681304394,1,"Oil, Few Minerals","<b>Libya</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $259,998,104,649<br>  Natural Gas: $10,271,795,539"
28,Madagascar,MDG,1995.0,-3.438276476251166,-1.5994311340287792,3,"No Oil, No Minerals","<b>Madagascar</b><br>Cluster: 3<br><br>Top Resources:<br>  Natural Graphite: $213,737,940"
29,Malawi,MWI,1995.0,-3.436645708946033,-1.5677018575067583,3,"No Oil, No Minerals","<b>Malawi</b><br>Cluster: 3<br><br>Top Resources:<br>  Coal: $17,179,747"
30,Malaysia,MYS,1995.0,3.372209214010022,0.687800397137933,1,"Oil, Few Minerals","<b>Malaysia</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $127,198,516,798<br>  Natural Gas: $48,244,543,005<br>  Copper: $1,691,206,500"
31,Mali,MLI,1995.0,-3.6386970350263472,-0.47875211761937925,3,"No Oil, No Minerals","<b>Mali</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $2,593,500,000"
32,Mongolia,MNG,1995.0,-4.123628609364516,5.407913142399548,0,"Minerals, No Oil","<b>Mongolia</b><br>Cluster: 0<br><br>Top Resources:<br>  Copper: $9,934,850,000<br>  Coal: $5,748,343,272<br>  Gold: $1,497,580,000"
33,Mozambique,MOZ,1995.0,-3.452385447316921,-1.5140311410240053,3,"No Oil, No Minerals","<b>Mozambique</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $78,470,000<br>  Natural Graphite: $40,031,940<br>  Bauxite: $6,691,032"
34,Myanmar,MMR,1995.0,-2.7998583872042415,-0.9268470554273734,3,"No Oil, No Minerals","<b>Myanmar</b><br>Cluster: 3<br><br>Top Resources:<br>  Tin: $3,823,369,565<br>  Natural Gas: $2,747,956,846<br>  Copper: $430,483,000"
35,Niger,NER,1995.0,-3.4432114091854165,-1.2641473004534811,3,"No Oil, No Minerals","<b>Niger</b><br>Cluster: 3<br><br>Top Resources:<br>  Coal: $195,815,899<br>  Gold: $33,250,000"
36,Nigeria,NGA,1995.0,1.2901308718266244,-1.732009349701822,2,"Some Oil, No Minerals","<b>Nigeria</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $352,071,401,480<br>  Natural Gas: $7,830,218,648<br>  Coal: $22,339,397"
37,Oman,OMN,1995.0,5.625871550999216,-0.3177936987712361,1,"Oil, Few Minerals","<b>Oman</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $156,829,989,461<br>  Natural Gas: $6,511,440,671<br>  Gold: $203,157,500"
38,Papua New Guinea,PNG,1995.0,-4.292256288518318,3.96781468262263,0,"Minerals, No Oil","<b>Papua New Guinea</b><br>Cluster: 0<br><br>Top Resources:<br>  Copper: $17,338,065,500<br>  Gold: $17,190,582,500<br>  Silver: $288,464,908"
39,Qatar,QAT,1995.0,7.645504508107141,-0.44983101855860536,1,"Oil, Few Minerals","<b>Qatar</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $83,273,249,413<br>  Natural Gas: $15,875,579,780"
40,Russian Federation,RUS,1995.0,4.306629621586761,5.23309663100217,1,"Oil, Few Minerals","<b>Russian Federation</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $1,126,678,376,097<br>  Natural Gas: $922,968,196,132<br>  Coal: $308,748,413,040"
41,Saudi Arabia,SAU,1995.0,6.250386616923948,0.23738525736509644,1,"Oil, Few Minerals","<b>Saudi Arabia</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $1,621,336,169,101<br>  Natural Gas: $69,553,342,225<br>  Gold: $2,686,600,000"
42,Tanzania,TZA,1995.0,-3.447606568246142,-1.5080452324526068,3,"No Oil, No Minerals","<b>Tanzania</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $106,400,000<br>  Coal: $49,477,671"
43,Trinidad and Tobago,TTO,1995.0,5.290575831448055,-0.5609323096201299,1,"Oil, Few Minerals","<b>Trinidad and Tobago</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $25,656,519,013<br>  Natural Gas: $12,588,317,140"
44,Uganda,UGA,1995.0,-3.5286140039575553,-1.0901726347031147,3,"No Oil, No Minerals","<b>Uganda</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $1,028,755,000"
45,United Arab Emirates,ARE,1995.0,8.146570079218476,0.3576329185633913,1,"Oil, Few Minerals","<b>United Arab Emirates</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $441,581,214,567<br>  Natural Gas: $52,078,666,481<br>  Aluminium: $12,493,700,000"
46,Uzbekistan,UZB,1995.0,2.053093104173513,3.3620389374377333,1,"Oil, Few Minerals","<b>Uzbekistan</b><br>Cluster: 1<br><br>Top Resources:<br>  Natural Gas: $73,915,612,791<br>  Oil: $31,129,926,237<br>  Gold: $21,147,000,000"
47,"Venezuela, RB",VEN,1995.0,5.026907554054807,1.6785586067926037,1,"Oil, Few Minerals","<b>Venezuela, RB</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $534,631,265,918<br>  Natural Gas: $52,060,098,162<br>  Aluminium: $31,806,263,500"
48,Viet Nam,VNM,1995.0,-1.0428517564715951,-0.985991565192882,3,"No Oil, No Minerals","<b>Viet Nam</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $27,912,787,847<br>  Coal: $9,563,392,374<br>  Zinc: $396,000,000"
49,"Yemen, Rep.",YEM,1995.0,0.710847847014501,-2.1547728237686337,2,"Some Oil, No Minerals","<b>Yemen, Rep.</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $63,503,621,905"
50,Zambia,ZMB,1995.0,-3.890198542435283,1.7840098142036496,0,"Minerals, No Oil","<b>Zambia</b><br>Cluster: 0<br><br>Top Resources:<br>  Copper: $27,867,947,000<br>  Cobalt: $4,572,360,000<br>  Coal: $161,812,599"
51,Zimbabwe,ZWE,1995.0,-3.8013697341718777,2.235742586425043,0,"Minerals, No Oil","<b>Zimbabwe</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $7,966,367,500<br>  Coal: $6,345,053,144<br>  Copper: $655,667,500"
