,Country,Country Code,Year,PC1,PC2,Cluster,hover_text
33,Mozambique,MOZ,2019,-2.4256331562681104,-0.8007327905791829,1,<b>Mozambique</b><br>Cluster: 1<br><br>Top Resources:<br>  Aluminium: $27<br>  Coal: $12<br>  Natural Graphite: $4
34,Myanmar,MMR,2019,-1.7827922566517684,0.7277315584655237,1,<b>Myanmar</b><br>Cluster: 1<br><br>Top Resources:<br>  Natural Gas: $22<br>  Copper: $16<br>  Tin: $10
35,Niger,NER,2019,-3.553509859237824,-1.6542979207115873,1,<b>Niger</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $7<br>  Coal: $0<br>  Silver: $0
36,Nigeria,NGA,2019,1.742836245826321,-1.421059230269881,2,<b>Nigeria</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $103<br>  Natural Gas: $15<br>  Gold: $1
37,Oman,OMN,2019,7.348998133523882,-0.37354341942424213,3,<b>Oman</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $2.2K<br>  Natural Gas: $507<br>  Aluminium: $119
38,Papua New Guinea,PNG,2019,-4.769066092847355,2.35168137129736,1,<b>Papua New Guinea</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $221<br>  Copper: $41<br>  Cobalt: $7
39,Qatar,QAT,2019,9.64423291008632,0.36011443206495763,3,<b>Qatar</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $6.8K<br>  Natural Gas: $4.3K<br>  Aluminium: $346
40,Russian Federation,RUS,2019,4.6812655055361265,6.286920203154815,0,<b>Russian Federation</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $827<br>  Natural Gas: $296<br>  Coal: $109
41,Rwanda,RWA,2019,-3.813082283909889,-1.2590539570109733,1,<b>Rwanda</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $26
42,Saudi Arabia,SAU,2019,6.322662155094707,1.960369880072405,3,<b>Saudi Arabia</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $4.1K<br>  Natural Gas: $235<br>  Aluminium: $36
43,Tanzania,TZA,2019,-3.8599992829606853,-0.8128546671115595,1,<b>Tanzania</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $23<br>  Copper: $1<br>  Coal: $0
44,Togo,TGO,2019,-3.830609365417315,-1.2239443030706185,1,<b>Togo</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $28
45,Trinidad and Tobago,TTO,2019,5.806214934985229,-0.7445485357929763,3,<b>Trinidad and Tobago</b><br>Cluster: 3<br><br>Top Resources:<br>  Natural Gas: $1.6K<br>  Oil: $621
46,Uganda,UGA,2019,-3.1400432875629356,-2.6072627982884287,1,<b>Uganda</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $0
47,United Arab Emirates,ARE,2019,7.985149098422188,-0.31101998761655375,3,<b>United Arab Emirates</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $4.3K<br>  Aluminium: $385<br>  Natural Gas: $361
48,Uzbekistan,UZB,2019,0.44222961701150754,3.530280596186955,0,<b>Uzbekistan</b><br>Cluster: 0<br><br>Top Resources:<br>  Natural Gas: $111<br>  Gold: $81<br>  Oil: $19
49,"Venezuela, RB",VEN,2019,3.19966923708276,-0.45132604936659076,2,"<b>Venezuela, RB</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $375<br>  Natural Gas: $56<br>  Gold: $9"
50,Viet Nam,VNM,2019,0.2640867398919095,-0.20242891050695652,2,<b>Viet Nam</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $25<br>  Coal: $17<br>  Natural Gas: $6
51,"Yemen, Rep.",YEM,2019,-0.5653339363604721,-2.7516475671995333,2,"<b>Yemen, Rep.</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $28"
52,Zambia,ZMB,2019,-4.118762794914711,1.4980246884032749,1,<b>Zambia</b><br>Cluster: 1<br><br>Top Resources:<br>  Copper: $167<br>  Gold: $7<br>  Coal: $1
53,Zimbabwe,ZWE,2019,-4.152278021280925,0.6782891649387135,1,<b>Zimbabwe</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $55<br>  Coal: $6<br>  Copper: $2
