,Country,Country Code,Year,PC1,PC2,Cluster,Aluminium,Bauxite,Cadmium,Coal,Cobalt,Copper,Gold,Lead,Lithium,Magnesium compounds,Manganese,Natural Gas,Natural Graphite,Nickel,Oil,Rare Earth,Silver,Tin,Vanadium,Zinc,Aluminium_Share,Bauxite_Share,Cadmium_Share,Coal_Share,Cobalt_Share,Copper_Share,Gold_Share,Lead_Share,Lithium_Share,Magnesium compounds_Share,Manganese_Share,Natural Gas_Share,Natural Graphite_Share,Nickel_Share,Oil_Share,Rare Earth_Share,Silver_Share,Tin_Share,Vanadium_Share,Zinc_Share,Dominant_Resources,Is_Dominant,Max_Production_Share,hover_text
10,"Congo, Rep.",COG,1995,1.644103760949713,-2.2800150900182263,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1299119003.5178318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26936230593491445,0.0,0.0,0.0,0.0,0.0,[],False,0.26936230593491445,"<b>Congo, Rep.</b><br>Cluster: No Oil, No Minerals<br><br><b>Top Production (Total Value):</b><br>   Oil: $1.3B"
11,Cote d'Ivoire,CIV,1995,-3.5211959300242315,-1.1313739220976022,1,0.0,0.0,0.0,0.0,0.0,0.0,25802000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08974397524176518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],False,0.08974397524176518,"<b>Cote d'Ivoire</b><br>Cluster: Oil, Few Minerals<br><br><b>Top Production (Total Value):</b><br>   Gold: $25.8M"
12,Ecuador,ECU,1995,0.9203848256810632,-1.1643131660215411,2,0.0,0.0,0.0,0.0,0.0,0.0,98553000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2854739439.505947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342784977598701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5919082056273779,0.0,0.0,0.0,0.0,0.0,[],False,0.5919082056273779,"<b>Ecuador</b><br>Cluster: No Oil, No Minerals<br><br><b>Top Production (Total Value):</b><br>   Oil: $2.9B<br>   Gold: $98.6M"
13,"Egypt, Arab Rep.",EGY,1995,2.001582163759072,-1.0084668929024045,2,363600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820737406.7205645,0.0,0.0,6674385759.693983,0.0,0.0,0.0,0.0,0.0,0.9051053371648119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5846413574004713,0.0,0.0,1.3838824111278962,0.0,0.0,0.0,0.0,0.0,[],False,1.3838824111278962,"<b>Egypt, Arab Rep.</b><br>Cluster: No Oil, No Minerals<br><br><b>Top Production (Total Value):</b><br>   Oil: $6.7B (1.4% global)<br>   Natural Gas: $820.7M<br>   Aluminium: $363.6M"
14,Equatorial Guinea,GNQ,1995,0.2704979155327718,-2.0956781825978603,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50590319.18111805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010489512504788976,0.0,0.0,0.0,0.0,0.0,[],False,0.010489512504788976,"<b>Equatorial Guinea</b><br>Cluster: No Oil, No Minerals<br><br><b>Top Production (Total Value):</b><br>   Oil: $50.6M"
15,Ethiopia,ETH,1995,-3.4573384872321618,-1.4860493912651238,1,0.0,0.0,0.0,0.0,0.0,0.0,15733900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054725320985055774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],False,0.054725320985055774,"<b>Ethiopia</b><br>Cluster: Oil, Few Minerals<br><br><b>Top Production (Total Value):</b><br>   Gold: $15.7M"
16,Gabon,GAB,1995,3.0398896897176155,-2.888932544636451,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518978797.6688524,0.0,0.0,0.0,2570034943.619297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.851516617149175,0.0,0.0,0.0,0.5328769241863373,0.0,0.0,0.0,0.0,0.0,[],False,12.851516617149175,"<b>Gabon</b><br>Cluster: No Oil, No Minerals<br><br><b>Top Production (Total Value):</b><br>   Oil: $2.6B<br>   Manganese: $519.0M (12.9% global)"
17,Ghana,GHA,1995,-3.394514129960884,0.5006997772797356,1,273508000.0,12873790.0,0.0,0.0,0.0,0.0,682689000.0,0.0,0.0,0.0,116630719.04601093,0.0,0.0,0.0,0.0,0.0,212520.0,0.0,0.0,0.0,0.6808403480673085,0.4267288828336855,0.0,0.0,0.0,0.0,2.374514561422581,0.0,0.0,0.0,2.8881365300905135,0.0,0.0,0.0,0.0,0.0,0.0084167101997622,0.0,0.0,0.0,[],False,2.8881365300905135,"<b>Ghana</b><br>Cluster: Oil, Few Minerals<br><br><b>Top Production (Total Value):</b><br>   Gold: $682.7M (2.4% global)<br>   Aluminium: $273.5M<br>   Manganese: $116.6M (2.9% global)<br>   Bauxite: $12.9M<br>   Silver: $212.5K"
18,Guinea,GIN,1995,-3.6658345177441807,-0.07238135806741296,1,0.0,445109645.2000001,0.0,0.0,0.0,0.0,104564600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.754096628474922,0.0,0.0,0.0,0.0,0.3636943986344113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],False,14.754096628474922,"<b>Guinea</b><br>Cluster: Oil, Few Minerals<br><br><b>Top Production (Total Value):</b><br>   Bauxite: $445.1M (14.8% global)<br>   Gold: $104.6M"
19,Indonesia,IDN,1995,1.4164545848482373,2.6175790921986506,0,460762000.0,22565778.5,0.0,1916801613.931068,0.0,2014680000.0,835479400.0,0.0,0.0,0.0,0.0,4204251326.0,0.0,1542865900.383142,11404503381.114897,0.0,46969045.2,464921739.1304348,0.0,0.0,1.1469695967071865,0.7479902538085054,0.0,0.9175372535097713,0.0,6.080581279956456,2.9059469261531983,0.0,0.0,0.0,0.0,2.9948424209233546,0.0,23.441662226957916,2.3646358189367147,0.0,1.8601771212494442,30.993842012968475,0.0,0.0,"['Nickel', 'Tin']",True,30.993842012968475,"<b>Indonesia</b><br>Cluster: Some Oil, No Minerals<br><br>🔴 <b>MAJOR PRODUCER (>15% global)</b><br>   • Nickel: 23.4%<br>   • Tin: 31.0%<br><br><b>Top Production (Total Value):</b><br>   Oil: $11.4B (2.4% global)<br>   Natural Gas: $4.2B (3.0% global)<br>   Copper: $2.0B (6.1% global)<br>   Coal: $1.9B<br>   Nickel: $1.5B (23.4% global)"
