,Country,Country Code,Year,PC1,PC2,PC3,Cluster,hover_text
31,Mali,MLI,1995,-3.6386970350267114,-0.47875211761720304,0.22397701414766302,2,<b>Mali</b><br>Cluster: 2<br><br>Top Resources:<br>  Gold: $10
32,Mongolia,MNG,1995,-4.123628609363349,5.4079131423965645,-2.1514121168714664,3,<b>Mongolia</b><br>Cluster: 3<br><br>Top Resources:<br>  Copper: $179<br>  Coal: $103<br>  Gold: $27
33,Mozambique,MOZ,1995,-3.452385447317913,-1.5140311410220346,0.5121232106522102,2,<b>Mozambique</b><br>Cluster: 2<br><br>Top Resources:<br>  Gold: $0<br>  Natural Graphite: $0<br>  Bauxite: $0
34,Myanmar,MMR,1995,-2.7998583872048606,-0.92684705542401,1.1182571340973826,2,<b>Myanmar</b><br>Cluster: 2<br><br>Top Resources:<br>  Tin: $4<br>  Natural Gas: $3<br>  Copper: $0
35,Niger,NER,1995,-3.44321140918633,-1.2641473004517914,0.43021143757541114,2,<b>Niger</b><br>Cluster: 2<br><br>Top Resources:<br>  Coal: $1<br>  Gold: $0
36,Nigeria,NGA,1995,1.290130871825184,-1.732009349704754,-0.998898154692145,1,<b>Nigeria</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $127<br>  Natural Gas: $3<br>  Coal: $0
37,Oman,OMN,1995,5.625871550998885,-0.31779369877377145,-0.8876177102821807,0,<b>Oman</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $3.0K<br>  Natural Gas: $123<br>  Gold: $4
38,Papua New Guinea,PNG,1995,-4.2922562885174225,3.967814682622045,-1.6391984468959955,3,<b>Papua New Guinea</b><br>Cluster: 3<br><br>Top Resources:<br>  Copper: $149<br>  Gold: $148<br>  Silver: $2
39,Qatar,QAT,1995,7.645504508107043,-0.44983101855935165,0.11015811093358563,0,<b>Qatar</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $6.5K<br>  Natural Gas: $1.2K
40,Russian Federation,RUS,1995,4.306629621587842,5.2330966309996825,1.2703811217901777,0,<b>Russian Federation</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $304<br>  Natural Gas: $249<br>  Coal: $83
41,Saudi Arabia,SAU,1995,6.250386616923916,0.23738525736248767,-1.0034461719381647,0,<b>Saudi Arabia</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $4.9K<br>  Natural Gas: $209<br>  Gold: $8
42,Tanzania,TZA,1995,-3.447606568247138,-1.5080452324506692,0.5086879236807759,2,<b>Tanzania</b><br>Cluster: 2<br><br>Top Resources:<br>  Gold: $0<br>  Coal: $0
43,Trinidad and Tobago,TTO,1995,5.290575831447921,-0.5609323096195116,0.4866905981207407,0,<b>Trinidad and Tobago</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $792<br>  Natural Gas: $389
44,Uganda,UGA,1995,-3.5286140039582916,-1.0901726347010592,0.3938609880048874,2,<b>Uganda</b><br>Cluster: 2<br><br>Top Resources:<br>  Gold: $2
45,United Arab Emirates,ARE,1995,8.146570079217751,0.35763291856219925,3.2495223108839695,0,<b>United Arab Emirates</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $7.3K<br>  Natural Gas: $856<br>  Aluminium: $205
46,Uzbekistan,UZB,1995,2.0530931042412455,3.362038937475388,-0.21242629307850533,0,<b>Uzbekistan</b><br>Cluster: 0<br><br>Top Resources:<br>  Natural Gas: $129<br>  Oil: $54<br>  Gold: $37
47,"Venezuela, RB",VEN,1995,5.026907554054602,1.6785586067901759,1.7112968965973525,0,"<b>Venezuela, RB</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $964<br>  Natural Gas: $94<br>  Aluminium: $57"
48,Viet Nam,VNM,1995,-1.042851756472791,-0.9859915651954522,-0.9563560365746498,1,<b>Viet Nam</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $15<br>  Coal: $5<br>  Zinc: $0
49,"Yemen, Rep.",YEM,1995,0.7108478470125508,-2.154772823773556,-1.748845679687786,1,"<b>Yemen, Rep.</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $152"
50,Zambia,ZMB,1995,-3.8901985424357264,1.7840098142024323,-1.0069300987763672,3,<b>Zambia</b><br>Cluster: 3<br><br>Top Resources:<br>  Copper: $127<br>  Cobalt: $21<br>  Coal: $1
51,Zimbabwe,ZWE,1995,-3.801369734171335,2.235742586425099,-0.747290253170123,3,<b>Zimbabwe</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $29<br>  Coal: $23<br>  Copper: $2
