FROM_NAME,FROM_TYPE,FROM_LAT,FROM_LON,TO_NAME,TO_TYPE,TO_LAT,TO_LON,EDGE_TYPE,PRODUCT_FORM,COMMODITIES,DISTANCE_KM,EXPORT_VALUE,EXPORT_UNIT,DESTINATION_TOTAL
Angamos,port,-23.1,-70.42,Netherlands,country,51.92,4.48,port_to_country,concentrate,Copper,,0.01,kMT,0.12
Antofagasta (ATI),port,-23.65,-70.4,Netherlands,country,51.92,4.48,port_to_country,concentrate,Copper,,0.01,kMT,0.12
Barquito,port,-27.07,-70.84,Netherlands,country,51.92,4.48,port_to_country,concentrate,Copper,,0.0,kMT,0.12
Caldera,port,-27.07,-70.82,Netherlands,country,51.92,4.48,port_to_country,concentrate,Copper,,0.01,kMT,0.12
Coloso,port,-23.76,-70.45,Netherlands,country,51.92,4.48,port_to_country,concentrate,Copper,,0.04,kMT,0.12
Coquimbo,port,-29.96,-71.35,Netherlands,country,51.92,4.48,port_to_country,concentrate,Copper,,0.0,kMT,0.12
Mejillones,port,-23.1,-70.45,Netherlands,country,51.92,4.48,port_to_country,concentrate,Copper,,0.01,kMT,0.12
Patache,port,-20.8,-70.22,Netherlands,country,51.92,4.48,port_to_country,concentrate,Copper,,0.01,kMT,0.12
San Antonio,port,-33.59,-71.62,Netherlands,country,51.92,4.48,port_to_country,concentrate,Copper,,0.0,kMT,0.12
Ventanas,port,-32.74,-71.49,Netherlands,country,51.92,4.48,port_to_country,concentrate,Copper,,0.01,kMT,0.12
Angamos,port,-23.1,-70.42,Sweden,country,57.71,11.97,port_to_country,concentrate,Copper,,0.33,kMT,5.7
Antofagasta (ATI),port,-23.65,-70.4,Sweden,country,57.71,11.97,port_to_country,concentrate,Copper,,0.26,kMT,5.7
Barquito,port,-27.07,-70.84,Sweden,country,57.71,11.97,port_to_country,concentrate,Copper,,0.07,kMT,5.7
Caldera,port,-27.07,-70.82,Sweden,country,57.71,11.97,port_to_country,concentrate,Copper,,0.47,kMT,5.7
Coloso,port,-23.76,-70.45,Sweden,country,57.71,11.97,port_to_country,concentrate,Copper,,1.94,kMT,5.7
Coquimbo,port,-29.96,-71.35,Sweden,country,57.71,11.97,port_to_country,concentrate,Copper,,0.15,kMT,5.7
Mejillones,port,-23.1,-70.45,Sweden,country,57.71,11.97,port_to_country,concentrate,Copper,,0.34,kMT,5.7
Patache,port,-20.8,-70.22,Sweden,country,57.71,11.97,port_to_country,concentrate,Copper,,0.62,kMT,5.7
San Antonio,port,-33.59,-71.62,Sweden,country,57.71,11.97,port_to_country,concentrate,Copper,,0.08,kMT,5.7
Ventanas,port,-32.74,-71.49,Sweden,country,57.71,11.97,port_to_country,concentrate,Copper,,0.59,kMT,5.7
Angamos,port,-23.1,-70.42,Switzerland,country,47.38,8.54,port_to_country,concentrate,Copper,,0.0,kMT,0.05
Antofagasta (ATI),port,-23.65,-70.4,Switzerland,country,47.38,8.54,port_to_country,concentrate,Copper,,0.0,kMT,0.05
Barquito,port,-27.07,-70.84,Switzerland,country,47.38,8.54,port_to_country,concentrate,Copper,,0.0,kMT,0.05
Caldera,port,-27.07,-70.82,Switzerland,country,47.38,8.54,port_to_country,concentrate,Copper,,0.0,kMT,0.05
Coloso,port,-23.76,-70.45,Switzerland,country,47.38,8.54,port_to_country,concentrate,Copper,,0.02,kMT,0.05
Coquimbo,port,-29.96,-71.35,Switzerland,country,47.38,8.54,port_to_country,concentrate,Copper,,0.0,kMT,0.05
Mejillones,port,-23.1,-70.45,Switzerland,country,47.38,8.54,port_to_country,concentrate,Copper,,0.0,kMT,0.05
Patache,port,-20.8,-70.22,Switzerland,country,47.38,8.54,port_to_country,concentrate,Copper,,0.01,kMT,0.05
San Antonio,port,-33.59,-71.62,Switzerland,country,47.38,8.54,port_to_country,concentrate,Copper,,0.0,kMT,0.05
Ventanas,port,-32.74,-71.49,Switzerland,country,47.38,8.54,port_to_country,concentrate,Copper,,0.01,kMT,0.05
Angamos,port,-23.1,-70.42,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,,0.0,kMT,0.03
Antofagasta (ATI),port,-23.65,-70.4,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,,0.0,kMT,0.03
Barquito,port,-27.07,-70.84,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,,0.0,kMT,0.03
Caldera,port,-27.07,-70.82,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,,0.0,kMT,0.03
Coloso,port,-23.76,-70.45,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,,0.01,kMT,0.03
Coquimbo,port,-29.96,-71.35,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,,0.0,kMT,0.03
Mejillones,port,-23.1,-70.45,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,,0.0,kMT,0.03
Patache,port,-20.8,-70.22,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,,0.0,kMT,0.03
San Antonio,port,-33.59,-71.62,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,,0.0,kMT,0.03
Ventanas,port,-32.74,-71.49,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,,0.0,kMT,0.03
Angamos,port,-23.1,-70.42,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,,0.27,kMT,4.79
Antofagasta (ATI),port,-23.65,-70.4,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,,0.22,kMT,4.79
Barquito,port,-27.07,-70.84,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,,0.06,kMT,4.79
Caldera,port,-27.07,-70.82,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,,0.39,kMT,4.79
Coloso,port,-23.76,-70.45,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,,1.63,kMT,4.79
Coquimbo,port,-29.96,-71.35,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,,0.13,kMT,4.79
Mejillones,port,-23.1,-70.45,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,,0.29,kMT,4.79
Patache,port,-20.8,-70.22,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,,0.52,kMT,4.79
San Antonio,port,-33.59,-71.62,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,,0.06,kMT,4.79
Ventanas,port,-32.74,-71.49,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,,0.5,kMT,4.79
Angamos,port,-23.1,-70.42,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Antofagasta (ATI),port,-23.65,-70.4,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Barquito,port,-27.07,-70.84,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Caldera,port,-27.07,-70.82,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Coloso,port,-23.76,-70.45,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,,0.01,kMT,0.02
Coquimbo,port,-29.96,-71.35,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Mejillones,port,-23.1,-70.45,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Patache,port,-20.8,-70.22,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,,0.0,kMT,0.02
San Antonio,port,-33.59,-71.62,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Ventanas,port,-32.74,-71.49,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Angamos,port,-23.1,-70.42,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,,0.47,kMT,8.17
Antofagasta (ATI),port,-23.65,-70.4,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,,0.37,kMT,8.17
Barquito,port,-27.07,-70.84,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,,0.1,kMT,8.17
Caldera,port,-27.07,-70.82,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,,0.67,kMT,8.17
