FROM_NAME,FROM_TYPE,FROM_LAT,FROM_LON,TO_NAME,TO_TYPE,TO_LAT,TO_LON,EDGE_TYPE,PRODUCT_FORM,COMMODITIES,DISTANCE_KM
Angamos,port,-23.1,-70.42,Japan,country,35.68,139.69,port_to_country,concentrate,Molybdenum,
Angamos,port,-23.1,-70.42,Japan,country,35.68,139.69,port_to_country,lithium_compounds,Lithium,
Angamos,port,-23.1,-70.42,Japan,country,35.68,139.69,port_to_country,iodine,Iodine,
Angamos,port,-23.1,-70.42,Japan,country,35.68,139.69,port_to_country,nitrate,Nitrate,
Angamos,port,-23.1,-70.42,Malaysia,country,3.14,101.69,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Malaysia,country,3.14,101.69,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Malaysia,country,3.14,101.69,port_to_country,blister,Copper,
Angamos,port,-23.1,-70.42,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Mexico,country,19.43,-99.13,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Mexico,country,19.43,-99.13,port_to_country,lithium_compounds,Lithium,
Angamos,port,-23.1,-70.42,Mexico,country,19.43,-99.13,port_to_country,iodine,Iodine,
Angamos,port,-23.1,-70.42,Netherlands,country,51.92,4.48,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Netherlands,country,51.92,4.48,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Netherlands,country,51.92,4.48,port_to_country,concentrate,Molybdenum,
Angamos,port,-23.1,-70.42,Netherlands,country,51.92,4.48,port_to_country,iodine,Iodine,
Angamos,port,-23.1,-70.42,Norway,country,59.91,10.75,port_to_country,iodine,Iodine,
Angamos,port,-23.1,-70.42,Panama,country,8.98,-79.52,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Peru,country,-12.05,-77.04,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Peru,country,-12.05,-77.04,port_to_country,iodine,Iodine,
Angamos,port,-23.1,-70.42,Peru,country,-12.05,-77.04,port_to_country,nitrate,Nitrate,
Angamos,port,-23.1,-70.42,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Singapore,country,1.35,103.82,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,South Korea,country,37.57,126.98,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,South Korea,country,37.57,126.98,port_to_country,blister,Copper,
Angamos,port,-23.1,-70.42,South Korea,country,37.57,126.98,port_to_country,concentrate,Molybdenum,
Angamos,port,-23.1,-70.42,South Korea,country,37.57,126.98,port_to_country,lithium_compounds,Lithium,
Angamos,port,-23.1,-70.42,South Korea,country,37.57,126.98,port_to_country,iodine,Iodine,
Angamos,port,-23.1,-70.42,South Korea,country,37.57,126.98,port_to_country,nitrate,Nitrate,
Angamos,port,-23.1,-70.42,Spain,country,36.72,-4.42,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Spain,country,36.72,-4.42,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Spain,country,36.72,-4.42,port_to_country,blister,Copper,
Angamos,port,-23.1,-70.42,Spain,country,36.72,-4.42,port_to_country,iodine,Iodine,
Angamos,port,-23.1,-70.42,Sweden,country,57.71,11.97,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Sweden,country,57.71,11.97,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Switzerland,country,47.38,8.54,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Taiwan,country,25.03,121.57,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Taiwan,country,25.03,121.57,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Taiwan,country,25.03,121.57,port_to_country,blister,Copper,
Angamos,port,-23.1,-70.42,Taiwan,country,25.03,121.57,port_to_country,lithium_compounds,Lithium,
Angamos,port,-23.1,-70.42,Thailand,country,13.76,100.5,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Thailand,country,13.76,100.5,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Thailand,country,13.76,100.5,port_to_country,blister,Copper,
Angamos,port,-23.1,-70.42,Thailand,country,13.76,100.5,port_to_country,concentrate,Molybdenum,
Angamos,port,-23.1,-70.42,Turkey,country,41.01,28.98,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,UAE,country,25.2,55.27,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,USA,country,29.76,-95.37,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,USA,country,29.76,-95.37,port_to_country,blister,Copper,
