Lithium_Resource,ID_ATLAS_FAENA,COMMTYPE,COMMENTS,MULTI_PROD,OrdReg,MODELO_DEPOSITO,FRANJA_METALOGENICA,ECAP,Nitrate_Reserve,Cobalt_Resource,SISTEMA_MINERAL,Potassium_Reserve,COMB_CRIT_COD,SOURCE,ESTADO_DEPOSITO,CRITICO_4,NOMBRE_DEPOSITO,Potassium_Resource,Molybdenum_Reserve,YEAR,LATITUD,Silver_Resource,DDLAT,LOCACC,ISO_CC,Molybdenum_Resource,REGION,FACID_NUM,Nitrate_Resource,MULTI_COMM,OWNER,LOCNAME,Manganese_Resource,Zinc_Reserve,Titanium_Resource,OrdFranj,Boron_Reserve,UNITS,OPERATOR_NAME,Silver_Reserve,Copper_Reserve,Rare Earths_Resource,COMBOCAP,CAPACITY_UNITS,OTROS_NOMBRES,ID,CRITICO_2,LOCDESC,Iron_Resource,VALOR_DATO,CRITICO_3,COUNTRY,FACILITY_TYPE,OPERATOR,DDLONG,PRIMARY_COMMODITY,ROWID,LONGITUD,SOURCEID,FACILITY_NAME,OTROS_CRITICOS,STATUS,CAPACITY,ANNCAP,COMMODITY,Lithium_Reserve,Copper_Resource,Boron_Resource,FACID,Gold_Reserve,ADM1,Iodine_Resource,COMUNA,ELEVACION,Gold_Resource,CRITICO_1,Iron_Reserve,COMBINACION_CRITICO,MIN_PROD,OBJECTID,ID_SIA_YACIMIENTO,PROVINCIA,Iodine_Reserve,Zinc_Resource,GRUPO_MODELO,REFERENCIA,OWNER_NAME,FACTYPE,ALL_COMMODITIES_RAW,N_COMMODITIES
,,,,,5,Epitermal de baja sulfuración,Cretácico Superior,,,,Magmático-Hidrotermal,,MIN_18,Sernageomin_2025,Mina paralizada,,Arqueros,,,,-29.84499999999997,,,,,,Coquimbo,,,,,,,,,6,,,,,,,,,,11,,,,Sin información,,,Mine (idle),,,Silver,,-70.91899999999998,,Arqueros,,Idle,,,,,,,,,,,Vicuña,,,Plata,,Plata,,11,,Elqui,,,Epitermales,,,,Plata,1
,,,,,3,IOCG,Cretácico Inferior,,,,Magmático-Hidrotermal,,MIN_01,Sernageomin_2025,Mina en producción,,Barreal Seco,,,,-25.92199999999997,,,,,,Antofagasta,,,,,,,,,5,,,,,,,,,Teresa de Colmo,12,,,,Actualizado,,,Mine (active),,,Copper,,-70.05499999999995,,Barreal Seco,,Active,,,,,541645.0,,,,,,Taltal,,,Cobre,,Cobre,,12,2570,Antofagasta,,,IOCG,https://www.sernageomin.cl/planes-de-cierre/,,,Cobre,1
,,,,,4,Pórfido de Cu,Cretácico Inferior,,,,Magmático-Hidrotermal,,MIN_01,Sernageomin_2025,Prospecto/Proyecto,,Berta,,,,-26.71799999999996,,,,,,Atacama,,,,,,,,,5,,,Minera Pacífico Ltda.,,,,,,Berta Este,13,,,,Sin información,,,Prospect/Project,,,Copper,,-70.05599999999998,,Berta,,Prospect/Project,,,,,,,,,,,Diego de Almagro,,,Cobre,,Cobre,,13,1373,Chañaral,,,Pórfidos,,Minera Pacífico Ltda.,,Cobre,1
,,,,,4,IOA,Cretácico Inferior,,,,Magmático-Hidrotermal,,MIN_15,Sernageomin_2025,Mina paralizada,,Boqueron Chañar,,,,-28.06950999999998,,,,,,Atacama,,,,,,,,,5,,,,,,,,,,14,,,162324.2,Histórico,,,Mine (idle),,,Iron,,-70.69988999999998,,Boqueron Chañar,,Idle,,,,,,,,,,,Vallenar,,,Hierro,,Hierro,,14,M-490,Huasco,,,IOA,https://repositorio.sernageomin.cl/items/6a534a1c-0e76-47fb-b72c-33febf88c011,,,Hierro,1
,,,,,5,Pórfido de Cu-Mo,Eoceno-Oligoceno,,,,Magmático-Hidrotermal,,"MIN_01, MIN_03, MIN_04",Sernageomin_2025,Prospecto/Proyecto,,Bornita,,,,-30.90599999999995,,,,,,Coquimbo,,,,,,,,,8,,,,,,,,,,15,Molibdeno,,,Sin información,,,Prospect/Project,,,Copper,,-70.39199999999994,,Bornita,Renio,Prospect/Project,,,,,,,,,,,Monte Patria,,,Cobre,,Cobre-Molibdeno,,15,,Limarí,,,Pórfidos,,,,Cobre-Molibdeno,2
,,,,,9,Pórfido de Cu-Mo,Mioceno-Plioceno,,,,Magmático-Hidrotermal,,MIN_01,Sernageomin_2025,Prospecto/Proyecto,,Brahma,,,,-35.761999999999944,,,,,,Maule,,,,,,,,,10,,,,,,,,,,16,,,,Sin información,,,Prospect/Project,,,Copper,,-71.20299999999997,,Brahma,,Prospect/Project,,,,,,,,,,,Colbún,,,Cobre,,Cobre,,16,,Linares,,,Pórfidos,,,,Cobre,1
,,,,,3,Pórfido de Cu-Mo,Eoceno-Oligoceno,,,,Magmático-Hidrotermal,,MIN_01,Sernageomin_2025,Prospecto/Proyecto,,Brujulina,,,,-21.93599999999998,,,,,,Antofagasta,,,,,,,,,8,,,,,,,,,,17,,,,Actualizado,,,Prospect/Project,,,Copper,,-68.86099999999993,,Brujulina,,Prospect/Project,,,,,434630.0,,,,,,Calama,,,Cobre,,Cobre,,17,,El Loa,,,Pórfidos,https://www.aminerals.cl/docs/default-source/archivo/reportes/annual-report-2024.pdf?sfvrsn=3a957ff4_4,,,Cobre,1
,,,,,3,Estratoligado,Jurásico,,,,Magmático-Hidrotermal,,MIN_01,Sernageomin_2025,Mina paralizada,,Buena Esperanza,,,,-22.164999999999964,,,,,,Antofagasta,,,,,,,,,3,,,,,,,,,,18,,,,Histórico,,,Mine (idle),,,Copper,,-70.20999999999998,,Buena Esperanza,,Idle,,,,,203000.0,,,,,,Tocopilla,,,Cobre,,Cobre,,18,2690,Tocopilla,,,Estratoligado,https://repositorio.uchile.cl/handle/2250/151836,,,Cobre,1
,,,,,3,Pórfido de Cu-Mo,Paleoceno-Eoceno,,,,Magmático-Hidrotermal,,MIN_01,Sernageomin_2025,Prospecto/Proyecto,,Búfalo,,,,-23.635999999999967,,,,,,Antofagasta,,,,,,,,,7,,,,,,,,,,19,,,,Sin información,,,Prospect/Project,,,Copper,,-69.29399999999998,,Búfalo,,Prospect/Project,,,,,,,,,,,Sierra Gorda,,,Cobre,,Cobre,,19,,Antofagasta,,,Pórfidos,,,,Cobre,1
,,,,,3,Epitermal de baja sulfuración,Paleoceno-Eoceno,,,,Magmático-Hidrotermal,,"MIN_17, MIN_18",Sernageomin_2025,Prospecto/Proyecto,,Cachinal,,,,-24.964999999999975,586.9,,,,,Antofagasta,,,,,,,,,7,,,,,,,,,Cachinal de la Sierra,20,Oro,,,Actualizado,,,Prospect/Project,,,Silver,,-69.54833299999996,,Cachinal,,Prospect/Project,,,,,,,,,,,Taltal,,0.736,Plata,,Plata-Oro,,20,3205,Antofagasta,,,Epitermales,https://aftermathsilver.com/projects/cachinal/overview/,,,Plata-Oro,2
,,,,,3,Estratoligado,Cretácico Inferior,,,,Magmático-Hidrotermal,,"MIN_01, MIN_18",Sernageomin_2025,Prospecto/Proyecto,,Cachorro,,,,-22.975999999999942,978.147,,,,,Antofagasta,,,,,,,,,5,,,,,,,,,,21,Plata,,,Actualizado,,,Prospect/Project,,,Copper,,-69.74499999999995,,Cachorro,,Prospect/Project,,,,,3216780.0,,,,,,Sierra Gorda,,,Cobre,,Cobre-Plata,,21,,Antofagasta,,,Estratoligado,https://www.aminerals.cl/docs/default-source/archivo/reportes/annual-report-2024.pdf?sfvrsn=3a957ff4_4,,,Cobre-Plata,2
,,,,,2,Campo de nitrato-yodo,Mioceno-Pleistoceno,,,,Sedimentario-Atmosférico,,"MIN_14, MIN_16",Sernageomin_2025,Mina en producción,,Cala Cala,,,,-20.234999999999957,,,,,,Tarapacá,,,,,,,,,11,,,,,,,,,,22,Yodo,,,Actualizado,,,Mine (active),,,Nitrate,,-69.79299999999995,,Cala Cala,,Active,,,,,,,,,,27815.4,Pozo Almonte,,,Nitrato,,Nitrato-Yodo,,22,,Tamarugal,,,Campo de nitrato-yodo,https://www.sernageomin.cl/planes-de-cierre/,,,Nitrato-Yodo,2
