Lithium_Resource,ID_ATLAS_FAENA,COMMTYPE,COMMENTS,MULTI_PROD,OrdReg,MODELO_DEPOSITO,FRANJA_METALOGENICA,ECAP,Nitrate_Reserve,Cobalt_Resource,SISTEMA_MINERAL,Potassium_Reserve,COMB_CRIT_COD,SOURCE,ESTADO_DEPOSITO,CRITICO_4,NOMBRE_DEPOSITO,Potassium_Resource,Molybdenum_Reserve,YEAR,LATITUD,Silver_Resource,DDLAT,LOCACC,ISO_CC,Molybdenum_Resource,REGION,FACID_NUM,Nitrate_Resource,MULTI_COMM,OWNER,LOCNAME,Manganese_Resource,Zinc_Reserve,Titanium_Resource,OrdFranj,Boron_Reserve,UNITS,OPERATOR_NAME,Silver_Reserve,Copper_Reserve,Rare Earths_Resource,COMBOCAP,CAPACITY_UNITS,OTROS_NOMBRES,ID,CRITICO_2,LOCDESC,Iron_Resource,VALOR_DATO,CRITICO_3,COUNTRY,FACILITY_TYPE,OPERATOR,DDLONG,PRIMARY_COMMODITY,ROWID,LONGITUD,SOURCEID,FACILITY_NAME,OTROS_CRITICOS,STATUS,CAPACITY,ANNCAP,COMMODITY,Lithium_Reserve,Copper_Resource,Boron_Resource,FACID,Gold_Reserve,ADM1,Iodine_Resource,COMUNA,ELEVACION,Gold_Resource,CRITICO_1,Iron_Reserve,COMBINACION_CRITICO,MIN_PROD,OBJECTID,ID_SIA_YACIMIENTO,PROVINCIA,Iodine_Reserve,Zinc_Resource,GRUPO_MODELO,REFERENCIA,OWNER_NAME,FACTYPE,ALL_COMMODITIES_RAW,N_COMMODITIES
,,,,,3,Pórfido de Cu-Mo,Eoceno-Oligoceno,,,,Magmático-Hidrotermal,,MIN_01,Sernageomin_2025,Mina en producción,,Escondida,,,,-24.274999999999977,,,,,,Antofagasta,,,,,,,,,8,,,Minera Escondida Ltda.,,35983200.0,,,,,109,,,,Actualizado,,,Mine (active),,,Copper,,-69.05799999999994,,Escondida,,Active,,,,,100646500.0,,,,,,Antofagasta,,,Cobre,,Cobre,,109,,Antofagasta,,,Pórfidos,https://www.bhp.com/-/media/documents/investors/annual-reports/2024/240827_bhpannualreport2024.pdf,"Minera Escondida Ltda., 100%",,Cobre,1
,,,,,3,Pórfido de Cu-Mo,Eoceno-Oligoceno,,,,Magmático-Hidrotermal,,"MIN_01, MIN_17",Sernageomin_2025,Prospecto/Proyecto,,Exploradora,,,,-25.805999999999983,,,,,,Antofagasta,,,,,,,,,8,,,,,,,,,,110,Oro,,,Histórico,,,Prospect/Project,,,Copper,,-69.23699999999997,,Exploradora,,Prospect/Project,,,,,500000.0,,,,,,Taltal,,20.0,Cobre,,Cobre-Oro,,110,,Antofagasta,,,Pórfidos,https://repositorio.sernageomin.cl/items/a8faf057-5764-4d2d-a6eb-5c9c152fbe50/full,,,Cobre-Oro,2
,,,,,3,Epitermal de baja sulfuración,Paleoceno-Eoceno,,,,Magmático-Hidrotermal,,"MIN_17, MIN_18",Sernageomin_2025,Mina Paralizada,,Faride,,,,-22.809999999999945,,,,,,Antofagasta,,,,,,,,,7,,,,,,,,,,111,Oro,,,Sin información,,,Mine (idle),,,Silver,,-69.39999999999998,,Faride,,Idle,,,,,,,,,,,Sierra Gorda,,,Plata,,Plata-Oro,,111,,Antofagasta,,,Epitermales,,,,Plata-Oro,2
,,,,,4,Epitermal de baja sulfuración,Mioceno,,,,Magmático-Hidrotermal,,MIN_17,Sernageomin_2025,Prospecto/Proyecto,,Fenix,,,,-27.010999999999967,,,,,,Atacama,,,,,,,,,9,,,,,,,,,,112,,,,Actualizado,,,Prospect/Project,,,Gold,,-69.20299999999997,,Fenix,,Prospect/Project,,,,,,,,55.056,,,Copiapó,,177.86,Oro,,Oro,,112,,Copiapó,,,Epitermales,https://www.fenixgold.cl/proyecto/geologia-recursos,,,Oro,1
,,,,,3,Campo de nitrato-yodo,Mioceno-Pleistoceno,,,,Sedimentario-Atmosférico,,"MIN_14, MIN_16",Sernageomin_2025,Mina paralizada,,Florencia,,,,-23.41999999999996,,,,,,Antofagasta,,,,,,,,,11,,,,,,,,,,113,Yodo,,,Sin información,,,Mine (idle),,,Nitrate,,-69.54999999999995,,Florencia,,Idle,,,,,,,,,,,Sierra Gorda,,,Nitrato,,Nitrato-Yodo,,113,,Antofagasta,,,Campo de nitrato-yodo,,,,Nitrato-Yodo,2
,,,,,3,Estratoligado,Cretácico Inferior,,,,Magmático-Hidrotermal,,MIN_01,Sernageomin_2025,Mina en producción,,Franke,,,,-25.82899999999995,,,,,,Antofagasta,,,,,,,,,5,,,Sociedad Contractual Minera Franke ,,,,,,,114,,,,Actualizado,,,Mine (active),,,Copper,,-69.86399999999998,,Franke,,Active,,,,,106043.9,,,,,,Taltal,,,Cobre,,Cobre,,114,,Antofagasta,,,Estratoligado,https://www.sernageomin.cl/planes-de-cierre/,"KGHM International Ltd., 100%",,Cobre,1
,,,,,5,Pórfido de Cu-Mo,Mioceno-Plioceno,,,,Magmático-Hidrotermal,,"MIN_01, MIN_17",Sernageomin_2025,Prospecto/Proyecto,,Frontera,,,,-31.728999999999928,,,,,,Coquimbo,,,,,,,,,10,,,,,,,,,,115,Oro,,,Histórico,,,Prospect/Project,,,Copper,,-70.47799999999995,,Frontera,,Prospect/Project,,,,,3640000.0,,,,,,Salamanca,,70.0,Cobre,,Cobre-Oro,,115,,Choapa,,,Pórfidos,http://www.andeangeology.cl/index.php/revista1/article/view/V48n1-3294,,,Cobre-Oro,2
,,,,,3,Pórfido de Cu-Mo,Eoceno-Oligoceno,,,,Magmático-Hidrotermal,,MIN_01,Sernageomin_2025,Mina en producción,,Gabriela Mistral,,,,-23.41799999999995,,,,,,Antofagasta,,,,,,,,,8,,,Minera Gaby S.A. ,,588000.0,,,,Gaby,116,,,,Actualizado,,,Mine (active),,,Copper,,-68.81099999999998,,Gabriela Mistral,,Active,,,,,6966400.0,,,,,,Sierra Gorda,,,Cobre,,Cobre,,116,,Antofagasta,,,Pórfidos,https://www.codelco.com/prontus_codelco/site/docs/20250329/20250329202724/codelco_memoria_anual_2024.pdf,"Corporación Nacional del Cobre (CODELCO) (Government, 100%), 100%",,Cobre,1
,,,,,12,Pórfido de Cu,Cretácico Superior,,,,Magmático-Hidrotermal,,MIN_01,Sernageomin_2025,Prospecto/Proyecto,,Galletué,,,,-38.716999999999985,,,,,,La Araucanía,,,,,,,,,6,,,,,,,,,,117,,,,Sin información,,,Prospect/Project,,,Copper,,-71.32699999999994,,Galletué,,Prospect/Project,,,,,,,,,,,Lonquimay,,,Cobre,,Cobre,,117,,Malleco,,,Pórfidos,,,,Cobre,1
,,,,,3,Pórfido de Cu-Mo,Eoceno-Oligoceno,,,,Magmático-Hidrotermal,,MIN_01,Sernageomin_2025,Prospecto/Proyecto,,Genoveva,,,,-22.408999999999935,,,,,,Antofagasta,,,,,,,,,8,,,,,,,,,,118,,,,Sin información,,,Prospect/Project,,,Copper,,-68.96399999999994,,Genoveva,,Prospect/Project,,,,,,,,,,,Calama,,,Cobre,,Cobre,,118,,El Loa,,,Pórfidos,nan,,,Cobre,1
,,,,,3,Epitermal de alta sulfuración,Paleoceno-Eoceno,,,,Magmático-Hidrotermal,,"MIN_17, MIN_18",Sernageomin_2025,Mina en producción,,Guanaco,,,,-25.108888999999976,63.98101,,,,,Antofagasta,,,,,,,,,7,,,,32.4608,,,,,Operación Guanaco-Amancaya,119,Plata,,,Actualizado,,,Mine (active),,,Gold,,-69.55694399999999,,Guanaco,,Active,,,,,,,,6.9632,,,Taltal,,13.07473,Oro,,Oro-Plata,,119,,Antofagasta,,,Epitermales,https://australgold.com/wp-content/uploads/2023/03/SLR-Austral-Guanaco-Amancaya-NI-43-101-FINAL-25-March-2022-1.pdf,,,Oro-Plata,2
,,,,,2,Epitermal de baja sulfuración,Jurásico,,,,Magmático-Hidrotermal,,MIN_18,Sernageomin_2025,Mina paralizada,,Huantajaya,,,,-20.23194399999994,480.0,,,,,Tarapacá,,,,,,,,,3,,,,,,,,,,120,,,,Histórico,,,Mine (idle),,,Silver,,-70.05694399999999,,Huantajaya,,Idle,,,,,,,,,,,Alto Hospicio,,,Plata,,Plata,,120,,Iquique,,,Epitermales,https://catalogobiblioteca.sernageomin.cl/cgi-bin/koha/opac-detail.pl?biblionumber=271338,,,Plata,1
,,,,,4,Pórfido de Cu-Mo,Cretácico Superior,,,,Magmático-Hidrotermal,,MIN_01,Sernageomin_2025,Mina en producción,,Inca de Oro,,,,-26.837999999999965,,,,,,Atacama,,,,,,,,,6,,,,,,,,,,121,,,,Histórico,,,Mine (active),,,Copper,,-69.95399999999995,,Inca de Oro,,Active,,,,,1517100.0,,,,,,Diego de Almagro,,,Cobre,,Cobre,,121,,Chañaral,,,Pórfidos,https://pubs.geoscienceworld.org/segweb/economicgeology/article/112/2/295/172169/Contrasting-Tectonic-Settings-and-Sulfur-Contents,,,Cobre,1
,,,,,3,Epitermal de alta sulfuración,Paleoceno-Eoceno,,,,Magmático-Hidrotermal,,"MIN_17, MIN_18",Sernageomin_2025,Prospecto/Proyecto,,Inesperada,,,,-25.146999999999935,25.10476,,,,,Antofagasta,,,,,,,,,7,,,,23.12473,,,,,Operación Guanaco-Amancaya,122,Plata,,,Actualizado,,,Prospect/Project,,,Gold,,-69.60299999999995,,Inesperada,,Prospect/Project,,,,,,,,1.68735,,,Taltal,,1.83344,Oro,,Oro-Plata,,122,,Antofagasta,,,Epitermales,https://australgold.com/wp-content/uploads/2023/03/SLR-Austral-Guanaco-Amancaya-NI-43-101-FINAL-25-March-2022-1.pdf,,,Oro-Plata,2
,,,,,3,Estratoligado,Cretácico Inferior,,,,Magmático-Hidrotermal,,MIN_01,Sernageomin_2025,Mina paralizada,,Iván Zar,,,,-23.347999999999956,,,,,,Antofagasta,,,,,,,,,5,,,,,,,,,,123,,,,Actualizado,,,Mine (idle),,,Copper,,-70.27199999999993,,Iván Zar,,Idle,,,,,60489.73,,,,,,Antofagasta,,,Cobre,,Cobre,,123,,Antofagasta,,,Estratoligado,https://www.sernageomin.cl/planes-de-cierre/,,,Cobre,1
,,,,,4,Epitermal de alta sulfuración,Mioceno,,,,Magmático-Hidrotermal,,"MIN_17, MIN_18",Sernageomin_2025,Mina en producción,,La Coipa,,,,-26.83499999999998,1218.936,,,,,Atacama,,,,,,,,,9,,,Compañía Minera Mantos de Oro ,494.722,,,,,Compañía Minera Mantos de Oro,124,Plata,,,Actualizado,,,Mine (active),,,Gold,,-69.25249999999994,,La Coipa,,Active,,,,,,,,19.9994,,,Copiapó,,46.3478,Oro,,Oro-Plata,,124,,Copiapó,,,Epitermales,https://s204.q4cdn.com/896213035/files/doc_financials/2026/q1/Kinross-Gold-2024-Annual-Report-Final.pdf,"Kinross Gold Corp., 100%",,Oro-Plata,2
,,,,,14,Skarn,Cretácico Inferior,,,,Magmático-Hidrotermal,,MIN_17,Sernageomin_2025,Prospecto/Proyecto,,La Esperanza,,,,-43.83972199999994,,,,,,Los Lagos,,,,,,,,,5,,,,,,,,,,125,,,,Sin información,,,Prospect/Project,,,Gold,,-71.82444399999997,,La Esperanza,,Prospect/Project,,,,,,,,,,,Palena,,,Oro,,Oro,,125,,Palena,,,Skarn,,,,Oro,1
,,,,,4,Pórfido de Cu-Mo,Eoceno-Oligoceno,,,,Magmático-Hidrotermal,,"MIN_01, MIN_17, MIN_18",Sernageomin_2025,Prospecto/Proyecto,,La Fortuna,,,,-28.633999999999958,748.71,,,,,Atacama,,,,,,,,,8,,,,545.76,3479220.0,,,,"Nueva Unión (Relincho + La Fortuna), El Morro",126,Oro,,,Actualizado,Plata,,Prospect/Project,,,Copper,,-69.88399999999996,,La Fortuna,,Prospect/Project,,,,,3310200.0,,,320.634,,,Alto del Carmen,,336.045,Cobre,,Cobre-Oro-Plata,,126,,Huasco,,,Pórfidos,https://www.teck.com/media/AIF-2025.pdf,,,Cobre-Oro-Plata,3
,,,,,7,Mesotermal,Cretácico Inferior,,,,Magmático-Hidrotermal,,"MIN_01, MIN_08",Sernageomin_2025,Mina paralizada,,La Golondrina,,,,-33.83099999999996,,,,,,Metropolitana de Santiago,,,,,,,,,5,,,,,,,,,,127,Cobalto,,,Sin información,,,Mine (idle),,,Copper,,-70.19199999999995,,La Golondrina,,Idle,,,,,,,,,,,San José de Maipo,,,Cobre,,Cobre-Cobalto,,127,,Cordillera,,,Mesotermal,,,,Cobre-Cobalto,2
,,,,,5,IOCG,Cretácico Inferior,,,,Magmático-Hidrotermal,,"MIN_01, MIN_08",Sernageomin_2025,Prospecto/Proyecto,,La Higuera,,,,-29.522999999999968,,,,,,Coquimbo,,,,,,,,,5,,,,,,,,,,128,Cobalto,,,Sin información,,,Prospect/Project,,,Copper,,-71.20799999999997,,La Higuera,,Prospect/Project,,,,,,,,,,,La Higuera,,,Cobre,,Cobre-Cobalto,,128,,Elqui,,,IOCG,,,,Cobre-Cobalto,2
,,,,,8,Pórfido de Cu-Mo,Mioceno-Plioceno,,,,Magmático-Hidrotermal,,"MIN_01, MIN_03",Sernageomin_2025,Prospecto/Proyecto,,La Huifa,,,,-34.06299999999993,,,,,,Libertador General Bernardo O'Higgins,,,,,,,,,10,,,,,,,,,,129,Molibdeno,,,Sin información,,,Prospect/Project,,,Copper,,-70.33299999999997,,La Huifa,,Prospect/Project,,,,,,,,,,,Machalí,,,Cobre,,Cobre-Molibdeno,,129,,Cachapoal,,,Pórfidos,nan,,,Cobre-Molibdeno,2
,,,,,4,Ti asociado a rocas ígneas,Cretácico Inferior,,,,Magmático,,MIN_07,Sernageomin_2025,Prospecto/Proyecto,,La Martina,,,,-28.70999999999998,,,,,,Atacama,,,,,,,,,5,,,,,,,,,,130,,,,Sin información,,,Prospect/Project,,,Titanium,,-71.17999999999995,,La Martina,,Prospect/Project,,,,,,,,,,,Freirina,,,Titanio,,Titanio,,130,,Huasco,,,Ti asociado a rocas ígneas,,,,Titanio,1
,,,,,4,Estratoligado,Cretácico Inferior,,,,Magmático-Hidrotermal,,MIN_06,Sernageomin_2025,Mina paralizada,,La Negra,,,,-28.339999999999975,,,,,,Atacama,,,,,,,,,5,,,,,,,,,,131,,,,Sin información,,,Mine (idle),,,Manganese,,-70.83099999999996,,La Negra,,Idle,,,,,,,,,,,Freirina,,,Manganeso,,Manganeso,,131,,Huasco,,,Estratoligado,,,,Manganeso,1
,,,,,4,Pórfido de Au,Mioceno,,,,Magmático-Hidrotermal,,MIN_17,Sernageomin_2025,Prospecto/Proyecto,,La Pepa,,,,-27.285999999999945,,,,,,Atacama,,,,,,,,,9,,,,,,,,,,132,,,,Actualizado,,,Prospect/Project,,,Gold,,-69.23899999999998,,La Pepa,,Prospect/Project,,,,,,,,,,,Tierra Amarilla,,63.558,Oro,,Oro,,132,,Copiapó,,,Pórfidos,https://panamericansilver.com/operations/reserves-and-resources/,,,Oro,1
,,,,,2,Pórfido de Cu-Mo,Eoceno-Oligoceno,,,,Magmático-Hidrotermal,,"MIN_01, MIN_03",Sernageomin_2025,Prospecto/Proyecto,,La Planada,,,,-20.17199999999997,,,,,,Tarapacá,,,,,,,,,8,,,,,,,,,,133,Molibdeno,,,Histórico,,,Prospect/Project,,,Copper,,-69.06399999999996,,La Planada,,Prospect/Project,,,,,120000.0,,,,,,Pozo Almonte,,,Cobre,,Cobre-Molibdeno,,133,,Tamarugal,,,Pórfidos,https://repositorio.sernageomin.cl/items/a8faf057-5764-4d2d-a6eb-5c9c152fbe50/full,,,Cobre-Molibdeno,2
,,,,,16,Epitermal de metales preciosos,Jurásico-Cretácico,,,,Magmático-Hidrotermal,,"MIN_01, MIN_12",Sernageomin_2025,Prospecto/Proyecto,,La Serena,,,,-52.787999999999954,,,,,,Magallanes y de la Antártica Chilena,,,,,,,,,4,,,Compañía Minera El Sauce Ltda.,,,,,,,134,Cinc,,,Sin información,,,Prospect/Project,,,Copper,,-72.91999999999996,,La Serena,,Prospect/Project,,,,,,,,,,,Río Verde,,,Cobre,,Cobre-Cinc,,134,,Magallanes,,,Epitermales,,Compañía Minera El Sauce Ltda.,,Cobre-Cinc,2
,,,,,4,IOCG,Jurásico-Cretácico,,,,Magmático-Hidrotermal,,MIN_15,Sernageomin_2025,Mina paralizada,,La Suerte,,,,-26.339999999999975,,,,,,Atacama,,,,,,,,,4,,,,,,,,,,135,,,,Sin información,,,Mine (idle),,,Iron,,-70.40999999999997,,La Suerte,,Idle,,,,,,,,,,,Chañaral,,,Hierro,,Hierro,,135,M-6821,Chañaral,,,IOCG,,,,Hierro,1
,,,,,2,Campo de nitrato-yodo,Mioceno-Pleistoceno,,,,Sedimentario-Atmosférico,,"MIN_14, MIN_16",Sernageomin_2025,Mina paralizada,,Lagunas,,,,-20.95999999999998,,,,,,Tarapacá,,,,,,,,,11,,,ACF Minera S.A.,,,,,,,136,Yodo,,,Actualizado,,,Mine (idle),,,Nitrate,,-69.66999999999996,,Lagunas,,Idle,,,,,,,,,,16039.0,Pozo Almonte,,,Nitrato,,Nitrato-Yodo,,136,,Tamarugal,,,Campo de nitrato-yodo,https://www.sernageomin.cl/planes-de-cierre/,ACF Minera S.A.,,Nitrato-Yodo,2
,,,,,5,Pórfido de Cu,Cretácico Superior,,,,Magmático-Hidrotermal,,"MIN_01, MIN_03",Sernageomin_2025,Prospecto/Proyecto,,Lana Corina,,,,-31.124999999999943,,,,,,Coquimbo,,,,,,,,,6,,,,,,,,,,137,Molibdeno,,,Sin información,,,Prospect/Project,,,Copper,,-71.11599999999999,,Lana Corina,,Prospect/Project,,,,,,,,,,,Combarbalá,,,Cobre,,Cobre-Molibdeno,,137,,Limarí,,,Pórfidos,,,,Cobre-Molibdeno,2
,,,,,14,Epitermal de metales preciosos,Jurásico-Cretácico,,,,Magmático-Hidrotermal,,"MIN_01, MIN_12",Sernageomin_2025,Prospecto/Proyecto,,Las Juntas,,,,-43.67199999999997,,,,,,Los Lagos,,,,,,,,,4,,,,,,,,,,138,Cinc,,,Sin información,,,Prospect/Project,,,Copper,,-71.79199999999997,,Las Juntas,,Prospect/Project,,,,,,,,,,,Palena,,,Cobre,,Cobre-Cinc,,138,,Palena,,,Epitermales,,,,Cobre-Cinc,2
,,,,,3,Estratoligado,Jurásico,,,,Magmático-Hidrotermal,,MIN_01,Sernageomin_2025,Mina en producción,,Las Luces,,,,-25.69799999999998,,,,,,Antofagasta,,,,,,,,,3,,,Groupo Cenizas,,,,,,,139,,,,Actualizado,,,Mine (active),,,Copper,,-70.49599999999998,,Las Luces,,Active,,,,,541645.0,,,,,,Taltal,,,Cobre,,Cobre,,139,,Antofagasta,,,Estratoligado,https://www.sernageomin.cl/planes-de-cierre/,Groupo Cenizas,,Cobre,1
,,,,,9,Epitermal de baja sulfuración,Cretácico Inferior,,,,Magmático-Hidrotermal,,MIN_17,Sernageomin_2025,Mina Paralizada,,Las Palmas,,,,-35.17249999999996,,,,,,Maule,,,,,,,,,5,,,,,,,,,,140,,,,Histórico,,,Mine (idle),,,Gold,,-71.76666699999998,,Las Palmas,,Idle,,,,,,,,,,,Pencahue,,9.0,Oro,,Oro,,140,,Talca,,,Epitermales,http://www.andeangeology.cl/index.php/revista1/article/view/V48n1-3294,,,Oro,1
,,,,,14,Placer,Mioceno-Holoceno,,,,Sedimentario de placer,,MIN_17,Sernageomin_2025,Mina paralizada,,Lavadero Ayacara-Huequi,,,,-42.301110999999935,,,,,,Los Lagos,,,,,,,,,12,,,,,,,,,,141,,,,Sin información,,,Mine (idle),,,Gold,,-72.69472199999996,,Lavadero Ayacara-Huequi,,Idle,,,,,,,,,,,Chaitén,,,Oro,,Oro,,141,,Palena,,,Placer,,,,Oro,1
,,,,,14,Placer,Mioceno-Holoceno,,,,Sedimentario de placer,,MIN_17,Sernageomin_2025,Mina paralizada,,Lavadero Caleta Zorra,,,,-43.12944399999998,,,,,,Los Lagos,,,,,,,,,12,,,,,,,,,,142,,,,Sin información,,,Mine (idle),,,Gold,,-74.30305599999997,,Lavadero Caleta Zorra,,Idle,,,,,,,,,,,Quellón,,,Oro,,Oro,,142,,Chiloé,,,Placer,,,,Oro,1
,,,,,14,Placer,Mioceno-Holoceno,,,,Sedimentario de placer,,MIN_17,Sernageomin_2025,Mina paralizada,,Lavadero Carelmapu,,,,-41.71666699999997,,,,,,Los Lagos,,,,,,,,,12,,,,,,,,,,143,,,,Sin información,,,Mine (idle),,,Gold,,-73.71333299999998,,Lavadero Carelmapu,,Idle,,,,,,,,,,,Maullín,,,Oro,,Oro,,143,,Llanquihue,,,Placer,,,,Oro,1
,,,,,14,Placer,Mioceno-Holoceno,,,,Sedimentario de placer,,MIN_17,Sernageomin_2025,Mina paralizada,,Lavadero Contaco,,,,-40.631110999999976,,,,,,Los Lagos,,,,,,,,,12,,,,,,,,,,144,,,,Sin información,,,Mine (idle),,,Gold,,-73.49833299999995,,Lavadero Contaco,,Idle,,,,,,,,,,,San Juan de la Costa,,,Oro,,Oro,,144,,Osorno,,,Placer,,,,Oro,1
,,,,,14,Placer,Mioceno-Holoceno,,,,Sedimentario de placer,,MIN_17,Sernageomin_2025,Mina paralizada,,Lavadero Cucao-Rahue,,,,-42.664999999999964,,,,,,Los Lagos,,,,,,,,,12,,,,,,,,,,145,,,,Sin información,,,Mine (idle),,,Gold,,-74.11999999999995,,Lavadero Cucao-Rahue,,Idle,,,,,,,,,,,Chonchi,,,Oro,,Oro,,145,,Chiloé,,,Placer,,,,Oro,1
,,,,,6,Placer,Mioceno-Holoceno,,,,Sedimentario de placer,,MIN_17,Sernageomin_2025,Mina paralizada,,Lavadero El Toro,,,,-33.289999999999964,,,,,,Valparaíso,,,,,,,,,12,,,,,,,,,,146,,,,Sin información,,,Mine (idle),,,Gold,,-71.48599999999993,,Lavadero El Toro,,Idle,,,,,,,,,,,Casablanca,,,Oro,,Oro,,146,,Valparaíso,,,Placer,,,,Oro,1
,,,,,16,Placer,Mioceno-Holoceno,,,,Sedimentario de placer,,MIN_17,Sernageomin_2025,Mina paralizada,,Lavadero Isla Navarino,,,,-55.11666699999995,,,,,,Magallanes y de la Antártica Chilena,,,,,,,,,12,,,,,,,,,,147,,,,Sin información,,,Mine (idle),,,Gold,,-67.69999999999999,,Lavadero Isla Navarino,,Idle,,,,,,,,,,,Cabo de Hornos,,,Oro,,Oro,,147,,Antártica Chilena,,,Placer,,,,Oro,1
,,,,,16,Placer,Mioceno-Holoceno,,,,Sedimentario de placer,,MIN_17,Sernageomin_2025,Mina paralizada,,Lavadero Isla Picton,,,,-55.03333299999997,,,,,,Magallanes y de la Antártica Chilena,,,,,,,,,12,,,,,,,,,,148,,,,Sin información,,,Mine (idle),,,Gold,,-66.94999999999999,,Lavadero Isla Picton,,Idle,,,,,,,,,,,Cabo de Hornos,,,Oro,,Oro,,148,,Antártica Chilena,,,Placer,,,,Oro,1
,,,,,14,Placer,Mioceno-Holoceno,,,,Sedimentario de placer,,MIN_17,Sernageomin_2025,Mina paralizada,,Lavadero Marilán,,,,-41.24999999999994,,,,,,Los Lagos,,,,,,,,,12,,,,,,,,,,149,,,,Sin información,,,Mine (idle),,,Gold,,-73.81666699999994,,Lavadero Marilán,,Idle,,,,,,,,,,,Fresia,,,Oro,,Oro,,149,,Llanquihue,,,Placer,,,,Oro,1
,,,,,14,Placer,Mioceno-Holoceno,,,,Sedimentario de placer,,MIN_17,Sernageomin_2025,Mina paralizada,,Lavadero Millacoya,,,,-40.74166699999995,,,,,,Los Lagos,,,,,,,,,12,,,,,,,,,,150,,,,Sin información,,,Mine (idle),,,Gold,,-73.52499999999998,,Lavadero Millacoya,,Idle,,,,,,,,,,,San Juan de la Costa,,,Oro,,Oro,,150,,Osorno,,,Placer,,,,Oro,1
,,,,,16,Placer,Mioceno-Holoceno,,,,Sedimentario de placer,,MIN_17,Sernageomin_2025,Mina paralizada,,Lavadero Río del Oro,,,,-52.91666699999996,,,,,,Magallanes y de la Antártica Chilena,,,,,,,,,12,,,,,,,,,,151,,,,Sin información,,,Mine (idle),,,Gold,,-69.83333299999998,,Lavadero Río del Oro,,Idle,,,,,,,,,,,Primavera,,,Oro,,Oro,,151,,Tierra del Fuego,,,Placer,,,,Oro,1
,,,,,16,Placer,Mioceno-Holoceno,,,,Sedimentario de placer,,MIN_17,Sernageomin_2025,Mina paralizada,,Lavadero Río Oscar,,,,-52.94999999999993,,,,,,Magallanes y de la Antártica Chilena,,,,,,,,,12,,,,,,,,,,152,,,,Sin información,,,Mine (idle),,,Gold,,-69.66666699999996,,Lavadero Río Oscar,,Idle,,,,,,,,,,,Primavera,,,Oro,,Oro,,152,,Tierra del Fuego,,,Placer,,,,Oro,1
,,,,,3,Pórfido de Cu,Carbonífero-Triásico,,,,Magmático-Hidrotermal,,MIN_01,Sernageomin_2025,Prospecto/Proyecto,,Lila,,,,-23.82699999999994,,,,,,Antofagasta,,,,,,,,,2,,,,,,,,,,153,,,,Sin información,,,Prospect/Project,,,Copper,,-68.95099999999996,,Lila,,Prospect/Project,,,,,,,,,,,Antofagasta,,,Cobre,,Cobre,,153,,Antofagasta,,,Pórfidos,,,,Cobre,1
,,,,,5,Pórfido de Cu-Mo,Cretácico Superior,,,,Magmático-Hidrotermal,,"MIN_01, MIN_03, MIN_04, MIN_17",Sernageomin_2025,Prospecto/Proyecto,,Llahuín,,,,-31.333999999999946,,,,,12920.0,Coquimbo,,,,,,,,,6,,,,,,,,,,154,Oro,,,Actualizado,Molibdeno,,Prospect/Project,,,Copper,,-71.02099999999996,,Llahuín,Renio,Prospect/Project,,,,,472100.0,,,,,,Combarbalá,,21.68,Cobre,,Cobre-Oro-Molibdeno,,154,,Limarí,,,Pórfidos,https://www.shmining.com.au/wp-content/uploads/2025/05/SUHMedia_CorporatePresentation_LlahuinCopperGold_April2025.pdf,,,Cobre-Oro-Molibdeno,3
,,,,,7,Estratoligado,Cretácico Inferior,,,,Magmático-Hidrotermal,,MIN_01,Sernageomin_2025,Mina Paralizada,,Lo Aguirre,,,,-33.43999999999994,,,,,,Metropolitana de Santiago,,,,,,,,,5,,,,,,,,,,155,,,,Sin información,,,Mine (idle),,,Copper,,-70.91999999999996,,Lo Aguirre,,Idle,,,,,,,,,,,Pudahuel,,,Cobre,,Cobre,,155,,Santiago,,,Estratoligado,,,,Cobre,1
,,,,,4,Pórfido de Au,Mioceno,,,,Magmático-Hidrotermal,,"MIN_17, MIN_18",Sernageomin_2025,Prospecto/Proyecto,,Lobo-Marte,,,,-27.16666699999996,,,,,,Atacama,,,,,,,,,9,,,,,,,,,,156,Plata,,,Actualizado,,,Prospect/Project,,,Gold,,-69.03333299999997,,Lobo-Marte,,Prospect/Project,,,,,,,,208.9126,,,Copiapó,,82.5398,Oro,,Oro-Plata,,156,,Copiapó,,,Pórfidos,https://s204.q4cdn.com/896213035/files/doc_financials/2026/q1/Kinross-Gold-2024-Annual-Report-Final.pdf,,,Oro-Plata,2
,,,,,5,Pórfido de Cu-Mo,Eoceno-Oligoceno,,,,Magmático-Hidrotermal,,"MIN_01, MIN_17",Sernageomin_2025,Prospecto/Proyecto,,Loica,,,,-31.063999999999965,,,,,,Coquimbo,,,,,,,,,8,,,,,,,,,,157,Oro,,,Histórico,,,Prospect/Project,,,Copper,,-70.66099999999994,,Loica,,Prospect/Project,,,,,1250000.0,,,,,,Monte Patria,,20.0,Cobre,,Cobre-Oro,,157,,Limarí,,,Pórfidos,https://repositorio.sernageomin.cl/items/a8faf057-5764-4d2d-a6eb-5c9c152fbe50/full,,,Cobre-Oro,2
