NODE,NODE_TYPE,FACILITY_TYPE,STATUS,REGION,OPERATOR,LAT,LON,DEGREE,DEGREE_CENTRALITY,BETWEENNESS_CENTRALITY,EIGENVECTOR_CENTRALITY,CLOSENESS_CENTRALITY,COMMUNITY
Collahuasi,mine,Mine (active),Active,Tarapacá,Compañía Minera Doña Inés de Collahuasi SCM ,-20.972999999999956,-68.70299999999997,8,0.02827,0.01198,0.0,0.12614,6
Colliguay,mine,Mine (active),Active,Valparaíso,None,-33.190999999999974,-71.14899999999994,2,0.00707,0.0,0.0,0.10022,10
Copaquire,mine,Prospect/Project,Prospect/Project,Tarapacá,None,-20.91599999999994,-68.89399999999995,7,0.02473,0.00015,0.0,0.1257,6
Costa Fuego,mine,Prospect/Project,Prospect/Project,Atacama,None,-28.714999999999975,-70.80499999999995,4,0.01413,0.18588,0.0,0.18223,2
Cristales,mine,Mine (idle),Idle,Atacama,Compañía Minera del Pacífico S.A. (CMP),-29.15095999999994,-71.04173899999995,6,0.0212,0.0003,0.0,0.13365,5
Diego de Almagro,mine,Prospect/Project,Prospect/Project,Atacama,None,-26.375999999999976,-70.16299999999995,11,0.03887,0.0,2e-05,0.19197,11
Distrito Algarrobo-El Roble,mine,Mine (idle),Idle,Atacama,None,-27.029999999999973,-70.52999999999997,7,0.02473,0.02276,1e-05,0.18441,11
Distrito Arqueros,mine,Mine (idle),Idle,Coquimbo,None,-29.786999999999978,-70.91399999999999,5,0.01767,0.01223,0.0,0.17096,2
Distrito Astilla,mine,Mine (idle),Idle,Atacama,None,-28.289999999999964,-70.86999999999995,5,0.01767,0.0,0.0,0.16829,2
Distrito Caracoles,mine,Mine (idle),Idle,Antofagasta,None,-23.053610999999933,-69.00888899999995,1,0.00353,0.0,0.0,0.14026,13
Distrito Carrizal Alto,mine,Mine (idle),Idle,Atacama,None,-28.085999999999956,-70.90199999999999,5,0.01767,0.0,0.0,0.16829,11
Distrito Cerro El Álamo,mine,Mine (idle),Idle,Valparaíso,None,-33.22399999999993,-71.23499999999996,2,0.00707,0.0,0.0,0.10022,10
Distrito Condoriaco,mine,Mine (idle),Idle,Coquimbo,None,-29.68799999999993,-70.86599999999999,4,0.01413,0.0,0.0,0.17042,2
Distrito Corral Quemado,mine,Mine (idle),Idle,Coquimbo,None,-30.247999999999934,-70.94399999999996,1,0.00353,0.0,0.0,0.1234,2
Distrito El Algarrobo,mine,Mine (active),Active,Atacama,None,-28.64584099999996,-70.91579699999994,7,0.02473,0.01213,0.0,0.16148,5
Distrito El Inca,mine,Mine (idle),Idle,Antofagasta,None,-22.259999999999934,-69.08599999999996,1,0.00353,0.0,0.0,0.12118,8
Distrito Fraguita,mine,Mine (idle),Idle,Atacama,None,-29.075999999999965,-70.79399999999998,4,0.01413,0.0,0.0,0.17042,2
Distrito Gatico,mine,Mine (idle),Idle,Antofagasta,None,-22.473999999999933,-70.21599999999995,13,0.04594,0.00193,0.0,0.1284,8
Distrito Huara,mine,Mine (idle),Idle,Tarapacá,None,-20.047999999999945,-69.91099999999994,2,0.00707,0.0,0.0,0.09912,6
Distrito Julia,mine,Mine (active),Active,Antofagasta,None,-24.900999999999954,-70.27099999999996,7,0.02473,0.07017,1e-05,0.1804,11
Distrito La Campana,mine,Mine (idle),Idle,Valparaíso,None,-32.96199999999993,-71.12199999999996,8,0.02827,0.02248,0.0,0.12556,10
Distrito Lambert,mine,Mine (idle),Idle,Coquimbo,None,-29.84699999999998,-71.10099999999994,5,0.01767,0.0,0.0,0.17096,2
Distrito Las Pintadas,mine,Mine (idle),Idle,Atacama,None,-27.559999999999945,-70.31999999999994,6,0.0212,0.00576,0.0,0.17096,11
Distrito Las Ánimas,mine,Mine (idle),Idle,Atacama,None,-26.42999999999995,-70.46999999999997,8,0.02827,0.0003,2e-05,0.18473,11
Distrito Marga Marga,mine,Mine (idle),Idle,Valparaíso,None,-33.087999999999965,-71.42199999999997,2,0.00707,0.0,0.0,0.10022,10
Distrito Michilla,mine,Mine (active),Active,Antofagasta,None,-22.682999999999936,-70.17799999999994,13,0.04594,0.0002,0.0,0.1494,8
Distrito Montecristo,mine,Mine (active),Active,Antofagasta,None,-24.96799999999996,-70.39299999999997,3,0.0106,0.06817,1e-05,0.17627,11
Distrito Relincho,mine,Mine (idle),Idle,Atacama,None,-27.249999999999943,-70.61999999999995,7,0.02473,0.0309,0.0,0.17123,11
Distrito San Juan,mine,Prospect/Project,Prospect/Project,Atacama,None,-28.720999999999947,-71.21199999999999,3,0.0106,0.0,0.0,0.16751,2
Distrito Sierra Overa,mine,Mine (idle),Idle,Antofagasta,None,-25.77472199999994,-69.90749999999997,7,0.02473,0.0,0.00014,0.16988,11
Distrito Tambillos,mine,Mine (idle),Idle,Coquimbo,None,-30.196999999999946,-71.20899999999995,3,0.0106,0.0,0.0,0.15107,2
Distrito Tocopilla,mine,Mine (idle),Idle,Antofagasta,None,-22.06699999999995,-70.16699999999997,10,0.03534,0.00203,0.0,0.12734,8
Distrito Tres Puntas-Chimberos,mine,Mine (idle),Idle,Atacama,None,-26.892999999999972,-69.95899999999995,2,0.00707,0.0,0.0,0.1591,11
Domeyko,mine,Prospect/Project,Prospect/Project,Atacama,None,-28.99099999999993,-70.87999999999994,4,0.01413,0.0,0.0,0.17042,2
Dominga,mine,Prospect/Project,Prospect/Project,Coquimbo,None,-29.37999999999994,-71.18699999999995,10,0.03534,0.09508,0.0,0.17541,5
Don Jaime,mine,Mine (active),Active,Valparaíso,None,-32.537999999999954,-71.00399999999996,6,0.0212,0.0,0.0,0.12512,10
Doña Elba,mine,Mine (active),Active,Antofagasta,None,-25.611999999999966,-70.39699999999993,5,0.01767,0.0,2e-05,0.1657,11
El Abra,mine,Mine (active),Active,Antofagasta,Sociedad Contractual Minera El Abra ,-21.923999999999978,-68.83399999999995,15,0.053,0.02125,0.0,0.12963,8
El Algarrobo,mine,Mine (active),Active,Atacama,Compañía Minera del Pacífico S.A. (CMP),-28.798610999999937,-70.99249999999995,6,0.0212,0.0,0.0,0.13365,5
El Bronce,mine,Mine (idle),Idle,Valparaíso,None,-32.18333299999995,-70.93333299999995,9,0.0318,0.0003,0.0,0.12659,10
El Espino,mine,Mine (active),Active,Coquimbo,None,-31.372999999999934,-71.09799999999996,5,0.01767,0.05877,0.0,0.14655,10
El Hueso,mine,Mine (idle),Idle,Atacama,None,-26.466666999999973,-69.38333299999994,2,0.00707,0.0,0.0,0.1591,11
El Laco,mine,Prospect/Project,Prospect/Project,Antofagasta,None,-23.82666699999993,-67.47666699999996,1,0.00353,0.0,0.0,0.00353,3
El Loa,mine,Prospect/Project,Prospect/Project,Antofagasta,None,-21.256999999999948,-68.58299999999997,7,0.02473,0.00541,0.0,0.126,6
El Peñón,mine,Mine (active),Active,Antofagasta,Minera Meridian Ltda. ,-24.39416699999998,-69.49305599999997,3,0.0106,0.0,0.0,0.17205,12
El Sauce,mine,Mine (idle),Idle,Valparaíso,None,-32.87399999999997,-70.89299999999997,7,0.02473,0.0,0.0,0.12541,10
El Soldado,mine,Mine (active),Active,Valparaíso,Anglo American Sur S.A. ,-32.611999999999966,-71.12799999999999,6,0.0212,0.0,0.0,0.12512,10
El Teniente,mine,Mine (active),Active,Libertador General Bernardo O'Higgins,Corporación Nacional del Cobre (CODELCO),-34.091999999999985,-70.33799999999997,6,0.0212,0.0004,0.0,0.10183,10
El Toqui,mine,Mine (active),Active,Aysén del General Carlos Ibáñez del Campo,Sociedad Contractual Minera El Toqui Ltda. ,-45.01699999999994,-71.89999999999998,1,0.00353,0.0,0.0,0.00471,4
Encierro,mine,Prospect/Project,Prospect/Project,Atacama,None,-29.063999999999965,-69.92699999999996,3,0.0106,0.0,0.0,0.16751,2
Escalones,mine,Prospect/Project,Prospect/Project,Metropolitana de Santiago,None,-34.12099999999998,-69.96499999999997,7,0.02473,0.01464,0.0,0.10251,10
Escondida,mine,Mine (active),Active,Antofagasta,Minera Escondida Ltda.,-24.274999999999977,-69.05799999999994,10,0.03534,0.00236,6e-05,0.14898,13
Exploradora,mine,Prospect/Project,Prospect/Project,Antofagasta,None,-25.805999999999983,-69.23699999999997,7,0.02473,0.01624,2e-05,0.16988,11
Faride,mine,Mine (idle),Idle,Antofagasta,None,-22.809999999999945,-69.39999999999998,1,0.00353,0.0,0.0,0.12118,8
Fenix,mine,Prospect/Project,Prospect/Project,Atacama,None,-27.010999999999967,-69.20299999999997,2,0.00707,0.00529,0.0,0.1591,11
Florencia,mine,Mine (idle),Idle,Antofagasta,None,-23.41999999999996,-69.54999999999995,4,0.01413,0.00053,0.0,0.02208,9
Franke,mine,Mine (active),Active,Antofagasta,Sociedad Contractual Minera Franke ,-25.82899999999995,-69.86399999999998,5,0.01767,0.0,0.00083,0.1657,11
Frontera,mine,Prospect/Project,Prospect/Project,Coquimbo,None,-31.728999999999928,-70.47799999999995,7,0.02473,0.00088,0.0,0.12585,10
Gabriela Mistral,mine,Mine (active),Active,Antofagasta,Minera Gaby S.A. ,-23.41799999999995,-68.81099999999998,14,0.04947,0.0012,1e-05,0.15107,8
Genoveva,mine,Prospect/Project,Prospect/Project,Antofagasta,None,-22.408999999999935,-68.96399999999994,13,0.04594,0.0,0.0,0.12779,8
Guanaco,mine,Mine (active),Active,Antofagasta,None,-25.108888999999976,-69.55694399999999,3,0.0106,0.0,0.0,0.17205,12
Inca de Oro,mine,Mine (active),Active,Atacama,None,-26.837999999999965,-69.95399999999995,7,0.02473,0.0,1e-05,0.18441,11
Inesperada,mine,Prospect/Project,Prospect/Project,Antofagasta,None,-25.146999999999935,-69.60299999999995,3,0.0106,0.0,0.0,0.17205,12
Iván Zar,mine,Mine (idle),Idle,Antofagasta,None,-23.347999999999956,-70.27199999999993,9,0.0318,0.0,0.0,0.14715,8
La Coipa,mine,Mine (active),Active,Atacama,Compañía Minera Mantos de Oro ,-26.83499999999998,-69.25249999999994,2,0.00707,0.0,0.0,0.1591,11
La Esperanza,mine,Prospect/Project,Prospect/Project,Los Lagos,None,-43.83972199999994,-71.82444399999997,1,0.00353,0.0,0.0,0.00471,4
La Fortuna,mine,Prospect/Project,Prospect/Project,Atacama,None,-28.633999999999958,-69.88399999999996,6,0.0212,0.01629,0.0,0.17123,11
La Golondrina,mine,Mine (idle),Idle,Metropolitana de Santiago,None,-33.83099999999996,-70.19199999999995,4,0.01413,0.00018,0.0,0.10183,10
La Higuera,mine,Prospect/Project,Prospect/Project,Coquimbo,None,-29.522999999999968,-71.20799999999997,4,0.01413,0.00165,0.0,0.17042,2
La Huifa,mine,Prospect/Project,Prospect/Project,Libertador General Bernardo O'Higgins,None,-34.06299999999993,-70.33299999999997,5,0.01767,0.0,0.0,0.10174,10
La Pepa,mine,Prospect/Project,Prospect/Project,Atacama,None,-27.285999999999945,-69.23899999999998,2,0.00707,0.0,0.0,0.1591,11
La Planada,mine,Prospect/Project,Prospect/Project,Tarapacá,None,-20.17199999999997,-69.06399999999996,5,0.01767,0.0,0.0,0.10232,6
La Suerte,mine,Mine (idle),Idle,Atacama,None,-26.339999999999975,-70.40999999999997,1,0.00353,0.0,0.0,0.14174,5
Lagunas,mine,Mine (idle),Idle,Tarapacá,ACF Minera S.A.,-20.95999999999998,-69.66999999999996,3,0.0106,0.0,0.55999,0.0225,0
Lana Corina,mine,Prospect/Project,Prospect/Project,Coquimbo,None,-31.124999999999943,-71.11599999999999,4,0.01413,0.0,0.0,0.15633,10
Las Luces,mine,Mine (active),Active,Antofagasta,Groupo Cenizas,-25.69799999999998,-70.49599999999998,5,0.01767,0.0,2e-05,0.1657,11
Las Palmas,mine,Mine (idle),Idle,Maule,None,-35.17249999999996,-71.76666699999998,1,0.00353,0.0,0.0,0.08379,10
Lavadero El Toro,mine,Mine (idle),Idle,Valparaíso,None,-33.289999999999964,-71.48599999999993,2,0.00707,0.0002,0.0,0.10022,10
Lila,mine,Prospect/Project,Prospect/Project,Antofagasta,None,-23.82699999999994,-68.95099999999996,11,0.03887,0.0001,1e-05,0.14919,13
Llahuín,mine,Prospect/Project,Prospect/Project,Coquimbo,None,-31.333999999999946,-71.02099999999996,5,0.01767,3e-05,0.0,0.14655,10
Lo Aguirre,mine,Mine (idle),Idle,Metropolitana de Santiago,None,-33.43999999999994,-70.91999999999996,7,0.02473,0.0,0.0,0.1171,10
Lobo-Marte,mine,Prospect/Project,Prospect/Project,Atacama,None,-27.16666699999996,-69.03333299999997,1,0.00353,0.0,0.0,0.14576,11
Loica,mine,Prospect/Project,Prospect/Project,Coquimbo,None,-31.063999999999965,-70.66099999999994,4,0.01413,0.00301,0.0,0.15633,10
Lomas Bayas,mine,Mine (active),Active,Antofagasta,Compañía Minera Xstrata Lomas Bayas ,-23.430999999999983,-69.50699999999995,16,0.05654,0.00744,2e-05,0.1515,14
Los Bronces,mine,Mine (active),Active,Metropolitana de Santiago,Anglo American Sur S.A. ,-33.150999999999954,-70.28499999999997,10,0.03534,0.0,0.0,0.11748,10
Los Bronces Subterráneo,mine,Prospect/Project,Prospect/Project,Metropolitana de Santiago,Anglo American Sur S.A. ,-33.19999999999993,-70.23999999999995,10,0.03534,0.00093,0.0,0.11748,10
Los Bronces Sur,mine,Prospect/Project,Prospect/Project,Valparaíso,Anglo American Sur S.A. ,-33.12999999999994,-70.25999999999993,11,0.03887,0.02724,0.0,0.12585,10
Los Colorados,mine,Mine (active),Active,Atacama,Compañía Minera del Pacífico S.A. (CMP),-28.312299999999937,-70.81779999999998,5,0.01767,0.0,0.0,0.161,5
Los Helados,mine,Prospect/Project,Prospect/Project,Atacama,None,-28.34099999999995,-69.58599999999996,6,0.0212,0.02579,0.0,0.17123,11
Los Pelambres,mine,Mine (active),Active,Coquimbo,Antofagasta plc,-31.714999999999975,-70.49899999999997,7,0.02473,0.01241,0.0,0.12585,10
Los Sulfatos,mine,Prospect/Project,Prospect/Project,Metropolitana de Santiago,None,-33.198999999999955,-70.25599999999997,9,0.0318,0.0,0.0,0.11735,10
Los Volcanes,mine,Prospect/Project,Prospect/Project,Antofagasta,None,-21.987999999999943,-68.76099999999997,12,0.0424,0.00033,0.0,0.12824,8
Mantos Blancos,mine,Mine (active),Active,Antofagasta,Empresa Minera de Mantos Blancos S.A. ,-23.42199999999997,-70.07199999999995,15,0.053,0.02288,0.0,0.1584,8
Mantos de Catemu,mine,Mine (active),Active,Valparaíso,Compania Mantos de la Luna,-32.67599999999993,-70.89699999999993,6,0.0212,0.0,0.0,0.12512,10
Mantos de Punitaqui,mine,Mine (active),Active,Coquimbo,Compania Mantos de la Luna,-30.860999999999933,-71.22699999999998,4,0.01413,0.04185,0.0,0.15633,2
Mantos de la Luna,mine,Mine (active),Active,Antofagasta,Compania Mantos de la Luna,-22.38299999999998,-70.21799999999996,12,0.0424,0.00175,0.0,0.12764,8
Mantos del Pacífico,mine,Mine (active),Active,Antofagasta,Compania Mantos de la Luna,-22.53099999999995,-70.22099999999995,13,0.04594,0.00747,0.0,0.1494,8
Mantoverde,mine,Mine (active),Active,Atacama,Empresa Minera de Mantos Blancos S.A. ,-26.55899999999997,-70.31499999999994,11,0.03887,0.00516,5e-05,0.19197,11
Maricunga,mine,Mine (idle),Idle,Atacama,Compañía Minera Maricunga ,-27.549999999999955,-69.29999999999995,1,0.00353,0.0,0.0,0.14576,11
Marimaca,mine,Prospect/Project,Prospect/Project,Antofagasta,None,-23.18799999999993,-70.22199999999998,11,0.03887,0.00043,0.0,0.14756,8
María Elena,mine,Mine (active),Active,Antofagasta,None,-22.378999999999962,-69.74599999999998,3,0.0106,0.0,0.0,0.01472,9
Mercedita,mine,Mine (idle),Idle,Metropolitana de Santiago,None,-33.50399999999996,-70.18499999999995,7,0.02473,0.0011,0.0,0.1171,10
Ministro Hales,mine,Mine (active),Active,Antofagasta,CODELCO,-22.378999999999962,-68.91299999999995,13,0.04594,0.0,0.0,0.12779,8
Mirador,mine,Prospect/Project,Prospect/Project,Antofagasta,None,-22.950999999999965,-69.02399999999994,19,0.06714,0.08395,0.0,0.15278,8
Mocha,mine,Prospect/Project,Prospect/Project,Tarapacá,None,-19.809999999999945,-69.28099999999995,4,0.01413,0.0,0.0,0.10222,6
Mollacas,mine,Prospect/Project,Prospect/Project,Coquimbo,None,-30.738999999999976,-70.66799999999995,3,0.0106,0.0,0.0,0.15498,2
Negreiros,mine,Mine (active),Active,Tarapacá,None,-19.872999999999934,-69.87299999999993,3,0.0106,0.0,0.00842,0.0225,0
Novicio,mine,Prospect/Project,Prospect/Project,Valparaíso,None,-32.54899999999998,-70.25299999999999,6,0.0212,0.0,0.0,0.12512,10
Nueva Victoria,mine,Mine (active),Active,Tarapacá,SQM Químicos S.A. ,-20.951,-69.67,3,0.0106,0.0,0.43029,0.0225,0
Nuevo Cobre,mine,Prospect/Project,Prospect/Project,Atacama,None,-26.498999999999967,-69.36899999999997,7,0.02473,0.08631,2e-05,0.18441,11
