NODE,NODE_TYPE,FACILITY_TYPE,STATUS,REGION,OPERATOR,LAT,LON,DEGREE,DEGREE_CENTRALITY,BETWEENNESS_CENTRALITY,EIGENVECTOR_CENTRALITY,CLOSENESS_CENTRALITY,COMMUNITY
Spence,mine,Mine (active),Active,Antofagasta,Minera Spence S.A. ,-22.785999999999945,-69.24399999999997,14,0.04947,0.0,0.0,0.12794,8
Talcuna,mine,Mine (active),Active,Coquimbo,None,-29.888999999999953,-70.88199999999995,4,0.01413,0.0,0.0,0.17042,2
Tofo,mine,Mine (active),Active,Coquimbo,Compañía Minera del Pacífico S.A. (CMP),-29.448999999999955,-71.23569999999995,6,0.0212,0.00045,0.0,0.13365,5
Toki,mine,Prospect/Project,Prospect/Project,Antofagasta,None,-22.41599999999994,-68.94799999999998,13,0.04594,0.0,0.0,0.12779,8
Tovaku,mine,Prospect/Project,Prospect/Project,Antofagasta,None,-21.94599999999997,-69.78299999999996,12,0.0424,0.00286,0.0,0.12824,8
Valeriano,mine,Prospect/Project,Prospect/Project,Atacama,None,-29.113999999999976,-69.87099999999998,3,0.0106,0.02328,0.0,0.16751,2
Vaquillas,mine,Mine (idle),Idle,Antofagasta,None,-25.369999999999948,-69.30638899999997,3,0.0106,0.1045,0.0,0.17205,12
Vizcachitas,mine,Prospect/Project,Prospect/Project,Valparaíso,None,-32.40599999999995,-70.42499999999995,10,0.03534,0.00075,0.0,0.12674,10
Volcán,mine,Prospect/Project,Prospect/Project,Atacama,None,-27.378999999999962,-69.16399999999999,1,0.00353,0.0,0.0,0.14576,11
West Wall,mine,Prospect/Project,Prospect/Project,Valparaíso,None,-32.567999999999984,-70.33299999999997,8,0.02827,5e-05,0.0,0.1257,10
Yumbes,mine,Mine (idle),Idle,Antofagasta,None,-24.829999999999927,-70.32999999999998,1,0.00353,0.0,0.0,0.01472,9
Zaldivar,mine,Mine (active),Active,Antofagasta,None,-24.20799999999997,-69.06699999999995,10,0.03534,0.0,8e-05,0.14898,13
Plant in Aguas Blancas,plant,Processing Plant,Active,,Atacama Minerals Chile Minera ,-24.1357,-69.8671,6,0.0212,0.00065,0.0,0.02356,9
