Spec,N,R2,R2_adj
Original (54 ctry),1173,0.46917173469648754,0.4650638633398826
"Adj. rent, same sample (54 ctry)",1173,0.4502994375502649,0.44604552090190075
"Adj. rent + re-selected (30 ctry, ≥3%)",750,0.3845722206100942,0.3770872881580548
"Adj. rent + re-selected (39 ctry, ≥2%)",973,0.45279810287998723,0.44768406645830494
"Adj. rent + re-selected (47 ctry, ≥1%)",1173,0.4502994375502649,0.44604552090190075
All non-HIC countries (47 ctry),1173,0.4502994375502649,0.44604552090190075
