Feature,LASSO,Ridge,Elastic Net,LASSO_Imp,Ridge_Imp,Elastic Net_Imp,VIF,LASSO_Selected,Elastic Net_Selected
Domestic Credit,0.0627574687325662,0.06577887310691666,0.06900714350761994,0.12258568908672672,0.1356099781582832,0.14108033496549877,2.6983960039901476,1,1
Electricity,0.01513167896487541,0.06869963531949026,0.01980778092886371,0.029557076319520485,0.1416769297539594,0.04049563894872327,5.403833703199916,1,1
Human Capital,0.008728310154914364,0.0330787161954891,0.01573498546660868,0.01704922037984657,0.06768583551544957,0.032169090147330624,3.078473449471569,1,1
HC × Production,0.00787219321070411,0.026198190675723883,0.0152451664845054,0.015376946343555221,0.05339373905462599,0.03116768909585891,1.5493526724847224,1,1
Urban Population,0.00637545806994588,0.04232251833498562,0.010100146575166597,0.012453337212791226,0.0868868851246602,0.020649051527075513,2.0098847442165058,1,1
Depreciation,-0.0,-0.02782363801749337,-0.0030158261422949307,0.0,0.05677008729050194,0.006165648086936027,1.2753591916778568,0,1
Savings,-0.0,-0.026259055088907798,-0.0,0.0,0.053520165453562675,0.0,2.454383798006025,0,0
Inflation,-0.0,-0.024177936891365524,-0.0,0.0,0.049197306401560434,0.0,1.2255880952545513,0,0
Interest Rate,0.0,-0.001149472677763322,0.0,0.0,0.001363019479729909,0.0,1.3651603652456812,0,0
IMF Credit,-0.0,-0.03346383237647532,-0.0,0.0,0.068485791505943,0.0,2.376072989807944,0,0
Prod Value p.c.,-0.0,-0.06680592147492004,-0.0,0.0,0.13774334345185987,0.0,5.588583459900114,0,0
Gov Revenue,-0.0,0.0004932855088671553,-0.0,0.0,0.0,0.0,2.5745870397584167,0,0
Landlocked,-0.0,0.008202544558776819,0.0,0.0,0.016013525953253897,0.0,1.5614921120660072,0,0
Investment Share,0.0,0.010258515802855913,-0.0,0.0,0.020284150232845344,0.0,1.943104003109281,0,0
Capital Formation,0.0,0.008163552922904592,0.0,0.0,0.015932533270434784,0.0,1.4214914103468343,0,0
Trade,-0.0,-0.007113666290137051,-0.0,0.0,0.013751728768607285,0.0,2.22420945159539,0,0
Political Stability,0.0,0.04118963578641383,0.0,0.0,0.08453368308849885,0.0,2.15524590700587,0,0
Rule of Law,0.0,-0.02269742714252355,0.0,0.0,0.04612201977107626,0.0,1.957922755082424,0,0
RuleLaw × Production,0.0,0.003976957866845827,0.0,0.0,0.007236217820152035,0.0,1.3453040759502914,0,0
