Country Code,Country Name,Year,Last_Known_ECI,Ensemble,LASSO,Ridge,Elastic Net,Random Forest,XGBoost,LASSO (Δ),Ridge (Δ),Elastic Net (Δ),Random Forest (Δ),XGBoost (Δ)
AGO,Angola,2020,-1.204,-1.1930515703308218,-1.1499846262297237,-1.2775742469529217,-1.16060223299751,-1.1349545667013197,-1.255548,-1.1742303410338684,-1.2357529474462756,-1.1763808349933993,-1.172131154221876,-1.1933568
AGO,Angola,2021,-1.204,-1.19676758809255,-1.113647385573349,-1.3477680054911896,-1.1339640797045047,-1.1265137297214978,-1.3036116,-1.1519832126457412,-1.2735462508861695,-1.155963966491279,-1.1640807533643436,-1.1965969
AGO,Angola,2022,-1.204,-1.2169895443863934,-1.0909333133248769,-1.4154765624199372,-1.119699113012312,-1.1543863284854279,-1.3557382,-1.1362727843205516,-1.3163644557298428,-1.141796580350441,-1.2141695876231322,-1.2250586
AGO,Angola,2023,-1.204,-1.2481333328715678,-1.078717585753577,-1.4813583680847593,-1.1145691639731887,-1.1747746296213935,-1.3778058,-1.1262424190100266,-1.3633635862656388,-1.133051928678766,-1.339473366406392,-1.2919765
AGO,Angola,2024,-1.204,-1.296862952685161,-1.0745921613458718,-1.5458976883713216,-1.1161837362049205,-1.1778897520326197,-1.5235766,-1.1211477422793545,-1.413842188180391,-1.1290126500873587,-1.45559724635026,-1.4108897
AGO,Angola,2025,-1.204,-1.3474913649613764,-1.0767013629721724,-1.6094506829347728,-1.1227781061722018,-1.1778897520326197,-1.679852,-1.1203419302486677,-1.4672172611025678,-1.1290562968298354,-1.5640121318326443,-1.5276141
AGO,Angola,2026,-1.204,-1.3893346115837502,-1.0836151747503349,-1.672279294033923,-1.1330495113277914,-1.183629254213283,-1.7173666,-1.1232629255554345,-1.5230042553946137,-1.1326427768368763,-1.6724270173150289,-1.6520693
AGO,Angola,2027,-1.204,-1.4241068262323469,-1.094231602486122,-1.7345761705158793,-1.1460362201480048,-1.1844645894219668,-1.7299535,-1.129422328669877,-1.5808004468684844,-1.1393034572874343,-1.7549115837512612,-1.7473683
AGO,Angola,2028,-1.204,-1.4523996247222182,-1.1077014309929791,-1.7964829984852826,-1.1610282586428702,-1.1844645894219668,-1.726155,-1.1383957450077615,-1.6402711189976038,-1.148631709879711,-1.826919086971375,-1.7939463
AGO,Angola,2029,-1.204,-1.4789850342578403,-1.1233702408221946,-1.8581039828338297,-1.177501506458607,-1.185390622080552,-1.7243291,-1.1498143970577568,-1.70113807852592,-1.1602747070514918,-1.8759960092937686,-1.8339317
AGO,Angola,2030,-1.204,-1.5024865169693233,-1.1407337253838346,-1.9195157624068124,-1.1950690449909738,-1.1888839766152928,-1.7139202,-1.163357835742716,-1.7631701104354456,-1.1739263036375058,-1.9198650257379157,-1.8464231
ARE,United Arab Emirates,2020,0.333,0.29040765442998157,0.22413363016230547,0.3377339787254129,0.24517306455577326,0.2530398703271715,0.31876713,0.27412028446784187,0.3402460885595165,0.27837036131014675,0.3236426818906529,0.30884945
ARE,United Arab Emirates,2021,0.333,0.26225095886728883,0.1377601828157239,0.34625873612051883,0.1810893507673127,0.22014485534449524,0.30849135,0.22106190830263098,0.3483883878755003,0.22947917159678216,0.3229808025363255,0.30685484
ARE,United Arab Emirates,2022,0.333,0.24389514301619936,0.06872776640144418,0.3577082044411871,0.1345945023018028,0.21239420689866498,0.31925547,0.17306198274944806,0.357373726921996,0.18557585106910998,0.3231572465587451,0.30710247
ARE,United Arab Emirates,2023,0.333,0.22933542206154184,0.013066246980370066,0.37144542288093574,0.10114522114549773,0.21370237356533167,0.31943595,0.1294575959170638,0.3671579136150646,0.14600912868509358,0.3224223147723958,0.30951205
ARE,United Arab Emirates,2024,0.333,0.2174865223689985,-0.032283827168179124,0.3870019303156279,0.0773875323698352,0.2150387178043075,0.31512305,0.08967271077163856,0.377704218547143,0.11021390267221443,0.31992297660981955,0.315084
ARE,United Arab Emirates,2025,0.333,0.20942182861125894,-0.06968012079173225,0.40403319090790213,0.06084544875421216,0.2150387178043075,0.31991675,0.05320678015336913,0.3889821147717807,0.07769983952461787,0.3151864118871645,0.32898915
ARE,United Arab Emirates,2026,0.333,0.20298920720427813,-0.10093948984005519,0.422285811287188,0.049691135312629586,0.2150387178043075,0.31991675,0.019624853799566494,0.40096623039976387,0.04804148145990779,0.31128376111596695,0.34398282
ARE,United Arab Emirates,2027,0.333,0.1975429207966915,-0.1274620339437933,0.4415734299976185,0.0425752390644899,0.21503871780430747,0.31991675,-0.01145101815384933,0.4136354780693633,0.020869662752226105,0.30470486762664395,0.3560281
ARE,United Arab Emirates,2028,0.333,0.19314411883272511,-0.1503266933326245,0.4617589850783591,0.03850163427623754,0.2150387178043075,0.31585515,-0.040349255096430905,0.42697233142213786,-0.004135938234996594,0.30227700444035127,0.36584926
ARE,United Arab Emirates,2029,0.333,0.19007130669629008,-0.17036491742181759,0.4827416725245234,0.03673495630176371,0.2150387178043075,0.31585515,-0.0673552369308715,0.44096222375959976,-0.027253261580341637,0.2998491412540586,0.37450463
ARE,United Arab Emirates,2030,0.333,0.1875420208805856,-0.1882174350591208,0.5044473547173344,0.036732340777134165,0.2150387178043075,0.31326,-0.09271694441425186,0.45559304824817337,-0.0487234732821759,0.296846615912206,0.38316
AZE,Azerbaijan,2020,-0.827,-0.8276310878245546,-0.8103746648134194,-0.8053044092824024,-0.7931068591818298,-0.870587619221663,-0.8249272,-0.8238654295051617,-0.8262803696134234,-0.8212330471025648,-0.85555047581338,-0.8450808
AZE,Azerbaijan,2021,-0.827,-0.8267952801646654,-0.8027139044979674,-0.7959032757105574,-0.7738114430573428,-0.8946229976526416,-0.7804227,-0.8245172129578501,-0.8311000672463037,-0.8195879748073791,-0.8806448040048802,-0.86462843
AZE,Azerbaijan,2022,-0.827,-0.8339053751090951,-0.8019623124642636,-0.7955609380059345,-0.7652997821240773,-0.900285262852114,-0.7924182,-0.8284591472222175,-0.8405347074912626,-0.8215204644069382,-0.911999143993321,-0.8810138
AZE,Azerbaijan,2023,-0.827,-0.8418487869385463,-0.8065359579626037,-0.801897686923567,-0.7647563097934323,-0.900285262852114,-0.7907304,-0.8352600567735264,-0.8538160050504205,-0.8265582156658994,-0.9425834973115926,-0.89606446
AZE,Azerbaijan,2024,-0.827,-0.8454744331433067,-0.8152142374234456,-0.8131633342938355,-0.7701025051937204,-0.9010369371378283,-0.76977456,-0.8445452718047933,-0.8703054142541611,-0.8342914181014899,-0.9585776648915791,-0.877733
AZE,Azerbaijan,2025,-0.827,-0.8649142776997134,-0.8270565332886939,-0.8280706814240618,-0.7798039528252226,-0.9100690345166927,-0.8058087,-0.8559892231308225,-0.8894722200500013,-0.8443644830029212,-1.0186683361900528,-0.8898396
AZE,Azerbaijan,2026,-0.827,-0.8862747208318954,-0.8413379899109665,-0.8456730412647083,-0.7927279092270249,-0.9125888659850178,-0.83479863,-0.8693090075329044,-0.9108753287459254,-0.8564688693822115,-1.081713114280907,-0.91725445
AZE,Azerbaijan,2027,-0.827,-0.9140862179169765,-0.8575000213856949,-0.8652741604907365,-0.8080381551687562,-0.9144926348238858,-0.89413303,-0.8842587963675568,-0.9341481337340634,-0.8703368591190248,-1.1678085438506163,-0.94487184
AZE,Azerbaijan,2028,-0.827,-0.9511052061897715,-0.8751121720574537,-0.8863619705227104,-0.8251173729387103,-0.9285819306232913,-0.94564694,-0.9006249769292333,-0.9589859369256271,-0.8857361557122546,-1.278617672039112,-1.0262669
AZE,Azerbaijan,2029,-0.827,-0.9945263499654174,-0.8938427255872301,-0.9085598638521044,-0.8435098433386844,-0.9277530860854764,-1.0366358,-0.9182219305393112,-0.9851354943165035,-0.9024651976674507,-1.3651249046999085,-1.1640147
AZE,Azerbaijan,2030,-0.827,-1.0364550426463561,-0.913436055807308,-0.9315908595799263,-0.8628791431887302,-0.9296225416410319,-1.1228359,-0.936888363918135,-1.0123863269835256,-0.920349091967062,-1.4497892958955412,-1.2847729
BFA,Burkina Faso,2020,-0.884,-0.898893851389276,-0.8658967283735136,-1.017671958385327,-0.8830327426213659,-0.8686427631710408,-0.90218747,-0.8682175322101773,-0.9449402088044492,-0.8708875578289212,-0.8816722211025493,-0.88578933
BFA,Burkina Faso,2021,-0.884,-0.903221980199692,-0.850004463941492,-1.1244563232583824,-0.8805661241100471,-0.8686427631710407,-0.87927663,-0.853187793449226,-0.999422577152806,-0.8583001615089428,-0.8691639055169829,-0.84919906
BFA,Burkina Faso,2022,-0.884,-0.9083111535641872,-0.8358120833889627,-1.2113943149048403,-0.8769609106117017,-0.8686799140975857,-0.8776661,-0.8388121382894483,-1.0484883920432222,-0.8461638347185416,-0.8582348817268225,-0.82089895
BFA,Burkina Faso,2023,-0.884,-0.9113861760777114,-0.8229257065271308,-1.2836644905243817,-0.8724834286151381,-0.866821356405278,-0.87910664,-0.8250048488242494,-1.0930030993007482,-0.8344143888976269,-0.8440263542954766,-0.79241145
BFA,Burkina Faso,2024,-0.884,-0.9136482266928508,-0.8110418026842767,-1.345075487481319,-0.8673302869194212,-0.8651847793853651,-0.8818655,-0.811691440511543,-1.1336859977137366,-0.8229961282348673,-0.8358038181152598,-0.761807
BFA,Burkina Faso,2025,-0.884,-0.9177480518891932,-0.7999264660400635,-1.3984284177482553,-0.8616466270012497,-0.8651847793853651,-0.8950547,-0.7988071900370274,-1.1711349187488707,-0.8118607259973462,-0.8294888581137462,-0.74594784
BFA,Burkina Faso,2026,-0.884,-0.9244402108725316,-0.7893994448509767,-1.4457833956213375,-0.8555395958874026,-0.8651847793853651,-0.9341185,-0.7862958561015438,-1.205846738625525,-0.8009662495323446,-0.8271143283114284,-0.7341532
BFA,Burkina Faso,2027,-0.884,-0.9286223650040331,-0.7793218341039087,-1.4886555590010486,-0.8490882921622996,-0.8651847793853651,-0.93622786,-0.7741085678497415,-1.2382344265350824,-0.7902763142705388,-0.834279852055069,-0.73084617
BFA,Burkina Faso,2028,-0.884,-0.9340516150180296,-0.7695865912688381,-1.5281592357971436,-0.8423511083567032,-0.8651847793853651,-0.95524764,-0.7622028589705915,-1.2686412139432115,-0.7797593496625103,-0.8414453757987097,-0.727938
BFA,Burkina Faso,2029,-0.884,-0.9398821274810185,-0.7601112275789669,-1.5651139729895134,-0.8353711512806001,-0.8640943641574645,-0.97912526,-0.7505418283793996,-1.2973523711351613,-0.7693879622387447,-0.8505839012007252,-0.72713923
BFA,Burkina Faso,2030,-0.884,-0.9454216593595912,-0.7508321758087583,-1.6001225170824567,-0.8281802434469553,-0.8640943641574645,-1.0043916,-0.7390934108927623,-1.3246049950667353,-0.7591383829427683,-0.8574184804820395,-0.7263405
BHR,Bahrain,2020,0.492,0.3851778017494309,0.32180723987777704,0.3902007115515539,0.31310037313879424,0.3197807992309101,0.3501985,0.397690684828383,0.41603794303627295,0.39918527897632433,0.48544456678936704,0.4583319
BHR,Bahrain,2021,0.492,0.31842119844592587,0.18851348466284323,0.32191787262483895,0.1808046407601318,0.3008740618670836,0.30300036,0.31418029025245336,0.3555922962272553,0.31731492214562895,0.47735024326964,0.4246638
BHR,Bahrain,2022,0.492,0.26842913777305977,0.08365905677344354,0.27836287158127615,0.08294783920347015,0.30006120045728674,0.28496468,0.24005361358973354,0.30809955055628147,0.24494582916287738,0.46872831308324625,0.39246842
BHR,Bahrain,2023,0.492,0.21934161947979885,0.0007247869495622394,0.25307200948379915,0.010549491511125941,0.29853974762709806,0.18466265,0.1740809150116251,0.27142909440533347,0.1808258353988058,0.4601063828968525,0.35942528
BHR,Bahrain,2024,0.492,0.18431267849639718,-0.06531310584891958,0.24129147473312795,-0.04302001245285869,0.2994498758322263,0.1511416,0.11519361256533413,0.24381011057138158,0.12386844935324083,0.45032265100530766,0.32638213
BHR,Bahrain,2025,0.492,0.15200567255996922,-0.11832603144930132,0.23952501465080767,-0.08265481481054449,0.29535901989367863,0.092763625,0.06246316237248738,0.22377081811601962,0.07313093254566566,0.4399746037067861,0.2940504
BHR,Bahrain,2026,0.492,0.1225288711598588,-0.16129736311789855,0.24520126465153258,-0.11196789228600923,0.29235427479728526,0.02878527,0.01508270658581326,0.2100879743878039,0.027795279641933353,0.4213598039945257,0.2578874
BHR,Bahrain,2027,0.492,0.10340652745799994,-0.1965261382708493,0.25642908114853913,-0.13362643362922633,0.29116512369371994,0.027231177,-0.027648873611866964,0.20174490459141387,-0.012848284911326946,0.4023732761987779,0.22577144
BHR,Bahrain,2028,0.492,0.08651189251594357,-0.2257840336542315,0.27181759795109184,-0.14959942352270805,0.2738037037711429,0.03641422,-0.06634081514805477,0.19789661886468246,-0.049415626702190275,0.3826711917953132,0.19365549
BHR,Bahrain,2029,0.492,0.07094806254595776,-0.25043633304749163,0.29034388439751513,-0.16134041514299935,0.261634550340345,0.029082103,-0.10152251421742796,0.1978408200025926,-0.08244112652297003,0.3670042645739535,0.15931539
BHR,Bahrain,2030,0.492,0.05795102710766451,-0.2715351470021432,0.3112556128048404,-0.16992245738469502,0.261634550340345,0.027741788,-0.1336539894404741,0.20099380708012973,-0.11238846157324167,0.3443989560235028,0.12098561
BOL,Bolivia,2020,-0.964,-0.8778443672195388,-0.8326824965721445,-0.7978160412579124,-0.803906852252641,-0.9734349764028783,-0.82033837,-0.8874271861087749,-0.8687391037312597,-0.8855862566551497,-0.9600103270475757,-0.94850206
