Model,Train R²,Test R²,Train RMSE,Test RMSE,Train MAE,Test MAE,Overfit Gap
Random Forest,0.2271,0.1466,0.3031,0.2375,0.2008,0.162,0.0805
Elastic Net,0.1008,0.1053,0.3269,0.2432,0.2144,0.1689,-0.0044
LASSO,0.0986,0.1041,0.3273,0.2433,0.2146,0.1689,-0.0056
Ridge,0.1352,0.0952,0.3206,0.2445,0.213,0.1715,0.04
XGBoost,0.0669,0.0567,0.333,0.2497,0.2166,0.1653,0.0102
