n_obs,r2,coef__const,se__const,coef__log_HCI,se__log_HCI,coef__log_GFCF,se__log_GFCF,coef__Political stability — estimate,se__Political stability — estimate,coef__Rule of law index,se__Rule of law index,coef__log_Production_Value,se__log_Production_Value,coef__Forestry rents (% of GDP),se__Forestry rents (% of GDP),coef__Trade (% of GDP),se__Trade (% of GDP),coef__log_HCI_x_log_Production,se__log_HCI_x_log_Production,coef__log_GFCF_x_log_Production,se__log_GFCF_x_log_Production,coef__log_HCI_x_forestry_rents,se__log_HCI_x_forestry_rents,coef__log_GFCF_x_forestry_rents,se__log_GFCF_x_forestry_rents,coef__ECI_lag1,se__ECI_lag1,b
1201,0.7586642477039958,-3.6801646852363747,0.19438223055399534,2.281598011076862,0.13497145587614134,0.24998656339754197,0.032269068304207296,0.11579120945134269,0.03007591888766176,0.7361453019805503,0.08708102378914964,-0.03063005609471297,0.007442745381714795,-0.045216923778087975,0.01191497345994818,-0.0003794512756638505,0.0004523395187762088,0.014516719871619815,0.03692043343998413,0.056347868660983756,0.012140368853108534,-0.17194729940001577,0.04282125051517132,0.002584173859105164,0.007321421200883111,0.24900723547728276,0.018647981846338816,1
1439,0.6525888831996128,-2.5991348936567573,0.15895943585910513,1.9847230749193878,0.10724765895836127,0.027275755487206094,0.03650883728363669,0.16754320349095045,0.024283370937592526,0.24527074222384032,0.08566842662555711,-0.02956126317428709,0.0064591305015257,-0.08175068163586557,0.008980609538138926,0.0009204917374363364,0.0005120479163601479,0.08129150969297197,0.03573628772843838,0.03981841740852077,0.01157136099666525,-0.29299873723688036,0.03062440052845844,0.0566478832593734,0.009223653245217655,0.20872097600800027,0.01799967526907331,2
1165,0.7063818188337565,-3.273244137634397,0.1510988570841191,1.7276954112726426,0.1165874880759564,0.10945605298877277,0.03275268811627939,-0.007500486059548436,0.027684977530372516,0.8751684389772918,0.0927727223542655,0.014476405693002818,0.006769544577381421,0.009452660216057852,0.008027807499267814,0.0026585937899758164,0.0005052962517992067,0.2486143373139365,0.0353080541398517,-0.12489386290273323,0.017237073584899922,-0.009082341734479568,0.03607566563912999,-0.009452050855533859,0.010035703322164937,0.29306322244474053,0.02049130468330864,3
1329,0.5787158142763855,-2.5409002134599645,0.19981502403190116,1.565630315377825,0.13429268694852164,0.1315431786761327,0.032162490218147204,0.013777436782185477,0.028074381230195785,0.739197405441539,0.09440141928392297,-0.00708490052314811,0.005937634609489735,-0.06650600196727184,0.007303462098488336,-0.002280064375582363,0.0006229911117098004,0.061047569920005935,0.03219126787639097,0.06901384477978698,0.012492847874565033,-0.1176838928492302,0.022110391321652167,-0.012634624683544605,0.006084110197298897,0.12850921285742917,0.019500262252895067,4
1195,0.541239192841843,-2.7277319630020025,0.2359673410815739,1.1251166013968232,0.16177429306054344,0.07706620028770844,0.0552668824362613,0.025332873950461535,0.03409257544809349,1.6484566225689903,0.12090545819497292,-0.015443070706149037,0.007968135198864659,-0.00606910546729577,0.012033474034004654,0.004723623464681693,0.0006337706662352873,-0.008776199257009048,0.04391168816761216,-0.05996151905806904,0.025002570473274883,-0.020781960641754568,0.044238120665613674,0.0047471116020009335,0.013300260373916113,0.08409086402803838,0.023078589121077814,5
1291,0.7331201074107994,-1.797086509304626,0.16972399399017074,1.3139067543476894,0.10584161723226335,0.011925407913383574,0.024301580749554578,0.16906852582300455,0.020349737216968113,1.0015869465062703,0.059436794987869315,-0.006872059599659177,0.006714675308411501,-0.05933559526431127,0.009566284792088379,-0.003116320731385577,0.0004982326472106,0.007391485039747021,0.03441025875547667,0.013385609025060159,0.012640316403788932,-0.10581442997294734,0.026145057094010406,-0.0037139753669573872,0.009442047355413914,0.32865803570345037,0.017482931819826995,6
1240,0.7013008989042203,-3.678306476938987,0.19936258953444638,2.2076332595390835,0.12756128665187103,0.0869874308022171,0.04677651707439992,-0.07190851203609626,0.031187864533799372,1.2780203920854547,0.09266523236552571,0.0051826531869914386,0.007258727871456674,-0.11596720716171452,0.010869016857437798,0.00036900427251744983,0.0005469917422973172,-0.08875998208429499,0.03685861928555163,-0.06662323950783945,0.01781290527736777,-0.30511289523950197,0.03609658686788557,0.00491649747632545,0.012732792434091799,0.034068054189817634,0.01782867039836873,7
1418,0.749665835073448,-3.8670861436139665,0.19496006385686657,2.559005476733426,0.1449935608932426,0.0897934627087622,0.034784635621994145,0.0758553219715031,0.026934948147002643,0.8808473008012274,0.09964915568528605,0.009295678064293548,0.00613980492475266,-0.09716167097587149,0.011533454287478718,-0.0003075036597735281,0.0004754076831786801,0.1317997356775863,0.029511999020169398,-0.009681590963391544,0.011873751364858326,-0.327552905362012,0.04921231907765123,-0.0025218224884458297,0.00802508533714838,0.02372543239942354,0.014339978587483818,8
1258,0.7601404703027254,-3.0102320925954675,0.15799003726732566,2.292731484344561,0.11100873046492128,0.11855027884780944,0.02268258994819666,0.15748564659917583,0.022096467469267207,1.091233241375056,0.0665962718540294,-0.06538575594373473,0.006712679616069233,-0.09102945876819812,0.010151813882312857,-0.0036962282200587913,0.0005025046351078438,-0.05461778801731838,0.03347829117899061,0.03220431302371432,0.011984822174477749,-0.2691683605760221,0.039203106573619535,-0.0057874206731255255,0.006763256499481238,-0.022252098397520154,0.0162095193898815,9
1215,0.7483143082995016,-3.1056641154270435,0.18475742601626127,2.318249235049216,0.1224354911390584,-0.1216906029785814,0.03488922417618598,0.14342052637125552,0.03035593903873546,1.339972940312761,0.08492200410622949,-0.028731825718395075,0.00605594288165144,-0.07573860288091137,0.009776577672063125,-0.0008156366017627519,0.0005093594967448452,0.0573965859287644,0.032597561965089755,-0.0461042902757576,0.011621889231747898,-0.22661270343022372,0.03686377572969031,-0.015504720439666247,0.010676592040483344,0.09532566226835118,0.015859224268527858,10
1247,0.7093441295719065,-3.328362449440116,0.14970095198433672,1.5881278245858765,0.10647447441296722,0.11179645916577392,0.027340045511833642,0.058160181546518044,0.02407987731984853,1.0911128580867842,0.07707115443013965,0.0658294336078459,0.006265297494756178,-0.03297356247666117,0.0066677119697270614,0.001813758911737853,0.0004897683704395184,0.2650543351521526,0.03297213114210335,-0.04279415179647821,0.014151895895753148,-0.18886096800915014,0.03258081455751538,-0.001362493125234416,0.008031421313662449,0.1935909527272852,0.01576462329114373,11
1230,0.7763354229944415,-3.521587817955873,0.22222948364391154,2.469563577768082,0.16697172390880952,0.06024703622818173,0.031215715232745335,0.08046078744656579,0.029675407429933978,0.7758229565796533,0.09411031322475481,0.007418341012510399,0.0069253901655413255,-0.17499754652025326,0.018138042364774558,-0.001693392275451996,0.0005242188496377486,-0.04354735688214542,0.03188471759253429,-0.008690976922508649,0.010707474512329762,-0.7229107613314179,0.07595063612590149,0.040886163963477044,0.010566678887060576,0.09345876001086842,0.014734314187456453,12
1347,0.7100961160470476,-3.091208656687083,0.1490481049056449,1.9333851845318644,0.10594518540630217,0.011853787619643742,0.032820049697711684,-0.0069831568275793895,0.022613472674346807,1.1486996491878867,0.06947961256223392,0.017736402366119355,0.007466649588637345,-0.05803482824177485,0.006242754728270374,0.0003086871584310767,0.0004320945459165313,0.02919363198871215,0.03189284651460512,0.0234107212051535,0.016193359101616407,-0.04235811971531925,0.03810231810346594,-0.014882689844452944,0.0113228846977357,0.2970977172345985,0.016147747190786,13
