n_train,n_test,n_countries,LASSO_test_r2,LASSO_test_rmse,Ridge_test_r2,Ridge_test_rmse,Elastic Net_test_r2,Elastic Net_test_rmse,Random Forest_test_r2,Random Forest_test_rmse,b
858,235,36,0.793586739432596,0.5175452477882543,0.8035329430325083,0.5049221209966445,0.7935147591541956,0.5176354789191668,0.8543864528413547,0.4346907701024249,1
1069,285,36,0.7037633032073836,0.526413197194151,0.7074333493727456,0.5231421949379931,0.7040690185006757,0.5261414987371009,0.7134015963662153,0.5177787513060425,2
872,235,34,0.6995858773906742,0.5188930152350288,0.72284271829151,0.4984031732664625,0.7043764808361124,0.514739081732354,0.7068328255278484,0.5125961297456677,3
946,255,33,0.5693723915329234,0.5392652934504194,0.5795598555629311,0.5328483481499604,0.5713850866168847,0.5380035910166374,0.6697998948870157,0.4722153921503667,4
915,250,33,0.6321742543750973,0.5896703594292616,0.6330257207988379,0.588987460775227,0.6322553645492528,0.5896053410026155,0.7626189200036162,0.47370861894798344,5
966,265,38,0.7413029693205271,0.48916533547931673,0.6845691507439875,0.5401470816520908,0.7388192617912566,0.4915079240672135,0.8566092926485009,0.36418365894961857,6
944,255,35,0.7811845764510136,0.4895314580555228,0.7812895737977161,0.48941399450837014,0.7811660951208739,0.48955213073324844,0.7582704984796298,0.5145249846552382,7
1066,290,34,0.7255393151800598,0.6095037524267549,0.725927322452642,0.6090727698790793,0.7270536960394275,0.6078199091276046,0.7966743169390784,0.5246050082696998,8
949,255,32,0.7584528019403092,0.5338297255540456,0.7652479983117388,0.5262673212961992,0.7614908379343389,0.5304620074732077,0.7891015842450155,0.4988137424118489,9
939,245,31,0.7894103356763696,0.4874156213446666,0.7969662416878307,0.47859157006974007,0.7906685919685138,0.48595730520006875,0.8693970812008561,0.3838463004826311,10
962,255,32,0.7517490290029523,0.4224653073244796,0.7558979338344105,0.4189201983291688,0.7543745759360037,0.420225334443669,0.7818723649830548,0.39600522675234573,11
908,245,30,0.7694487121642742,0.5528052660118475,0.7798274284924376,0.540219184052039,0.7708662016875076,0.5511032503021949,0.8757582730896002,0.4058094301197077,12
