n_obs,r2,coef__const,se__const,coef__log_HCI,se__log_HCI,coef__log_GFCF,se__log_GFCF,coef__Political stability — estimate,se__Political stability — estimate,coef__Rule of law index,se__Rule of law index,coef__log_Production_Value,se__log_Production_Value,coef__Forestry rents (% of GDP),se__Forestry rents (% of GDP),coef__Trade (% of GDP),se__Trade (% of GDP),coef__log_HCI_x_log_Production,se__log_HCI_x_log_Production,coef__log_GFCF_x_log_Production,se__log_GFCF_x_log_Production,coef__log_HCI_x_forestry_rents,se__log_HCI_x_forestry_rents,coef__log_GFCF_x_forestry_rents,se__log_GFCF_x_forestry_rents,b
1237,0.7233580885671289,-4.587231098209168,0.19095177576108563,2.7906832822596335,0.13646708767117016,0.29832014029978465,0.03360665434809755,0.09281210885933033,0.0315286392848501,1.0059279237944407,0.08912556650254343,-0.016009094044259896,0.0077383289118550325,-0.042505707147284966,0.012116167984245222,-0.0009589012163598106,0.00047734642906096814,-0.05635135106442071,0.038616967188000326,0.05080070629872521,0.012763271946747447,-0.14545609273122445,0.042680169135873004,-0.006512649185500572,0.007402981804812204,1
1475,0.6158263302372297,-2.9656787295337836,0.1606147700493407,2.2703662264261117,0.10847060663714196,0.08873907775453296,0.037378527578164684,0.13845108464177378,0.025062698077409056,0.329009231142521,0.08890109469221001,-0.04507159047489355,0.006613879374000887,-0.07559693976170309,0.0091517878198904,-0.000857356908080358,0.00050943307336047,0.004660022479246129,0.036257071045286325,0.03743276544216759,0.012042722649216409,-0.2592767100791702,0.03110894188102305,0.04415858627586456,0.009466110578652227,2
1199,0.6521014862818065,-3.832688907459117,0.155763903134636,2.2088874505188154,0.11973964776354395,0.13470064108645993,0.03521532948575556,0.02043445448272914,0.029439288398779167,0.7178219343999245,0.09885705629481001,0.011902032344307461,0.007270512662892832,-0.021351668451592698,0.0082515605356695,0.0030498192049977562,0.0005416976767683637,0.2846420104357862,0.037778497152564004,-0.13017178201054574,0.018504100766512148,-0.0990513247953808,0.03636307631918898,-0.015693473570495203,0.010607725827287112,3
1362,0.5618771427969642,-2.7724323926966923,0.1957592830158582,1.8364775224847416,0.12797277584962355,0.12072270868308252,0.032412717995463185,0.031573839954369874,0.027980284675399123,0.6944713324211683,0.09438924064411824,-0.013538199951780152,0.00585772259484942,-0.06226625345951032,0.007346627321559751,-0.002787892593733155,0.0006207334058272769,0.07627377207659705,0.03213915118432358,0.06149530744779995,0.012508786208580902,-0.1206350430578635,0.02226061992091725,-0.009897478392665327,0.006047707201227092,4
1228,0.5328907734085873,-2.5960009836569835,0.23107286081478662,1.1696495939585096,0.15988605262017858,0.09357185913241789,0.05423089151497234,0.054823347952939375,0.03282749442756991,1.4834565311814152,0.1143409169894965,-0.021840426427994313,0.007787366864521601,-0.02109934866266149,0.011553876642028586,0.0036162733660253478,0.0005851730501536092,-0.026572940551190565,0.043333732362406355,-0.05268752499511156,0.024282378468118992,-0.07668864349418678,0.04232454538427131,0.01002413496336237,0.012950137538315403,5
1328,0.660993998915308,-2.8803297575002067,0.1767805718534379,1.8467075592351228,0.11351010173630116,0.06374277096088159,0.026874672020789685,0.14908520275288592,0.022429672834807936,1.1209987631169611,0.06567306996172145,0.005631306610980609,0.007429943805513857,-0.07646879679316672,0.010518493905420583,-0.001284636077965887,0.0005426937773154826,0.09100760609830873,0.0378002377270935,0.0480708431757258,0.013935709625570858,-0.14471454812084986,0.02881833683068448,-0.017769299891983382,0.010519657524258945,6
1275,0.7007752300071046,-3.7037141471257455,0.19647327914559284,2.2588849235294566,0.12468661115092562,0.08879655724399589,0.0460541848645824,-0.05149862336190973,0.02985613039785872,1.2546335175630559,0.09127825390026637,0.005753395868596573,0.006959969108909243,-0.11379520612104763,0.010568834065081767,7.847598385867958e-05,0.0005377746860716736,-0.09078261205316987,0.036310247029819845,-0.05908577661126045,0.01753511529138864,-0.30305742329890073,0.034501631965011555,0.009461289390458344,0.01184607962896584,7
1449,0.7488007138182826,-3.8946967762337166,0.19003051670568585,2.591484975166718,0.14163589731642712,0.08633806415656535,0.0343775113090949,0.07814099373986469,0.02666633577441181,0.9024153113839652,0.09858514798498211,0.009304900877855906,0.006047992934511171,-0.09633303045856724,0.011521831654760365,-0.0004193707628727568,0.0004676830035365122,0.1252487244654464,0.029053022839747828,-0.00829966833209465,0.011779778107829604,-0.30441237083500783,0.04750829983763064,-0.007616828965119042,0.007425497257999372,8
1289,0.7605589927159255,-2.934175720602757,0.14882588790279674,2.2624970600533345,0.107054246241965,0.11127755838932563,0.022180322086206784,0.15937850921656038,0.021731689543234275,1.0818061563521617,0.0659024411761784,-0.0665067871983881,0.006585907101838124,-0.08784975617021963,0.009769604864696422,-0.003724144042472271,0.0004943191308663076,-0.04730954158258851,0.03286723625328299,0.031512088857695575,0.0118165960819372,-0.2474797461602894,0.036795819824798216,-0.009490337121150088,0.006249378259110477,9
1246,0.7412130292205896,-3.1309751844012066,0.1839995635240259,2.4275684482764235,0.12141602364180258,-0.13613995609585575,0.034949517340816874,0.16706592284029492,0.030298951343288267,1.3308607142356539,0.0855241737475513,-0.02374788621176869,0.006017952967086056,-0.0893744559951769,0.009535051324667558,-0.0016115551694268595,0.0005015757795930996,0.029991659849378176,0.03230465194568432,-0.05111384265333116,0.011650839769595444,-0.26676290769711264,0.035500462934765664,-0.015440845538704728,0.010589570348632215,10
