Total_Production_Value_Per_Capita,Human capital index,Rule of law index,Political stability — estimate,Trade (% of GDP),"Gross fixed capital formation, all, Constant prices, Percent of GDP",Share of investment in GDP,Domestic credit to private sector (% of GDP),Landlocked,Urban population (% of total population),Government revenue,Capital depreciation rate,"Use of IMF credit (DOD, current US$)",Real interest rate (%),"Inflation, consumer prices (annual %)",Access to electricity (% of population),Adjusted savings: gross savings (% of GNI),L1_ECI,Forestry rents (% of GDP),Inflation_roll5,RealRate_roll5,Resource_HHI,HCI_x_ProductionValue,RuleOfLaw_x_ProductionValue,b
0.002999777633819981,0.03365600100341798,0.012919611450962381,0.0011297710791390398,0.000550873969358956,0.0015770736134883242,0.00015268533484185165,0.6022820935167821,0.0008303201907714653,0.014773671927774725,0.050208585966833384,0.0003874936244016837,0.036894455266559496,0.00021906904999349894,4.275861728548313e-05,0.017129486253597614,0.0016575935721807893,0.1757446514632097,0.02134965003362437,0.00018040520582843897,0.0036343157989099425,0.0005256782160505745,0.01767340035716081,0.0034805768540073245,1
0.0023757453607720406,0.5598734822357259,0.002456313267961428,0.0024412563008127577,0.009555385724558241,0.002118667881101172,0.0010300104387593232,0.20217044535968992,0.010944813157043818,0.011311103848532365,0.10137931789006663,0.007416561634169583,0.0007982109620465754,0.00025929016404048835,0.0006127348242173725,0.03743654242584573,0.0021176252192958447,0.023624051172029894,0.0026701302714126377,0.0059550537346855,0.00019718242158613244,0.006130525401737628,0.006325840464923602,0.0007997098389854293,2
0.006834378102384721,0.06151292896638099,0.01791108129668371,0.0014108063086336138,2.293984956352893e-05,0.002108707314959856,0.0004681712012604834,0.02084185943201813,0.00018311350184714107,0.011202903236601981,0.0004124081076879331,0.00031090799824607036,0.0006814128885208288,6.811814069345802e-05,5.320699542388363e-05,0.6320617864043049,0.010554227745041224,0.17942290691920376,0.0010445164984140818,0.0012148721787771698,6.87065462558629e-05,0.0010497026334922107,0.04411438763390934,0.006445950099695118,3
0.012722999389162798,0.06478939739400642,0.014558840818302901,0.0011496070799666665,0.0005850545734984823,0.0026521343431955852,6.890401147999297e-05,0.082133828909586,0.00036936804400250186,0.20609542482021115,0.08720859057358826,0.0048300962242333505,0.0001476509054332742,0.0009033702923852087,2.723978463708557e-05,0.41410117198791613,0.004067668879600104,0.051117848286487744,0.03965680274543978,3.921208648471057e-05,0.0,0.00042730335228349846,0.0002836968046332751,0.012063788693465222,4
0.004023960313459769,0.11081510271510964,0.15086330888008828,0.004860809078191134,0.015748199712656126,0.01914610564761453,0.00012127825398514212,0.12511343602718464,0.003422848303111721,0.03360224914745179,0.3930085216774855,0.0006352971404381588,0.0019209841593541355,0.00014055323609531107,0.0006007488677822511,0.01846406213272416,0.000611475933233063,0.01814286637578197,0.008071139310770923,0.008652718039705822,0.00010192963448784506,0.02648190579752988,0.002842520290605187,0.052607979325153056,5
0.0031956924361294286,0.021813691446635586,0.20937161601394688,0.002640469912970904,0.009719623427156166,0.00018157706839585768,0.0012158088013452038,0.0993699551662445,0.0013631678888954887,0.09977920593704605,0.00370848627382517,0.009165318672203927,0.004303475695752043,6.532077725585949e-06,3.551183444039319e-05,0.38216723477954956,0.013422588935556345,0.10063692397793789,0.021903742883850733,0.00153504681859679,2.37916308269468e-05,0.0018790105276403606,0.011045832578569462,0.0015156952147586855,6
0.002202935394651918,0.03338966159206887,0.06324079039006208,0.00029982993554817267,0.009252038600806,0.0009904849685220026,0.00043335421670198264,0.0077776710407491565,0.0,0.03284630326950291,0.12772336376972598,0.000910962050534869,0.0003046823403676205,9.661589359139673e-05,0.0004493501631595048,0.6854316887455844,0.004623991603665968,0.018413004512209903,0.003347746621339375,0.00014064068006007906,0.0002665304940808786,0.004759946896571687,0.0017614300843605088,0.0013369767361348923,7
0.005605968068018769,0.1782924732727612,0.07935983234313568,0.011695575324007425,0.00016896236074684357,0.00106292879111697,0.0005768500752090125,0.03475864906716898,0.00023248255354144247,0.02685923294344386,0.0009133316578104316,0.0009850509167513074,0.001061170070953639,0.0004119268897059624,0.00016411824647801808,0.5659978690867015,0.0020470247574207023,0.027312994675402713,0.03892554863613601,0.00037530355361090046,0.0015175298575869046,0.019166742215603497,0.001710287775106547,0.0007981468615816964,8
0.004982730219708989,0.04086715200075778,0.3498294584059954,0.2821802451766664,0.024126648644487752,0.007018949515209336,0.000252389649193851,0.09707945956207725,0.0011686747807667405,0.02777935357356232,0.05106390451185704,0.0217079205073384,0.0033638192735145167,0.000723255409960902,0.000622143496900279,0.05065951857372002,0.013790451227792768,0.005425859041654609,0.00629013578604051,0.0016644527069993645,0.00416825313627078,0.0005218122023626367,0.0027297079930462625,0.0019837046041161458,9
0.00030953955831683206,0.04232652315032569,0.5085528154873642,0.001990357863309854,0.0030524209034563897,0.0010557065200510233,4.475989042697072e-05,0.20173742523422683,0.01828667783904666,0.04130823143712345,0.07920860947248444,0.01308902186822183,0.0018897197060019078,0.0003783468889095991,9.249678148384133e-05,0.025301966662726164,0.0117985923416073,0.008323486901515856,0.034209379425427504,0.00013815579468431257,0.00022173548869611846,0.0049249540990066384,0.0007889084544838947,0.0009701682311029898,10
